ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_habitable,Meublé,Surface_du_séjour,Caves,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Parlophone,Ascenseur,Accessible_aux_moins_valides,Étage_de_lappartement,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_détages_de_limmeuble,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Garage,Nombre_de_place_de_parking_intérieur,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Grenier,Surface_du_grenier,Largeur_de_la_façade,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Surface_du_bureau,Surface_des_caves,Porte_daccès_sécurisée,Surface_de_lades_salles_de_bain,Alarme_antieffraction,Référence_PEB,Nombre_de_places_de_parking_extérieur,Jardin,Station_de_charge_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Surface_du_jardin,Type_de_cuisine,Adoucisseur_deau,Panneaux_solaires,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Air_conditionné,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout,Nombre_de_Garages,Surface_constructible,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Attestation__Asbuilt,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Affectation_urbanistique_la_plus_récente,Surface_totale,Orientation_du_jardin,Maison_basse_énergie,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Balcon,Panneaux_solaires_thermiques,Surface_salle_à_manger,Appartement_de_service,Porte_de_garage_motorisée,Clef_électronique,Possibilités_pour_profession_libérale,Attestation__Installation_électrique__Validité,Surface_du_dressing,Espace_ouvert_sensible_à_leau__WORG,Surface_du_garage,Niveau_E,Niveau_K,Niveau_S,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel
https://immovlan.be/fr/detail/duplex/a-vendre/1000/bruxelles/vbc89694,VBC89694,Duplex à vendre,299000,Rue une Personne 8,1000 Bruxelles,Excellent,2017,A l’acte,1,20 m²,55 m²,Non,25 m²,Oui,Super équipée,4 m²,1,1,1,Gaz,Double vitrage,Oui,Oui,Non,3,Sud-est,2,4,Oui,Oui,Oui,Non,119 kWh/m²/an,6555 kWh/an,18/08/2029,23,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc89261,VBC89261,Appartement à vendre,1275000,Quai des Péniches 69 27A,1000 Bruxelles,Excellent,2014,A l’acte,3,20 m²,219 m²,Oui,50 m²,Oui,Super équipée,,3,1,4,Gaz,Double vitrage,Oui,Oui,Oui,27,,2,42,,,,Non,,,,,,Information non communiquée,Information non communiquée,Non,17 m²,10 m²,Oui,2,Oui,13 m²,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1000/bruxelles/vbc87245,VBC87245,Maison à vendre,549000,Rue des Fabriques 15,1000 Bruxelles,À rénover,1900,,6,13 m²,365 m²,,23 m²,,,7 m²,2,1,2,Gaz,Double vitrage,,Non,Non,,,2,4,Oui,Oui,Oui,Non,798 kWh/m²/an,,,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,17 m²,14 m²,,,Oui,17 m²,,17 m²,21 m²,Oui,53 m²,6 m,136 m²,20 m,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/penthouse/a-vendre/1000/bruxelles/rbt73168,RBT73168,Penthouse à vendre,360500,Congresstraat 17,1000 Bruxelles,,2024,,,,,,,Non,,,,,,,,,,,8,,,8,,,,Non,,,,,"non, pas d'attestation",Information non communiquée,Information non communiquée,Non,,,,,,,,,,Non,,,,,,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc91915,VBC91915,Appartement à vendre,845000,,1000 Bruxelles,,1896,A l’acte,3,,315 m²,Non,,Non,,,1,1,2,Gaz,,,Oui,,1,,2,5,,Oui,Oui,,249 kWh/m²/an,,,49,pas d'application,Information non communiquée,Information non communiquée,Non,,,Oui,,Oui,30 m²,,,,Non,,,,,,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/1000/bruxelles/vbc91880,VBC91880,Studio à vendre,149000,Avenue de l'Héliport 32,1000 Bruxelles,À rénover,1970,,1,15 m²,35 m²,Oui,25 m²,Oui,,6 m²,1,1,1,Gaz,Double vitrage,Oui,Oui,Non,6,,4,16,,,,Non,192 kWh/m²/an,6330 kWh/an,02/03/2035,50,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Oui,,,,,Oui,6 m²,,,,,,,,,,,,,,,10 m²,6 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/1000/bruxelles/vbc91871,VBC91871,Studio à vendre,159000,Place du Jardin aux Fleurs 17,1000 Bruxelles,Normal,,,0,,35 m²,Non,35 m²,Oui,,,1,,1,,Double vitrage,,Non,Non,0,,3,3,Oui,Oui,Oui,Non,,,,,,Pas de risque d’inondation,Riveraine d’une zone inondable délimitée,,,,,,,,,,,,,10 m,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc91816,VBC91816,Appartement à vendre,640000,Rue du Trône 20,1000 Bruxelles,Excellent,1935,,3,18 m²,150 m²,Non,35 m²,Oui,,10 m²,1,1,2,Gaz,Double vitrage,Oui,Oui,Oui,3,,2,6,Oui,Oui,Oui,Non,273 kWh/m²/an,41492 kWh/an,22/03/2034,54,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Non,14 m²,12 m²,,,Oui,5 m²,,,,,,,,,,,,,,,,,Oui,10 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1000/bruxelles/vbc91812,VBC91812,Maison à vendre,524999,,1000 Bruxelles,,,,3,,122 m²,,,Non,,,2,,,Gaz,,,,,,Est,2,,,,,,207 kWh/m²/an,,,41,,Information non communiquée,Information non communiquée,Non,,,,,Oui,2 m²,,,,Oui,,,,,,Non,Non,Non,Non,Non,,,,,,D- 20190301-0000544815-01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1000/bruxelles/vbc91810,VBC91810,Maison à vendre,524999,,1000 Bruxelles,,,,3,,122 m²,,,Non,,,2,,,Gaz,,,,,,Est,2,,,,,,207 kWh/m²/an,,,41,,Information non communiquée,Information non communiquée,Non,,,,,Oui,2 m²,,,,Non,,,,,,Non,Non,Non,Non,Non,,,,,,D- 20190301-0000544815-01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc91808,VBC91808,Appartement à vendre,650000,,1000 Bruxelles,,,,3,,174 m²,,31 m²,Non,,,1,2,,Electrique,,,,,2,Sud,2,,,,,,263 kWh/m²/an,,,42,,Information non communiquée,Information non communiquée,Non,,,Oui,,Oui,,,,,Non,,,,,,Non,Non,Non,Non,Non,,,,,,E- 20250517-0000714764-01-4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc91757,VBC91757,Appartement à vendre,438000,Avenue de la Brabançonne 18,1000 Bruxelles,Excellent,,A l’acte,2,17 m²,116 m²,Non,50 m²,,Super équipée,,1,,1,Gaz,,Oui,Oui,,4,,2,8,,,,,109 kWh/m²/an,,,28,,Information non communiquée,Information non communiquée,,14 m²,,Oui,,Oui,16 m²,,,,,,,,,,,,,,,,,Oui,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc91627,VBC91627,Appartement à vendre,265000,Rue d'Argent 6 2.02,1000 Bruxelles,Excellent,2010,,1,14 m²,83 m²,Non,42 m²,,Super équipée,,1,1,1,Gaz,Double vitrage,,Oui,Oui,2,,2,6,,,,Non,127 kWh/m²/an,,,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1000/bruxelles/vbc91596,VBC91596,Maison à vendre,177500,Rempart des Moines 8,1000 Bruxelles,,,,1,,55 m²,,17 m²,Non,,,,1,,Non specifié,,,,,,Nord-ouest,2,,,,,,668 kWh/m²/an,,,134,,Information non communiquée,Information non communiquée,Non,,,,,,,,,,Non,,,,,,Non,Non,Non,Non,Non,,,,,,20220708-0000616713-01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc91595,VBC91595,Appartement à vendre,170000,Rempart des Moines 8,1000 Bruxelles,,,,1,,50 m²,,20 m²,Non,,,1,,,Non specifié,,,,,4,Ouest,2,,,,,,417 kWh/m²/an,,,84,,Information non communiquée,Information non communiquée,Non,,,,,,,,,,Non,,,,,,Non,Non,Non,Non,Non,,,,,,20220708­0000616716­01­5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/loft/a-vendre/1000/bruxelles/vbc91488,VBC91488,Loft à vendre,845000,,1000 Bruxelles,Normal,1897,A l’acte,3,30 m²,315 m²,Non,120 m²,Oui,Super équipée,17 m²,2,2,3,,,Oui,Oui,Non,1,Est,2,4,Oui,Oui,Oui,Non,249 kWh/m²/an,78382 kWh/an,20/11/2033,49,"oui, attestation conforme",Information non communiquée,Information non communiquée,Non,16 m²,16 m²,Oui,2,Oui,31 m²,Ouest,,,,,,,,,,,,,,,,Oui,,Oui,,,,Oui,Oui,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
