ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Type_de_chauffage,Orientation_du_jardin,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Type_de_vitrage,Étage_de_lappartement,Équipement_de_la_cuisine,Largeur_de_la_façade,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_du_séjour,Type_de_cuisine,Surface_de_la_cuisine,Air_conditionné,Nombre_de_place_de_parking_intérieur,Pompe_à_chaleur,Parlophone,Porte_daccès_sécurisée,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Raccordé_aux_égouts,Piscine_extérieure,Alarme_antieffraction,Accessible_aux_moins_valides,Largeur_du_terrain_à_rue,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_des_caves,Surface_de_lades_salles_de_bain,Station_de_charge_électrique,Maison_basse_énergie,Panneaux_solaires,Chauffage_au_sol,Compteur_Bihoraire,Feu_ouvert,Orientation_de_la_terrasse,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout,Surface_du_bureau,Surface_salle_à_manger,Surface_du_garage,Surface_du_grenier,Surface_de_la_véranda,Nombre_de_douches,Emission_de_CO2,Surface_chambre_à_coucher_5,Porte_de_garage_motorisée,Clef_électronique,Panneaux_solaires_thermiques,Domotique,HammamSaunaJacuzzi,Attestation__Installation_électrique__Validité,Attestation__Citernes_à_mazout__Validité
https://immovlan.be/fr/detail/maison/a-vendre/3290/diest/rbt66605,RBT66605,Maison à vendre,475000,Boudewijnvest 66,3290 Diest,Normal,Non,1959,A l’acte,3,142 m²,Non,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,2,Non,Est,3,2,Oui,267 m²,Non,447 m²,69 m²,39 m,284 kWh/m²/an,40371 kWh/an,20241203-0003400333-RES-1,03/12/2034,"oui, attestation conforme",Oui,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3290/diest/rbt42828,RBT42828,Maison à vendre,248000,Vleugtstraat 69,3290 Diest,À rénover,Non,1970,,3,,,Oui,Oui,Non,Non,Non,Non,Non,Oui,1,1,2,,,4,3,Oui,,Oui,110 m²,,,499 kWh/m²/an,,20240626-0003294751-RES-1,26/06/2034,"oui, attestation non conforme",Oui,Oui,,,"Zone, info non disponible",Pas de risque d’inondation,Information non communiquée,Mazout,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3290/diest/rbt40080,RBT40080,Maison à vendre,375000,Meilrijk 31,3290 Diest,Normal,Non,1969,A l’acte,3,168 m²,Non,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,1,Non,Sud,4,3,Oui,,Oui,682 m²,,,325 kWh/m²/an,,,16/04/2035,"oui, attestation conforme",,,Non,,,Pas de risque d’inondation,Information non communiquée,Gaz,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/3290/webbekom/rbt29968,RBT29968,Duplex à vendre,292000,Parelsbergstraat 41 1,3290 Webbekom,,,1999,,,117 m²,,,,,,,,,,,,,,,,,,,Oui,,,,229 kWh/m²/an,,20190509-0000092819-RES-3,09/05/2029,"non, pas d'attestation",Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Gaz,,Oui,Oui,Double vitrage,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3290/diest/rbt29394,RBT29394,Maison à vendre,495000,Molenberg 46,3290 Diest,Normal,,2006,A l’acte,4,225 m²,Non,,,,,,,,Oui,1,2,3,Non,Nord,,,Oui,,Non,1017 m²,,,213 kWh/m²/an,,20240701-0003294773-RES-1,01/07/2034,"oui, attestation conforme",Oui,Oui,Non,,,Pas de risque d’inondation,Information non communiquée,Gaz,,,,,,Super équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3290/diest/rbt26875,RBT26875,Maison à vendre,496000,Parelsbergstraat 48,3290 Diest,Nouveau,Non,2024,A l’acte,3,148 m²,Non,Non,Non,Non,Non,Non,Non,Non,,,2,2,Non,Nord-est,3,1,Oui,127 m²,Oui,296 m²,72 m²,23 m,30 kWh/m²/an,,,,"oui, attestation conforme",Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/3290/diest/rbt26874,RBT26874,Fermette à vendre,509000,Parelsbergstraat 46,3290 Diest,Nouveau,Non,2024,A l’acte,3,150 m²,Non,Non,Non,Non,Non,Non,Non,Non,,,2,2,Non,Nord-est,3,1,Oui,130 m²,Oui,299 m²,78 m²,23 m,30 kWh/m²/an,,,,"oui, attestation conforme",Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/3290/diest/rbt21527,RBT21527,Rez-de-chaussée à vendre,215000,Engelandstraat 55 A,3290 Diest,Normal,Non,1999,A l’acte,2,78 m²,Non,,,,,,,,Oui,,1,1,Oui,,3,,,,,,,,222 kWh/m²/an,,,,"oui, attestation conforme",Oui,Non,Non,,,Pas de risque d’inondation,Information non communiquée,Gaz,,Oui,Oui,Double vitrage,,,,14 m²,10 m²,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/3290/diest/rbt14051,RBT14051,Bungalow à vendre,218000,Bosterestraat 9,3290 Diest,À rénover,Non,1967,A l’acte,3,115 m²,Non,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,1,Non,Ouest,4,,Oui,,Oui,590 m²,,,782 kWh/m²/an,,,,pas d'application,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Mazout,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3290/diest/rbt13560,RBT13560,Maison à vendre,435000,Bredestraat 7,3290 Diest,Excellent,,,A l’acte,4,191 m²,Non,,,,,,,,Oui,,2,,Non,,2,2,Oui,,Oui,319 m²,,,50 kWh/m²/an,,,,,,Non,Non,,,Information non communiquée,Information non communiquée,Gaz,,Oui,,Double vitrage,,Super équipée,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
