ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Grenier,Garage,Nombre_de_place_de_parking_intérieur,Équipement_de_la_cuisine,Type_de_cuisine,Nombre_de_salles_de_bain,Maison_basse_énergie,Panneaux_solaires,Type_de_chauffage,Chauffage_au_sol,Pompe_à_chaleur,Type_de_vitrage,Compteur_Bihoraire,Parlophone,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Niveau_E,Attestation__Installation_électrique,Permis_durbanisation_accordé,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Caves,Salle_à_manger,Surface_salle_à_manger,Nombre_de_Garages,Surface_de_la_cuisine,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Meublé,Surface_du_séjour,Surface_du_bureau,Surface_des_caves,Surface_du_grenier,Véranda,Alarme_antieffraction,Ascenseur,Feu_ouvert,Accessible_aux_moins_valides,Orientation_du_jardin,Piscine_extérieure,Date_de_validité_PEB,Emission_de_CO2,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,Orientation_de_la_terrasse,Air_conditionné,Dressing,Buanderie,Local_vélo,Étage_de_lappartement,Référence_PEB,Panneaux_solaires_thermiques,Compteur_deau_individuel,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Surface_du_dressing,Surface_du_garage,Adoucisseur_deau,Possibilités_pour_profession_libérale,Surface_constructible,Surface_totale,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Porte_de_garage_motorisée,Balcon,Attestation__Installation_électrique__Validité,Station_de_charge_électrique,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Appartement_de_service
https://immovlan.be/fr/detail/villa/a-vendre/1350/jandrain-jandrenouille/rwc39945,RWC39945,Villa à vendre,356050,,1350 Jandrain-Jandrenouille,Excellent,Non,2025,A convenir,3,1 m²,Oui,Oui,1,Super équipée,Américaine,1,Oui,Oui,Solaire,Oui,Oui,Double vitrage,Oui,Oui,4,2,Oui,553 m²,Oui,Oui,Oui,Oui,23,"oui, attestation conforme",Oui,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/1350/jandrain-jandrenouille/vbc82986,VBC82986,Fermette à vendre,,,1350 Jandrain-Jandrenouille,Normal,,1728,,6,1537 m²,Oui,Oui,,,,4,,,,,,,,,4,10,Oui,50357 m²,,,Oui,,,,,Information non communiquée,Information non communiquée,14 m²,20 m²,23 m²,18 m²,19 m²,Oui,Oui,24 m²,3,18 m²,2,7,9 m²,Sud-est,35 m,4,41708 m²,Oui,49 m²,195 m,35 m,414 kWh/m²/an,195359 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1350/jandrain-jandrenouille/vbc73943,VBC73943,Maison à vendre,999000,Rue de branchon 5,1350 Jandrain-Jandrenouille,Excellent,Non,1965,A l’acte,5,550 m²,Oui,Oui,2,Super équipée,,3,,Oui,Mazout,,,Double vitrage,,,4,10,Oui,3939 m²,Oui,,,,,"oui, attestation conforme",Non,Pas de risque d’inondation,Information non communiquée,35 m²,20 m²,18 m²,25 m²,26 m²,Oui,Oui,25 m²,2,19 m²,,4,14 m²,,22 m,3,3380 m²,Oui,150 m²,93 m,22 m,321 kWh/m²/an,181227 kWh/an,Non,54 m²,27 m²,19 m²,36 m²,Oui,Oui,Non,Oui,Non,Sud,Oui,19/06/2034,78,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1350/jandrain-jandrenouille/vbc54761,VBC54761,Maison à vendre,375000,Rue de genville 35,1350 Jandrain-Jandrenouille,Excellent,Non,1972,A l’acte,4,144 m²,Oui,Oui,1,Equipée,Américaine,2,,Oui,Mazout,,,Double vitrage,,,4,2,Oui,910 m²,Oui,,Oui,,,"oui, attestation conforme",Non,Pas de risque d’inondation,Information non communiquée,13 m²,13 m²,17 m²,15 m²,,,,,1,9 m²,2,2,,,5 m,1,814 m²,Oui,16 m²,50 m,5 m,316 kWh/m²/an,36461 kWh/an,Non,29 m²,13 m²,,38 m²,,,Non,,Non,Est,Non,14/03/2035,77,Non,Non,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1350/jandrain-jandrenouille/vbc20384,VBC20384,Maison à vendre,385000,Chaussée de wavre 63,1350 Jandrain-Jandrenouille,Excellent,Non,1980,A l’acte,4,205 m²,Oui,Oui,1,Equipée,Américaine,1,,,Mazout,,,Double vitrage,,,4,4,Oui,1486 m²,Oui,,Oui,,,"oui, attestation non conforme",Non,Pas de risque d’inondation,Information non communiquée,28 m²,13 m²,20 m²,17 m²,,Oui,,,1,16 m²,1,2,,,14 m,1,1335 m²,Oui,98 m²,38 m,14 m,282 kWh/m²/an,61390 kWh/an,Oui,49 m²,17 m²,11 m²,,,Oui,Non,,Non,Nord,Non,08/06/2034,70,Non,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1350/orp-le-grand/vbc88488,VBC88488,Appartement à vendre,299800,Rue de la Station 1 09,1350 Orp-le-Grand,Excellent,,2024,Immédiatement,2,113 m²,,,,Super équipée,,1,,,Gaz,,,Double vitrage,,Oui,3,2,Oui,,Oui,Oui,Oui,,,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,18 m²,11 m²,,,,,,,,,1,1,,,,2,35 m²,Oui,,,,109 kWh/m²/an,12315 kWh/an,Non,40 m²,10 m²,,,,,Non,,Non,,Non,11/04/2034,,Oui,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/1350/orp-le-grand/vbc91426,VBC91426,Bungalow à vendre,,Avenue henri pirard 9,1350 Orp-le-Grand,À rénover,Non,1974,Immédiatement,3,110 m²,,Oui,,,Indépendante,1,,,Mazout,,,Simple vitrage,,,4,2,Oui,848 m²,Oui,,Oui,,,"oui, attestation non conforme",Non,Risque moyen,Information non communiquée,9 m²,12 m²,14 m²,,,,,,1,11 m²,,1,4 m²,,9 m,1,678 m²,,,48 m,9 m,527 kWh/m²/an,59090 kWh/an,Non,35 m²,10 m²,,,,,Non,,Oui,Nord-est,Non,14/05/2035,131,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1350/marilles/vbc90059,VBC90059,Maison à vendre,391000,Rue du Village 2,1350 Marilles,Nouveau,Non,,A l’acte,,,Non,,,,,,,,Non specifié,,,,,,4,,,770 m²,,,Oui,,,pas d'application,,Information non communiquée,Information non communiquée,,,,,,Non,Non,,,,,,,,,,,,,35 m,,,,Non,,,,,Non,,Non,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/1350/orp-le-grand/vbc88490,VBC88490,Duplex à vendre,329800,Rue de la Station 1 06,1350 Orp-le-Grand,Nouveau,,2024,Immédiatement,3,175 m²,,,,Super équipée,,2,,,Gaz,,,Double vitrage,,Oui,3,2,Oui,,Oui,Oui,Oui,,,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,14 m²,12 m²,21 m²,,,,,,,,1,1,,,,2,,Oui,15 m²,,,84 kWh/m²/an,12459 kWh/an,Non,47 m²,15 m²,,,,,Non,,Non,,Non,11/04/2034,25,Oui,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/1350/orp-le-grand/vbc88489,VBC88489,Duplex à vendre,339800,Rue de la Station 1 06,1350 Orp-le-Grand,Nouveau,,2024,Immédiatement,3,175 m²,,,,Super équipée,,2,,,Gaz,,,Double vitrage,,Oui,3,2,Oui,,Oui,Oui,Oui,,,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,14 m²,12 m²,21 m²,,,,,,,,1,1,,,,2,,Oui,15 m²,,,84 kWh/m²/an,12459 kWh/an,Non,47 m²,15 m²,,,,,Non,,Non,,Non,11/04/2034,25,Oui,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
