ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Surface_du_séjour,Caves,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Station_de_charge_électrique,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Panneaux_solaires,Chauffage_au_sol,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Jardin,Terrasse_aménagée,Orientation_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Conso_spécifique_dénergie_primaire,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_de_la_cuisine,Nombre_de_places_de_parking_extérieur,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_des_caves,Grenier,Surface_de_lades_salles_de_bain,Type_de_chauffage,Surface_du_jardin,Orientation_du_jardin,Surface_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Permis_durbanisation_accordé,Véranda,Dressing,Buanderie,Local_vélo,Balcon,Piscine_extérieure,Référence_PEB,Affectation_urbanistique_la_plus_récente,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Pompe_à_chaleur,Surface_du_grenier,Surface_constructible,Date_de_validité_PEB,Porte_de_garage_motorisée,Clef_électronique,Panneaux_solaires_thermiques,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Raccordé_au_gaz_de_ville,Attestation__Asbuilt,Surface_du_garage,Type_de_cuisine,Conso_annuelle_totale_dénergie_primaire,Attestation__Installation_électrique__Validité,Attestation__Citernes_à_mazout__Validité,Étage_de_lappartement,Possibilités_pour_profession_libérale,Adoucisseur_deau,Maison_basse_énergie,Compteur_Bihoraire,Parlophone,Porte_daccès_sécurisée,Adaptations_pour_les_seniors,Espace_ouvert_sensible_à_leau__WORG,Surface_du_bureau,Compteur_deau_individuel,Attestation__Citernes_à_mazout,Niveau_E,Niveau_K,Emission_de_CO2
https://immovlan.be/fr/detail/villa/a-vendre/3400/landen/rbt67331,RBT67331,Villa à vendre,675000,Stelhainstraat 19,3400 Landen,Excellent,Non,2014,A l’acte,3,14 m²,15 m²,18 m²,288 m²,Non,18 m²,Oui,Oui,39 m²,Oui,1,2,Oui,Super équipée,2,2,2,Oui,Oui,Double vitrage,Oui,Oui,Non,Non,Est,4,18 m,1,Oui,Oui,Ouest,1773 m²,Oui,Oui,Oui,80 kWh/m²/an,"oui, attestation conforme",Oui,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3400/landen/vbc05631,VBC05631,Appartement à vendre,120000,,3400 Landen,Normal,,,,2,12 m²,11 m²,,65 m²,Non,23 m²,,,,,,,,,,1,1,,,Double vitrage,,,,,,2,,,,Oui,,,Oui,,,,,,,,,,,Information non communiquée,Information non communiquée,7 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/vbc75832,VBC75832,Maison à vendre,249000,Raatshovenstraat 15,3400 Landen,Normal,Non,,A l’acte,5,15 m²,12 m²,8 m²,201 m²,Non,32 m²,Oui,Oui,,Oui,,,,,1,1,3,,,Double vitrage,,,Non,Non,,3,6 m,3,Oui,Oui,,372 m²,Oui,Oui,,458 kWh/m²/an,"oui, attestation conforme",Non,,,,,,Pas de risque d’inondation,Information non communiquée,33 m²,1,13 m²,12 m²,18 m²,Oui,7 m²,Mazout,196 m²,Sud-ouest,46 m²,43 m,6 m,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3400/landen/rbt41672,RBT41672,Appartement à vendre,164000,Stationsplein 2 001,3400 Landen,,Non,1951,A l’acte,2,,,,84 m²,,,Non,Non,,,,,,Equipée,1,,1,,,Double vitrage,Non,Non,Non,Non,,,10 m,,,,,,,,,174 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,,,,47 m,10 m,,Non,Non,Non,Non,Non,Non,20241028-000342811-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/rbt41030,RBT41030,Maison à vendre,298000,Tiensestraat 20,3400 Landen,,Non,1933,A l’acte,3,,,,196 m²,,,Non,Non,,,,,,Equipée,1,,2,,,Double vitrage,Non,Non,Non,Non,Nord-est,3,6 m,4,Oui,Oui,,493 m²,,,,478 kWh/m²/an,,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,,Gaz,,,20 m²,68 m,6 m,,Non,Non,Non,Non,Non,Non,20250521-0003606749-RES-1,"Zone, info non disponible",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/rbt36798,RBT36798,Maison à vendre,355000,Waasmontstraat 195A,3400 Landen,Nouveau,,2024,,3,,,,150 m²,Non,,,,,,,,,Non équipée,1,,,,,,,,Non,,,,,,Oui,Non,,292 m²,,,,,pas d'application,,Non,,,,,Information non communiquée,Information non communiquée,,,,,,Oui,,Non specifié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/rbs80335,RBS80335,Maison à vendre,385000,Hakendoverstraat 18,3400 Landen,Remis à neuf,,,,3,,,,140 m²,Non,,Non,,,,,,,,1,,,Oui,Oui,Double vitrage,,,Non,Non,Sud-ouest,,6 m,,Oui,,,410 m²,,,,,pas d'application,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,8 m²,Solaire,410 m²,,,,10 m,Non,Non,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/rbt29490,RBT29490,Maison à vendre,220000,Grumstraat 49,3400 Landen,À rénover,,1918,A l’acte,4,,,,177 m²,Non,,,,,,,,,Semi-équipée,1,,,,,,,,Non,,,,,,Oui,Non,,200 m²,,,,458 kWh/m²/an,"oui, attestation conforme",,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,20200919-0002289985-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/laar/rbt26756,RBT26756,Maison à vendre,199000,Wijngaardstraat 29,3400 Laar,À rénover,,,,3,,,,131 m²,,,Oui,,,Oui,,,,,1,,,,,Double vitrage,,,Non,Non,Sud-ouest,,6 m,,,,,682 m²,,,,617 kWh/m²/an,"non, pas d'attestation",,,,,,,Pas de risque d’inondation,Information non communiquée,,,,,25 m²,Oui,4 m²,Mazout,,,,,,Non,Non,,,,,,,,Non,,50 m²,80 m²,06/05/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/rbt11190,RBT11190,Maison à vendre,385000,Gildestraat 17,3400 Landen,Excellent,Non,,Immédiatement,2,,,,168 m²,Non,,Non,Non,,Oui,,1,,Equipée,1,,,Oui,Non,Double vitrage,Non,Non,Non,Non,,,,,Oui,,,,,Oui,,363 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,1,,,,Non,,,,,,,,,Non,Non,Non,Non,Non,Non,20211110-0002490549-RES-1,"Zone, info non disponible",Non,,,1449 m²,,Non,Non,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,
