ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Chauffage_au_sol,Pompe_à_chaleur,Parlophone,Le_bien_fait_lobjet_dun_droit_de_préemption,Étage_de_lappartement,Meublé,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Raccordé_aux_égouts,Espace_ouvert_sensible_à_leau__WORG,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Salle_à_manger,Surface_salle_à_manger,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_toilettes,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Surface_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_à_leau_courante,Piscine_extérieure,Conso_annuelle_totale_dénergie_primaire,Emission_de_CO2,Permis_de_bâtir_obtenu,Disponibilité_du_bien,Bien_actuellement_loué,Dressing,Buanderie,Local_vélo,Panneaux_solaires,Surface_constructible,Raccordé_au_gaz_de_ville,Affectation_urbanistique_la_plus_récente,Orientation_du_jardin,Alarme_antieffraction,Profondeur_du_terrain,Balcon,Adoucisseur_deau,Porte_daccès_sécurisée,Niveau_E,Niveau_K,Type_de_cuisine,Surface_du_bureau,Nombre_de_douches,Panneaux_solaires_thermiques,Domotique,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Possibilités_pour_profession_libérale,Surface_totale,Surface_des_caves,Nombre_de_place_de_parking_intérieur,Porte_de_garage_motorisée,Surface_de_lades_salles_de_bain,Compteur_deau_individuel,Compteur_de_gaz_individuel,Feu_ouvert,Appartement_de_service,Citerne_à_eau_de_pluie,Station_de_charge_électrique,Maison_basse_énergie,Compteur_électrique_individuel,Compteur_Bihoraire,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Surface_du_grenier,Surface_du_garage,Attestation__Installation_électrique__Validité,Surface_du_dressing
https://immovlan.be/fr/detail/maison/a-vendre/3670/oudsbergen/rbt71944,RBT71944,Maison à vendre,,Breekiezel 31,3670 Oudsbergen,Normal,1952,3,424 m²,Oui,Oui,Non,Oui,1,2,Gaz,Double vitrage,Oui,Non,Non,Est,Oui,Oui,800 m²,303 kWh/m²/an,20250414-0003577564-RES-2,14/04/2035,"non, pas d'attestation",Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/3670/oudsbergen/rbt71943,RBT71943,Duplex à vendre,315000,Dorpsstraat 43 6,3670 Oudsbergen,Normal,2020,2,84 m²,Non,Non,Non,Oui,,1,Electrique,Triple vitrage,Oui,Oui,Non,Sud-ouest,,Oui,,81 kWh/m²/an,72040-G-2016/06776/EP02715/A001/D01/SD003,23/05/2033,"non, pas d'attestation",Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,Oui,Oui,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/3670/oudsbergen/rbt71930,RBT71930,Studio à vendre,174118,Torenstraat 13 2-14,3670 Oudsbergen,Normal,2015,1,66 m²,Non,Non,Non,,,1,Gaz,Double vitrage,,Oui,Oui,,,Oui,,118 kWh/m²/an,72040-A-8.00-72040-638.1/EP14809/A001/D01/SD055,31/03/2025,pas d'application,Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/3670/oudsbergen/rbt71928,RBT71928,Studio à vendre,183383,Torenstraat 13 2-11,3670 Oudsbergen,Normal,2015,1,74 m²,Non,Non,Non,Oui,,1,Gaz,Double vitrage,,Oui,Oui,,,Oui,,112 kWh/m²/an,72040-A-8.00-72040-638.1/EP14809/A001/D01/SD052,31/03/2025,"non, pas d'attestation",Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/3670/oudsbergen/rbt71927,RBT71927,Studio à vendre,236800,Torenstraat 13 2-12,3670 Oudsbergen,Normal,2015,2,103 m²,Non,Non,Non,,,1,Gaz,Double vitrage,,Oui,Oui,,,Oui,,112 kWh/m²/an,,,pas d'application,Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/3670/oudsbergen/rbt71926,RBT71926,Studio à vendre,195870,Torenstraat 13 2-10,3670 Oudsbergen,Normal,2015,1,81 m²,Non,Non,Non,,,1,Gaz,Double vitrage,,Oui,Oui,,,Oui,,127 kWh/m²/an,72040-A-8.00-72040-638.1/EP14809/A001/D01/SD051,31/03/2025,"non, pas d'attestation",Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,Oui,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/3670/meeuwen/rbt71925,RBT71925,Studio à vendre,160371,Torenstraat 13 0-15,3670 Meeuwen,Normal,2015,1,59 m²,Non,Non,Non,,,1,Gaz,Double vitrage,,Oui,Non,,,Oui,,135 kWh/m²/an,72040-A-8.00-72040-638.1/EP14809/A001/D01/SD016,31/03/2025,"non, pas d'attestation",Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/3670/oudsbergen/rbt71923,RBT71923,Studio à vendre,164746,Torenstraat 13 0-09,3670 Oudsbergen,Normal,2015,1,62 m²,Non,Non,Non,,,1,Gaz,Double vitrage,,Oui,Oui,,,Oui,,151 kWh/m²/an,72040-A-8.00-72040-638.1/EP14809/A001/D01/SD010,31/03/2025,"non, pas d'attestation",Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/3670/meeuwen/rbt71922,RBT71922,Studio à vendre,163508,Torenstraat 13 0-08,3670 Meeuwen,Normal,2015,1,61 m²,Non,Non,Non,,,1,Gaz,Double vitrage,,Oui,Oui,,,Oui,,131 kWh/m²/an,72040-A-8.00-72040-638.1/EP14809/A001/D01/SD009,31/03/2025,"non, pas d'attestation",Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3670/oudsbergen/rbt70708,RBT70708,Maison à vendre,325000,Keuveldstraat,3670 Oudsbergen,Nouveau,2025,3,165 m²,,,,,,1,Gaz,Double vitrage,,Non,,,Oui,,468 m²,,,,,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,Non,3,2,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
