ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Caves,Équipement_de_la_cuisine,Type_de_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Panneaux_solaires,Alarme_antieffraction,Profondeur_du_terrain,Balcon,Référence_PEB,Affectation_urbanistique_la_plus_récente,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Air_conditionné,Garage,Nombre_de_Garages,Étage_de_lappartement,Parlophone,Orientation_du_jardin,Surface_constructible,Surface_du_séjour,Surface_de_la_cuisine,Panneaux_solaires_thermiques,Chauffage_au_sol,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Surface_chambre_à_coucher_4,Surface_salle_à_manger,Niveau_E,Niveau_K,Attestation__Asbuilt,Citerne_à_eau_de_pluie,Surface_des_caves,Surface_de_lades_salles_de_bain,Feu_ouvert,Orientation_de_la_terrasse,Nombre_de_place_de_parking_intérieur,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Pompe_à_chaleur,Porte_de_garage_motorisée,Clef_électronique,HammamSaunaJacuzzi,Attestation__Installation_électrique__Validité,Adoucisseur_deau,Surface_du_grenier,Surface_du_bureau,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Maison_basse_énergie,Surface_du_garage,Espace_ouvert_sensible_à_leau__WORG,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,Surface_de_la_véranda,Surface_du_dressing,Compteur_Bihoraire
https://immovlan.be/fr/detail/maison/a-vendre/3770/riemst/vbc91631,VBC91631,Maison à vendre,338500,Langstraat 39,3770 Riemst,Remis à neuf,Non,1960,A l’acte,3,11 m²,18 m²,41 m²,172 m²,Non,Oui,Equipée,Américaine,1,1,2,Gaz,Double vitrage,Non,Non,Sud-est,4,7 m,2,1,Oui,651 m²,Oui,80 m²,847 m²,7 m,Oui,Oui,Oui,Non,184 kWh/m²/an,30597 kWh/an,22/04/2032,6140,"oui, attestation conforme",Oui,Non,Non,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3770/riemst/rbt63027,RBT63027,Maison à vendre,345000,Stopstraat 7,3770 Riemst,,Non,1952,A l’acte,2,,,,200 m²,,Non,Equipée,,1,,1,,Double vitrage,Non,Non,,3,,,,Oui,,Oui,,399 m²,12 m,,,,Non,170 kWh/m²/an,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,Oui,Non,Non,Non,Non,Non,Oui,Non,34 m,Non,20250520-0003603490-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3770/riemst/rbt47771,RBT47771,Maison à vendre,310000,Visésteenweg 129,3770 Riemst,,Non,2021,A l’acte,3,,,,110 m²,Non,Non,Super équipée,,1,,,Electrique,,Non,,,3,,,,Oui,,Oui,,469 m²,,,Oui,,,,,01/09/2031,,"oui, attestation conforme",,,Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,Non,Non,Oui,,,,73066-G-OMV_2020102864/EP12782/A001/D02/SD001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3770/riemst/rbt39050,RBT39050,Maison à vendre,195000,Burgemeester Marresbaan 29,3770 Riemst,,Non,,,3,,,,145 m²,,Non,,,1,,1,Charbon,Simple vitrage,Non,Non,Ouest,4,,,,,,,,6854 m²,,,,,Non,1276 kWh/m²/an,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,Non,Non,,Non,,Non,20250505-0003592683-RES-1,Zone agricole,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3770/riemst/rbt33012,RBT33012,Maison à vendre,395000,Nieuweweg 48,3770 Riemst,,,1933,A l’acte,3,,,,239 m²,,,,,,,2,Mazout,Double vitrage,Non,Non,Sud-ouest,2,,,,Oui,,Oui,,,,,,,,558 kWh/m²/an,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,Oui,,,,,,,Non,,Non,20240121-0003115795-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Oui,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3770/riemst/rbs86668,RBS86668,Maison à vendre,224000,Omloopstraat 66,3770 Riemst,,Non,,A l’acte,2,,,,95 m²,,Non,,,,,,Electrique,Double vitrage,Non,Non,,3,,,,,,,,269 m²,,,,,,335 kWh/m²/an,,,,,Oui,Non,Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,Non,Non,Oui,Non,,Non,20250118-0003504772-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/3770/vlijtingen/rbt02905,RBT02905,Rez-de-chaussée à vendre,165000,Jodenstraat 63 1,3770 Vlijtingen,,Non,1962,,1,,,,87 m²,,Non,Equipée,,1,,1,Gaz,,Non,Non,,,,,2,,,,,,,,,,Non,242 kWh/m²/an,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,Non,Non,,Non,,Non,20221222-0002759693-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3770/riemst/rbr54044,RBR54044,Maison à vendre,265000,Visésteenweg 241,3770 Riemst,,,1930,A l’acte,4,,,,308 m²,,,,,,,2,Mazout,Double vitrage,Non,Non,,2,,,,Oui,,Oui,,,,,,,,356 kWh/m²/an,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,Oui,,,,,,,Non,,Non,20240618-0003284861-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/3770/vlijtingen/rbt02905,RBT02905,Rez-de-chaussée à vendre,165000,Jodenstraat 63 1,3770 Vlijtingen,,Non,1962,,1,,,,87 m²,,Non,Equipée,,1,,1,Gaz,,Non,Non,,,,,2,,,,,,,,,,Non,242 kWh/m²/an,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,Non,Non,,Non,,Non,20221222-0002759693-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3770/riemst/vbc91631,VBC91631,Maison à vendre,338500,Langstraat 39,3770 Riemst,Remis à neuf,Non,1960,A l’acte,3,11 m²,18 m²,41 m²,172 m²,Non,Oui,Equipée,Américaine,1,1,2,Gaz,Double vitrage,Non,Non,Sud-est,4,7 m,2,1,Oui,651 m²,Oui,80 m²,847 m²,7 m,Oui,Oui,Oui,Non,184 kWh/m²/an,30597 kWh/an,22/04/2032,6140,"oui, attestation conforme",Oui,Non,Non,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
