ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Meublé,Surface_du_séjour,Buanderie,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Panneaux_solaires,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Citerne_à_eau_de_pluie,Piscine_extérieure,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Espace_ouvert_sensible_à_leau__WORG,Bien_actuellement_loué,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Local_vélo,Garage,Nombre_de_Garages,Ascenseur,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Surface_du_garage,Parlophone,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_détages_de_limmeuble,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Largeur_de_la_façade,Surface_du_jardin,Surface_constructible,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Surface_du_grenier,Type_de_cuisine,Étage_de_lappartement,Affectation_urbanistique_la_plus_récente,Surface_des_caves,Alarme_antieffraction,Largeur_du_terrain_à_rue,Balcon,Surface_du_bureau,Surface_salle_à_manger,Surface_du_dressing,Maison_basse_énergie,Panneaux_solaires_thermiques,Chauffage_au_sol,Compteur_deau_individuel,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Raccordé_aux_égouts,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Pompe_à_chaleur,Station_de_charge_électrique,Adoucisseur_deau,Orientation_de_la_terrasse,Nombre_de_douches
https://immovlan.be/fr/detail/maison/a-vendre/3870/heers/rbt69364,RBT69364,Maison à vendre,700000,Bergstraat 23,3870 Heers,Excellent,2023,A l’acte,6,21 m²,16 m²,16 m²,16 m²,20 m²,300 m²,Oui,38 m²,Oui,Super équipée,32 m²,2,3,12 m²,Oui,Gaz,Double vitrage,Oui,3,2,Oui,Sud-est,Oui,40 m²,535 m²,Oui,Oui,Oui,Oui,Non,,,,,Information non communiquée,Information non communiquée,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3870/gutschoven/rbt67031,RBT67031,Maison à vendre,239000,Burgemeestersstraat 57,3870 Gutschoven,Normal,1950,A l’acte,4,,,,,,176 m²,Non,,Non,Semi-équipée,,1,,,,Gaz,,,,,Oui,,Non,,417 m²,,,,,Non,,,,,Information non communiquée,Information non communiquée,,Non,Non,Oui,Non,Non,Non,Non,Oui,1,Non,313 kWh/m²/an,20250528-0003612283-RES-1,"oui, attestation conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3870/heers/rbt34962,RBT34962,Maison à vendre,285000,Bovelingenstraat 399,3870 Heers,Normal,1951,A partir du : 15/07/2025,3,,,,,,199 m²,Non,,Non,Super équipée,,1,,,,Gaz,,,,,Oui,,,,,,,,,Non,,,,,Information non communiquée,Information non communiquée,,Non,Non,Oui,Non,Non,Non,Non,Oui,1,Non,365 kWh/m²/an,20250313-0003549273-RES-2,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3870/heers/vbc68650,VBC68650,Maison à vendre,279000,Bovelingenstraat 103,3870 Heers,Remis à neuf,,,3,,,,,,180 m²,Non,,,,,1,,12 m²,,Mazout,Double vitrage,,,,Oui,,Oui,,580 m²,,,,Non,,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,Non,Non,,,,Oui,1,Non,219 kWh/m²/an,20250315-0003551728-RES1,"non, pas d'attestation",13 m²,Oui,Non,Sud-est,2,48453 kWh/an,15/03/2035,11310,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3870/heers/vbc58023,VBC58023,Maison à vendre,289000,Bovelingenstraat 215,3870 Heers,,,A l’acte,3,,,,,,215 m²,Non,61 m²,,,,1,2,,,Gaz,,,3,,Oui,,Oui,20 m²,831 m²,,,,,,,,,,Information non communiquée,Information non communiquée,,,,Oui,,,,,Oui,1,Non,231 kWh/m²/an,20241118-0003449667-RES-1,"oui, attestation conforme",,,,Sud-est,2,49770 kWh/an,15/11/2034,9,,9 m,651 m²,140 m²,94 m,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3870/heers/rbs89696,RBS89696,Maison à vendre,270000,Schildstraat 19,3870 Heers,Normal,1954,A l’acte,3,16 m²,15 m²,6 m²,,,150 m²,,34 m²,Oui,,,1,1,6 m²,,Mazout,Double vitrage,,3,,Oui,Est,Oui,50 m²,696 m²,,,Non,Non,Non,,,,,Information non communiquée,Information non communiquée,Non,,,Oui,,,,,Oui,1,,356 kWh/m²/an,,,14 m²,,,,,,,,,,,,,,,48 m²,Indépendante,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3870/heers/rbs81850,RBS81850,Maison à vendre,339000,Engelmanshovenstraat 37A,3870 Heers,Normal,2007,A l’acte,3,,,,,,140 m²,Non,,,Super équipée,,1,,,Oui,Gaz,,,,,Oui,,Oui,,,,,Oui,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,,Oui,,Non,86 kWh/m²/an,20250227-0003540946-RES-2,"oui, attestation conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3870/heers/rbs80760,RBS80760,Appartement à vendre,339000,Engelmanshovenstraat 37A,3870 Heers,Normal,2007,A l’acte,3,,,,,,140 m²,Non,,,Super équipée,,1,,,Oui,Gaz,,,,,Oui,,Oui,,,,,Oui,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,Non,86 kWh/m²/an,20250227-0003540946-RES-2,"oui, attestation conforme",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3870/heers/rbs76680,RBS76680,Maison à vendre,319000,Haspengouwlaan 13,3870 Heers,À rénover,1989,A l’acte,3,,,,,,134 m²,Non,,,Non équipée,,,,,,Non specifié,,,,,Oui,,Non,,6920 m²,,,,,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,Non,1125 kWh/m²/an,20241002-0003395048-RES-1,"oui, attestation non conforme",,,,,,,,,,,,,,,,,,,Zone agricole d'intérêt paysager,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3870/gutschoven/vbc44730,VBC44730,Maison à vendre,249000,Steenweg 240,3870 Gutschoven,À rénover,,,4,,,,,,335 m²,Non,,,,,2,,13 m²,,Mazout,Double vitrage,,,,Oui,,,,1133 m²,,,,Non,,,,,,Information non communiquée,Information non communiquée,,,Oui,Oui,Non,,,,Oui,1,Non,587 kWh/m²/an,20230125-0002790630-res1,"non, pas d'attestation",,,Non,Nord,2,196600 kWh/an,25/01/2033,51548,Non,15 m,,391 m²,,,,,,,,20 m²,,,,,,,,,,,,,,,,,,,,,,
