ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Garage,Équipement_de_la_cuisine,Nombre_de_façades,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Véranda,Nombre_de_salles_de_bain,Type_de_chauffage,Ascenseur,Accessible_aux_moins_valides,Largeur_de_la_façade,Surface_constructible,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Nombre_de_Garages,Type_de_vitrage,Panneaux_solaires,Pompe_à_chaleur,Air_conditionné,Alarme_antieffraction,Orientation_de_la_façade_du_bien,Parlophone,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Étage_de_lappartement,Nombre_de_places_de_parking_extérieur,Permis_de_bâtir_obtenu,Largeur_du_terrain_à_rue,Bien_actuellement_loué,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_toilettes,Raccordé_à_leau_courante,Attestation__Asbuilt,Affectation_urbanistique_la_plus_récente,Emission_de_CO2,Surface_du_garage,Conso_annuelle_totale_dénergie_primaire,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Maison_basse_énergie,Chauffage_au_sol,Compteur_Bihoraire,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Niveau_S,Surface_du_séjour,Surface_du_bureau,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_des_caves,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Orientation_du_jardin,Profondeur_du_terrain,Surface_du_grenier,Possibilités_pour_profession_libérale,Surface_totale,Porte_de_garage_motorisée,Domotique,Porte_daccès_sécurisée,Niveau_K,Nombre_de_douches,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Piscine_extérieure,Surface_salle_à_manger,Orientation_de_la_terrasse,Feu_ouvert,Balcon,Espace_ouvert_sensible_à_leau__WORG,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Station_de_charge_électrique,Adoucisseur_deau,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Attestation__Citernes_à_mazout,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Attestation__Installation_électrique__Validité,Panneaux_solaires_thermiques,Appartement_de_service,Surface_du_dressing,Surface_de_la_véranda,Niveau_E,Attestation__Citernes_à_mazout__Validité,Clef_électronique
https://immovlan.be/fr/detail/villa/a-vendre/3990/peer/rbt66539,RBT66539,Villa à vendre,995000,Baan naar Bree 126,3990 Peer,Excellent,1974,A l’acte,6,550 m²,Non,Oui,Oui,Oui,Super équipée,4,Oui,85000 m²,Oui,8500 m²,20210628 kWh/m²/an,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3990/peer/rbt64468,RBT64468,Maison à vendre,349000,Meeuwerbaan 41,3990 Peer,Normal,1984,,4,161 m²,Non,Oui,Non,,,,Oui,724 m²,Oui,1077 m²,228 kWh/m²/an,Non,,,,,Pas de risque d’inondation,Information non communiquée,Oui,1,Gaz,Non,Non,11 m,153 m²,20241207-0003471679-RES1,07/12/2034,"non, pas d'attestation",Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3990/peer/rbt36362,RBT36362,Maison à vendre,199000,Lijsterstraat 2,3990 Peer,À rénover,1967,,3,171 m²,Non,Non,Non,Oui,,,Oui,,,735 m²,914 kWh/m²/an,Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,1,Non specifié,Non,Non,,,,,"non, pas d'attestation",,Non,2,Simple vitrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3990/peer/rbt31308,RBT31308,Appartement à vendre,349000,Markt 9 2,3990 Peer,Normal,,,3,304 m²,,Non,Non,,,,Oui,,Oui,,140 kWh/m²/an,Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,1,Gaz,Non,Non,,,20230131-0002796687-RES-1,31/01/2033,"non, pas d'attestation",,Non,,Double vitrage,Oui,Oui,Oui,Oui,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/penthouse/a-vendre/3990/peer/rbt26480,RBT26480,Penthouse à vendre,295000,Zuidervest 109 bus 3,3990 Peer,À rénover,2025,,2,101 m²,,Non,Non,,,,,,Oui,,20 kWh/m²/an,Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,1,Solaire,Non,Non,,191 m²,,,pas d'application,,Non,,,Oui,Oui,Oui,,,Oui,2,21 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3990/peer/rbt26479,RBT26479,Appartement à vendre,255000,Zuidervest 109 bus 2,3990 Peer,À rénover,2025,,2,80 m²,Non,Non,Non,,,,,,Oui,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,1,Solaire,Non,Non,,191 m²,,,pas d'application,,Non,,,Oui,Oui,Oui,,,Oui,3,13 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3990/peer/rbt20944,RBT20944,Maison à vendre,285000,Kiezel Kleine Brogel 15A,3990 Peer,En cours de construction,2023,,3,160 m²,,Non,Oui,Oui,,,Oui,,Oui,239 m²,15 kWh/m²/an,Oui,,,,,Pas de risque d’inondation,Information non communiquée,Non,1,Non specifié,Non,Non,,,,,pas d'application,,Non,,,,,,,Est,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3990/peer/rbt08182,RBT08182,Maison à vendre,221914,Roggestraat 22,3990 Peer,Nouveau,,,3,144 m²,Non,,,,,3,Oui,,Oui,347 m²,,,,,,,Pas de risque d’inondation,Information non communiquée,,1,Gaz,Non,,,,,,pas d'application,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3990/peer/rbt08181,RBT08181,Maison à vendre,270862,Roggestraat 24,3990 Peer,Nouveau,,,3,144 m²,Non,,,,,3,Oui,,Oui,308 m²,,,,,,,Pas de risque d’inondation,Information non communiquée,,1,Gaz,Non,,,,,,pas d'application,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3990/peer/rbt08180,RBT08180,Maison à vendre,221914,Roggestraat 20,3990 Peer,Nouveau,,,3,144 m²,Non,,,,,3,Oui,,Oui,299 m²,,,,,,,Pas de risque d’inondation,Information non communiquée,,1,Gaz,Non,,,,,,pas d'application,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
