ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Étage_de_lappartement,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_détages_de_limmeuble,Terrasse_aménagée,Surface_de_la_terrasse,Surface_constructible,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Disponibilité_du_bien,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Raccordé_au_gaz_de_ville,Etat_du_bien,Nombre_de_Garages,Largeur_de_la_façade,Jardin,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Citerne_à_eau_de_pluie,Maison_basse_énergie,Panneaux_solaires,Type_de_vitrage,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Station_de_charge_électrique,Pompe_à_chaleur,Air_conditionné,Surface_du_jardin,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Type_de_cuisine,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Parlophone,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Raccordé_aux_égouts,Conso_annuelle_totale_dénergie_primaire,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Surface_du_bureau,Surface_des_caves,Surface_du_grenier,Nombre_de_places_de_parking_extérieur,Profondeur_du_terrain,Piscine_extérieure,Orientation_du_jardin,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_salle_à_manger,Adoucisseur_deau,Alarme_antieffraction,Possibilités_pour_profession_libérale,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_totale,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Porte_daccès_sécurisée,Attestation__Installation_électrique__Validité,Chauffage_au_sol,Compteur_Bihoraire,Panneaux_solaires_thermiques,Feu_ouvert,Attestation__Citernes_à_mazout,Appartement_de_service,Attestation__Asbuilt
https://immovlan.be/fr/detail/appartement/a-vendre/4300/waremme/vbc88593,VBC88593,Appartement à vendre,193000,Rue de Huy 4 12,4300 Waremme,Non,1969,3,103 m²,Non,32 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,Mazout,Non,4,Ouest,2,4,Oui,4 m²,103 m²,Oui,608 kWh/m²/an,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4300/waremme/vbc88592,VBC88592,Appartement à vendre,215000,Rue des Combattants 11 14,4300 Waremme,Non,1977,2,99 m²,Non,29 m²,Non,Non,Non,Non,Non,Non,Non,,1,1,,Oui,2,Ouest,,6,Oui,8 m²,99 m²,Oui,132 kWh/m²/an,"oui, attestation conforme",Information non communiquée,Information non communiquée,A l’acte,20250403001337,03/04/2035,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4300/waremme/vbc88591,VBC88591,Appartement à vendre,189000,Place Ernest Rongvaux 1A 06,4300 Waremme,Non,1975,2,85 m²,Non,27 m²,Non,Non,Non,Non,Non,Non,Non,,,1,Gaz,Oui,2,Nord-ouest,2,7,Oui,2 m²,85 m²,Oui,241 kWh/m²/an,"oui, attestation non conforme",Information non communiquée,Information non communiquée,A l’acte,20181130006982,30/11/2028,45,Super équipée,1,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc88110,VBC88110,Maison à vendre,432603,,4300 Waremme,,,3,180 m²,,,,,,,,,,Oui,,2,,,,,3,,,,,,,,Information non communiquée,Information non communiquée,,,,,,2,,Nouveau,1,7 m,Oui,1363 m²,7 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc88109,VBC88109,Maison à vendre,434305,,4300 Waremme,,,4,206 m²,,,,,,,,,,Oui,,2,,,,,3,,,,,,,,Information non communiquée,Information non communiquée,,,,,,2,,Nouveau,1,9 m,Oui,1363 m²,9 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/rwc32426,RWC32426,Maison à vendre,282286,Avenue Joseph Lemaire,4300 Waremme,,,3,158 m²,,,,Oui,,,,,,,,,Gaz,,,,2,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,Oui,,,,Oui,Oui,Double vitrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vwd13778,VWD13778,Maison à vendre,350000,Avenue de la Résistance 35,4300 Waremme,,1955,4,203 m²,,,,Oui,,,,,,Oui,,,Mazout,,,,3,,Oui,22 m²,,,206 kWh/m²/an,,Information non communiquée,Information non communiquée,,,,,,1,,Normal,,,Oui,,,,Non,Oui,Double vitrage,3,22 m²,Non,Oui,Oui,70 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4300/waremme/vbc85498,VBC85498,Appartement à vendre,209500,Rue des Fabriques 17 RDC,4300 Waremme,Non,,2,104 m²,Non,30 m²,,,,,,,,Oui,1,1,Gaz,Oui,0,,2,6,Oui,4 m²,,Oui,247 kWh/m²/an,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,A l’acte,,31/10/2034,45,Equipée,1,Oui,Normal,1,,,,,,,,,1,,,,,,13 m²,10 m²,Américaine,13 m²,7 m²,Oui,Oui,Sud,Oui,25713 kWh/an,Oui,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc82026,VBC82026,Maison à vendre,275000,Avenue du prince régent 41,4300 Waremme,,,3,122 m²,,29 m²,Oui,Oui,,,,,,Oui,,2,Mazout,Non,,,3,3,Oui,,,,413 kWh/m²/an,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,,,,Semi-équipée,1,,Normal,1,8 m,Oui,800 m²,8 m,,,,Double vitrage,,,,,,653 m²,15 m²,14 m²,Kitchenette,19 m²,6 m²,,Non,,Oui,60817 kWh/an,,,,18 m²,23 m²,34 m²,2,68 m,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4300/waremme/vbc79451,VBC79451,Appartement à vendre,193000,Rue des Fontaines 6 1,4300 Waremme,Non,2001,2,80 m²,Non,27 m²,Non,Non,Non,Non,Non,Non,Non,Oui,,,Gaz,Non,,,2,8,Non,,,Oui,262 kWh/m²/an,"oui, attestation conforme",Information non communiquée,Information non communiquée,A l’acte,20250527007714.,27/05/2037,48,,1,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,,22716 kWh/an,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
