ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Surface_du_séjour,Grenier,Véranda,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Orientation_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_4,Caves,Parlophone,Alarme_antieffraction,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Surface_du_jardin,Surface_de_la_terrasse,Largeur_du_terrain_à_rue,Disponibilité_du_bien,Surface_du_bureau,Salle_à_manger,Dressing,Buanderie,Local_vélo,Référence_PEB,Surface_des_caves,Surface_du_grenier,Surface_de_lades_salles_de_bain,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_du_garage,Surface_salle_à_manger,Orientation_du_jardin,Profondeur_du_terrain,Surface_constructible,Air_conditionné,Étage_de_lappartement,Affectation_urbanistique_la_plus_récente,Balcon,Panneaux_solaires_thermiques,Chauffage_au_sol,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Niveau_E,Niveau_K,Attestation__Asbuilt,Feu_ouvert,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Pompe_à_chaleur,Porte_de_garage_motorisée,Clef_électronique,HammamSaunaJacuzzi,Attestation__Installation_électrique__Validité,Adoucisseur_deau,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Maison_basse_énergie,Espace_ouvert_sensible_à_leau__WORG,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,Surface_de_la_véranda,Surface_du_dressing,Compteur_Bihoraire,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel
https://immovlan.be/fr/detail/maison/a-vendre/4540/amay/vbc89676,VBC89676,Maison à vendre,315000,Rue Beau Séjour 26,4540 Amay,Normal,Non,1974,3,17 m²,11 m²,11 m²,150 m²,Non,32 m²,Oui,Oui,Oui,1,1,Equipée,Américaine,8 m²,1,1,1,Oui,Gaz,Double vitrage,Non,Non,3,1,1,Oui,Oui,Ouest,665 m²,Oui,Oui,Oui,Oui,Non,335 kWh/m²/an,61016 kWh/an,13/06/2035,44,"non, pas d'attestation",Oui,Non,Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4540/amay/vbc88934,VBC88934,Maison à vendre,465000,Rue Martine 8,4540 Amay,Excellent,Non,1982,4,19 m²,12 m²,12 m²,245 m²,Non,45 m²,Oui,Oui,Oui,1,1,Equipée,Américaine,9 m²,1,1,3,Oui,,Double vitrage,Non,Oui,4,2,4,Oui,Oui,Sud-ouest,1490 m²,Oui,,Oui,Oui,Non,191 kWh/m²/an,57274 kWh/an,14/02/2035,42,"oui, attestation conforme",Oui,Non,Non,Pas de risque d’inondation,Information non communiquée,9 m²,Oui,Oui,Oui,Sud,17 m,900 m²,40 m²,17 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4540/amay/vbc88368,VBC88368,Maison à vendre,250000,,4540 Amay,Normal,Non,,5,,,,180 m²,Non,45 m²,Non,Non,,,,Semi-équipée,,,1,,2,,Mazout,,Non,,,,,Oui,Oui,,,,,,,,423 kWh/m²/an,107376 kWh/an,24/01/2034,,pas d'application,,,,Information non communiquée,Information non communiquée,,Non,,,,,,30 m²,,A l’acte,16 m²,Non,Non,Non,Non,20250124015727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4540/amay/vbc88267,VBC88267,Maison à vendre,215000,Rue Joseph Wauters 26,4540 Amay,Normal,,,2,,,,234 m²,,,Oui,Non,,,,,,,1,,,,Gaz,Simple vitrage,Non,Non,,2,,,Oui,,234 m²,,,,,,423 kWh/m²/an,83173 kWh/an,05/06/2035,77,pas d'application,,Non,,Pas de risque d’inondation,Information non communiquée,,Oui,,,,,,11 m²,,A convenir,,,,,,20250605018884,11 m²,62 m²,6 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4540/amay/vbc87643,VBC87643,Maison à vendre,269500,Rue Pâquette 21 A,4540 Amay,Normal,Non,1963,3,12 m²,17 m²,9 m²,133 m²,Non,40 m²,,,Oui,1,,Equipée,Américaine,,2,1,,,Mazout,Double vitrage,Non,Non,4,1,1,Oui,Oui,,381 m²,Oui,,,,Non,436 kWh/m²/an,58089 kWh/an,05/08/2026,,"oui, attestation conforme",,,Non,Information non communiquée,Information non communiquée,,,,,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4540/amay/vbc87306,VBC87306,Maison à vendre,389000,Rue Alex Fouarge 1 C,4540 Amay,Normal,,2004,4,,,,174 m²,Non,,Non,Non,Oui,1,,,,,1,,,Oui,Bois,Double vitrage,Non,Non,,2,,Oui,Oui,,646 m²,,,,,,218 kWh/m²/an,41233 kWh/an,04/06/2035,54,"non, pas d'attestation",,Non,,Pas de risque d’inondation,Information non communiquée,,Oui,,,,,,70 m²,,,,,,,,20250604005942,8 m²,,7 m²,Non,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4540/amay/vbc87307,VBC87307,Maison à vendre,389000,Rue Alex Fouarge 1 C,4540 Amay,Normal,,2004,4,,,,174 m²,Non,,Non,Non,Oui,1,,,,,1,,,Oui,Bois,Double vitrage,Non,Non,,2,,Oui,Oui,,646 m²,,,,,,218 kWh/m²/an,41233 kWh/an,04/06/2035,54,"non, pas d'attestation",,Non,,Pas de risque d’inondation,Information non communiquée,,Oui,,,,,,70 m²,,,,,,,,20250604005942,8 m²,,7 m²,Non,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4540/amay/vbc65620,VBC65620,Maison à vendre,235000,Rue Sous les Vignes 46,4540 Amay,À rénover,,1965,2,14 m²,41 m²,,100 m²,Non,28 m²,Oui,,Oui,1,,,Indépendante,6 m²,2,2,1,,Gaz,,Non,Non,4,1,2,Oui,Oui,Nord,1702 m²,Oui,Oui,Oui,Oui,Non,616 kWh/m²/an,61803 kWh/an,08/04/2035,112,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,,,,,,,912 m²,,,A l’acte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4540/ombret-rawsa/vbc55438,VBC55438,Maison à vendre,169000,,4540 Ombret-Rawsa,Normal,,,3,,,,140 m²,Non,30 m²,Oui,,Oui,1,,,,,1,,,Oui,Non specifié,,Non,,,,2,Oui,Non,,,,,,,,319 kWh/m²/an,58882 kWh/an,24/03/2035,,pas d'application,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,20250324032721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4540/amay/vbc69601,VBC69601,Appartement à vendre,199000,Rue Sart Wesmael 17,4540 Amay,Normal,,2014,2,13 m²,10 m²,,74 m²,,24 m²,,,,,,Equipée,Américaine,11 m²,1,1,1,,Gaz,Double vitrage,Non,Non,2,1,1,,Oui,,,Oui,,Oui,,Non,88 kWh/m²/an,7566 kWh/an,20/11/2027,17,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,,,Oui,,,,,,,,,,,,,,,,5 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
