ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Nombre_de_place_de_parking_intérieur,Type_de_chauffage,Etat_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_de_la_cuisine,Nombre_de_douches,Type_de_vitrage,Air_conditionné,Raccordé_à_leau_courante,Piscine_extérieure,Disponibilité_du_bien,Permis_de_bâtir_obtenu,Surface_de_la_terrasse,Nombre_de_places_de_parking_extérieur,Équipement_de_la_cuisine,Type_de_cuisine,Panneaux_solaires,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Possibilités_pour_profession_libérale,Raccordé_au_gaz_de_ville,Attestation__Citernes_à_mazout,Surface_de_lades_salles_de_bain,Parlophone,Étage_de_lappartement,Feu_ouvert,Surface_salle_à_manger,Surface_des_caves,Surface_du_grenier,Alarme_antieffraction,Chauffage_au_sol,Pompe_à_chaleur,Appartement_de_service,Surface_du_dressing,Panneaux_solaires_thermiques,Domotique,Porte_daccès_sécurisée,Surface_chambre_à_coucher_5,Surface_du_garage,Adoucisseur_deau,Orientation_du_jardin,Balcon,Compteur_Bihoraire,Attestation__Installation_électrique__Validité,Citerne_à_eau_de_pluie,Surface_du_bureau,Affectation_urbanistique_la_plus_récente,Maison_basse_énergie,Compteur_deau_individuel,HammamSaunaJacuzzi,Attestation__Asbuilt
https://immovlan.be/fr/detail/bungalow/a-vendre/4650/chaineux/vbc17086,VBC17086,Bungalow à vendre,330000,Rue de Verviers 133,4650 Chaineux,Non,1976,3,163 m²,Non,27 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,2,Non,Est,4,11 m,1,Oui,615 m²,Oui,720 m²,78 m²,40 m,310 kWh/m²/an,55367 kWh/an,20241030009804,29/10/2034,3100,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4650/herve/vbc84066,VBC84066,Maison à vendre,265000,"Rue de l'Abattoir, 3",4650 Herve,Non,,4,258 m²,,34 m²,Non,Oui,Non,Non,Non,Non,Non,Oui,1,1,,,Sud,4,,,Oui,,Oui,490 m²,,,306 kWh/m²/an,,20250520017325,,3,,Information non communiquée,Information non communiquée,1,Non specifié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4650/julemont/vbc82954,VBC82954,Maison à vendre,475000,Rue de Maastricht 208 A,4650 Julémont,,,4,180 m²,,53 m²,,,,,,,,,,2,3,,,4,,1,Oui,3460 m²,Oui,3543 m²,,,115 kWh/m²/an,24264 kWh/an,,,,,Pas de risque d’inondation,Information non communiquée,,Mazout,Excellent,35 m²,13 m²,11 m²,10 m²,21 m²,2,Double vitrage,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4650/julemont/vbc76096,VBC76096,Maison à vendre,460000,Rue Maigre Cense 9,4650 Julémont,,2000,3,,,,,,,,,,,Oui,,1,2,,,4,,,Oui,,Oui,,,,222 kWh/m²/an,43301 kWh/an,20250425022207,,,,Information non communiquée,Information non communiquée,,Mazout,Normal,,,,,,,,,,,A convenir,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/4650/grand-rechain/vbc75099,VBC75099,Fermette à vendre,649000,"Rue Nouvelle, 20",4650 Grand-Rechain,,,5,274 m²,,36 m²,,Oui,,,,,,Oui,2,1,,,,3,,,Oui,,Oui,3485 m²,,,358 kWh/m²/an,98079 kWh/an,20231016021131,,8,,Information non communiquée,Information non communiquée,2,Non specifié,,,,,,,,,,,,,,36 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4650/herve/vbc75093,VBC75093,Maison à vendre,899000,Rue Warrimont 174,4650 Herve,Non,,3,267 m²,,42 m²,Non,Non,Non,Non,Non,Non,Non,Oui,2,1,,,,4,,,,,,3218 m²,,,353 kWh/m²/an,,20241105008664,,87,,Information non communiquée,Information non communiquée,2,Mazout,,,,,,,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4650/herve/vbc75084,VBC75084,Maison à vendre,695000,Rue Biomont 140,4650 Herve,Non,1850,4,196 m²,Non,36 m²,Oui,,,,,,,Oui,2,2,3,Non,Sud-est,4,10 m,1,Oui,715 m²,Oui,5491 m²,,,136 kWh/m²/an,26735 kWh/an,,26/02/2035,33,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,2,Mazout,Excellent,17 m²,11 m²,12 m²,13 m²,19 m²,2,Double vitrage,,Oui,Oui,,Non,7 m²,5,Equipée,Américaine,Oui,Non,Sud-ouest,10 m,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4650/herve/vwd12464,VWD12464,Maison à vendre,235000,Rue Léopold 11,4650 Herve,Non,,3,1 m²,,,Oui,Oui,,,,Oui,Oui,,,,,,Nord,3,,,,,,85 m²,,,287 kWh/m²/an,,20241217018990,,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,Gaz,Normal,,,,,,,Double vitrage,,Oui,,A l’acte,,,,Semi-équipée,Indépendante,,,,,Oui,,,Oui,Oui,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4650/herve/vbc67717,VBC67717,Appartement à vendre,119000,Rue Moreau 60 A,4650 Herve,Non,1930,2,90 m²,Non,19 m²,Oui,,,,,,,,,1,1,Non,Nord,2,,2,,,,,,,218 kWh/m²/an,19916 kWh/an,,30/04/2035,40,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,Gaz,À rénover,18 m²,17 m²,,,14 m²,1,Double vitrage,,Oui,Non,A l’acte,Non,,,Semi-équipée,Kitchenette,,Non,,,Oui,Non,Non,,Oui,,6 m²,Oui,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/4650/grand-rechain/vbc60599,VBC60599,Villa à vendre,425000,Le Haumont 27,4650 Grand-Rechain,Non,1975,3,,,26 m²,Non,Non,Non,Non,Oui,Non,Non,Oui,,,,,Sud,4,,1,Oui,,Oui,1613 m²,,,369 kWh/m²/an,,20250321010106,,,,Information non communiquée,Information non communiquée,2,Electrique,Normal,18 m²,14 m²,13 m²,,16 m²,1,Double vitrage,,,Non,A convenir,,,,Equipée,,Oui,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
