ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Meublé,Caves,Grenier,Salle_à_manger,Surface_salle_à_manger,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Surface_du_séjour,Véranda,Dressing,Buanderie,Local_vélo,Étage_de_lappartement,Référence_PEB,Surface_du_bureau,Surface_des_caves,Garage,Nombre_de_Garages,Surface_de_lades_salles_de_bain,Panneaux_solaires,Parlophone,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Orientation_du_jardin,Profondeur_du_terrain,Raccordé_aux_égouts,Piscine_extérieure,Emission_de_CO2,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Orientation_de_la_terrasse,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Nombre_de_place_de_parking_intérieur,Surface_du_grenier,Air_conditionné,Panneaux_solaires_thermiques,Surface_du_dressing,Station_de_charge_électrique,Maison_basse_énergie,Pompe_à_chaleur,Attestation__Citernes_à_mazout,Adoucisseur_deau,Surface_du_garage,Chauffage_au_sol,Compteur_deau_individuel,Domotique,Porte_daccès_sécurisée,Attestation__Asbuilt,Surface_totale,Possibilités_pour_profession_libérale,Niveau_E,Appartement_de_service,Compteur_Bihoraire,Adaptations_pour_les_seniors,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Affectation_urbanistique_la_plus_récente,Porte_de_garage_motorisée,Balcon,Surface_constructible,Citation_pour_infraction_urbanistique,Attestation__Citernes_à_mazout__Validité,Surface_de_la_véranda,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc90082,VBC90082,Maison à vendre,445000,Rue Dernier Patard 38,1470 Genappe,À rénover,1920,A l’acte,5,26 m²,26 m²,17 m²,20 m²,13 m²,223 m²,Non,Oui,Oui,Oui,25 m²,Semi-équipée,Kitchenette,18 m²,1,1,2,Mazout,Double vitrage,Non,Non,Est,4,17 m,2,1,Oui,555 m²,Oui,20 m²,709 m²,17 m,Oui,435 kWh/m²/an,435 kWh/an,12/05/2035,"non, pas d'attestation",05/12/2025,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1470/genappe/vbc81303,VBC81303,Appartement à vendre,220000,Rue Louis Lalieux 1A,1470 Genappe,Normal,,A partir du : 01/12/2025,1,,,,,,70 m²,Non,Non,Non,Non,,Semi-équipée,,,1,,1,Gaz,,Oui,,,,,2,,Non,,Non,,,,,188 kWh/m²/an,13111 kWh/an,01/06/2025,pas d'application,,Information non communiquée,Information non communiquée,Non,32 m²,Non,Non,Non,Non,2,20150601014040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc65522,VBC65522,Maison à vendre,695000,Rue de la Croix 17,1470 Genappe,Normal,1964,Immédiatement,6,10 m²,14 m²,13 m²,14 m²,14 m²,248 m²,Non,Oui,Oui,,,Super équipée,,19 m²,1,2,4,Mazout,Double vitrage,Non,Non,,4,8 m,1,4,Oui,4746 m²,Oui,80 m²,6600 m²,8 m,Oui,339 kWh/m²/an,64970 kWh/an,22/01/2035,"oui, attestation non conforme",,Pas de risque d’inondation,Information non communiquée,Non,55 m²,,,,,,,7 m²,7 m²,Oui,1,6 m²,Oui,Oui,Oui,Oui,Oui,Nord,155 m,Oui,Non,84,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc85912,VBC85912,Maison à vendre,625000,Rue Jean Mintens 16,1470 Genappe,Excellent,1750,,5,12 m²,15 m²,17 m²,12 m²,26 m²,280 m²,,Oui,Oui,Oui,12 m²,Super équipée,,21 m²,3,2,3,Gaz,Double vitrage,Non,Non,Nord,2,10 m,2,,Oui,480 m²,Oui,40 m²,638 m²,10 m,Oui,231 kWh/m²/an,64623 kWh/an,25/03/2035,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,44 m²,,,,,,,,,,,,,,,,,,,Oui,Non,42,,,,Sud,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc82933,VBC82933,Maison à vendre,664790,,1470 Genappe,Nouveau,,,3,,,,,,228 m²,,,,,,,,,2,,2,,,,,,4,12 m,,,Oui,,,,2021 m²,12 m,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,Oui,1,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc82932,VBC82932,Maison à vendre,722429,,1470 Genappe,Nouveau,,,4,,,,,,363 m²,,,Oui,,,,,,2,,2,,,,,,4,13 m,,,Oui,,,,2021 m²,13 m,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,Oui,1,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc80679,VBC80679,Maison à vendre,299000,,1470 Genappe,À rénover,1899,A l’acte,4,32 m²,32 m²,26 m²,21 m²,,242 m²,Non,Oui,Oui,Oui,20 m²,Semi-équipée,Kitchenette,10 m²,2,1,1,Mazout,Double vitrage,Non,,,3,,2,2,,,Oui,80 m²,350 m²,,,,481 kWh/an,08/10/2033,"oui, attestation non conforme",,Pas de risque d’inondation,Riveraine d’une zone inondable délimitée,,50 m²,,,,,,,,,Oui,1,,,,,,,,,Oui,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc80330,VBC80330,Maison à vendre,145000,Chaussée de Nivelles 9,1470 Genappe,À rénover,1903,,2,16 m²,12 m²,,,,100 m²,Non,Oui,Oui,Oui,19 m²,Semi-équipée,Kitchenette,5 m²,1,,1,,Double vitrage,Non,Non,,2,5 m,2,,,,Oui,21 m²,100 m²,5 m,Oui,462 kWh/m²/an,51833 kWh/an,,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,Non,27 m²,,,,,,,,,,,,,,,,,,,Oui,Non,84,Non,Non,Non,Sud-est,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc79638,VBC79638,Maison à vendre,395000,,1470 Genappe,À rénover,1930,,10,18 m²,33 m²,13 m²,16 m²,18 m²,570 m²,Non,,,,,,,,4,4,5,Gaz,,Non,Oui,,4,,3,,Oui,1539 m²,Oui,,1539 m²,,,362 kWh/m²/an,206096 kWh/an,13/03/2034,"oui, attestation non conforme",,Risque moyen,Inondable délimitée,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/1470/genappe/vbc79233,VBC79233,Immeuble mixte à vendre,180000,,1470 Genappe,À rénover,,A l’acte,4,29 m²,17 m²,17 m²,16 m²,,375 m²,Non,,Oui,,,,,17 m²,1,,2,Mazout,Double vitrage,Non,Non,Est,2,,3,10,,,Oui,,220 m²,,Oui,505 kWh/m²/an,48662 kWh/an,10/06/2034,,,Pas de risque d’inondation,Information non communiquée,Non,,,,,,,,,,Oui,4,,,,,,,,,Oui,Non,126,,,,,,,,66 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
