ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_détages_de_limmeuble,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Véranda,Dressing,Buanderie,Local_vélo,Nombre_de_Garages,Orientation_de_la_façade_du_bien,Jardin,Surface_du_jardin,Référence_PEB,Année_de_construction,Surface_du_garage,Équipement_de_la_cuisine,Surface_de_lades_salles_de_bain,Largeur_de_la_façade,Orientation_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Nombre_de_places_de_parking_extérieur,Surface_des_caves,Surface_du_grenier,Surface_chambre_à_coucher_5,Attestation__Installation_électrique__Validité,Surface_constructible,Étage_de_lappartement,Panneaux_solaires,Parlophone,Possibilités_pour_profession_libérale,Adoucisseur_deau,Maison_basse_énergie,Panneaux_solaires_thermiques,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Air_conditionné,Domotique,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Orientation_du_jardin,Espace_ouvert_sensible_à_leau__WORG,Surface_du_bureau,Balcon,Surface_du_dressing,Attestation__Asbuilt,Affectation_urbanistique_la_plus_récente,Niveau_E,Niveau_K,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Porte_de_garage_motorisée,Clef_électronique,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Appartement_de_service,Niveau_S,Surface_de_la_véranda
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/4800/ensival/vbc80524,VBC80524,Immeuble mixte à vendre,199000,Rue de la Grappe 49,4800 Ensival,À rénover,Non,A l’acte,4,12 m²,10 m²,12 m²,12 m²,189 m²,Non,21 m²,Oui,Oui,Oui,16 m²,Oui,5,Indépendante,13 m²,2,2,3,Gaz,Double vitrage,Non,Non,2,5,Oui,107 m²,229 m²,Oui,Oui,Oui,Non,515 kWh/m²/an,97336 kWh/an,17/03/2035,93,"non, pas d'attestation",Non,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4800/ensival/vbc76651,VBC76651,Maison à vendre,185000,En Mi-ville 48,4800 Ensival,Normal,Non,A convenir,2,,,,,121 m²,Non,16 m²,Non,Oui,Non,,Oui,,,,1,,1,Gaz,,Non,,2,2,,,92 m²,,Oui,Oui,,186 kWh/m²/an,,14/05/2035,,pas d'application,,Information non communiquée,Information non communiquée,Non,Non,Non,Non,1,Sud-ouest,Oui,50 m²,20250514008216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4800/ensival/vbc62026,VBC62026,Maison à vendre,170000,Rue de la paix 26,4800 Ensival,À rénover,Oui,,2,16 m²,15 m²,,,115 m²,,30 m²,Oui,,,,Oui,1,Kitchenette,9 m²,1,,1,Gaz,Double vitrage,Non,Non,2,2,Oui,16 m²,245 m²,Oui,Oui,Oui,Non,383 kWh/m²/an,49456 kWh/an,13/04/2035,71,"oui, attestation non conforme",Non,Pas de risque d’inondation,Information non communiquée,,,,,1,Sud-ouest,Oui,180 m²,,1957,26 m²,Semi-équipée,6 m²,7 m,Nord-est,40 m,7 m,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/4800/ensival/vbc75103,VBC75103,Villa à vendre,375000,"Avenue Edouard Cordonnier, 85",4800 Ensival,,Non,,4,,,,,154 m²,,39 m²,Non,Oui,Non,,Oui,2,,,1,,,Mazout,,,,4,,Oui,63 m²,1547 m²,,,,,446 kWh/m²/an,,,42,,,Information non communiquée,Information non communiquée,Non,Non,Non,Non,2,Sud-est,Oui,,20250309006857,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4800/ensival/vbc53200,VBC53200,Maison à vendre,245000,Rue Moreau 6,4800 Ensival,,Non,,6,,,,,198 m²,,,Non,Oui,Non,,,,,,1,,,Mazout,,,,2,,Oui,18 m²,290 m²,,,,,284 kWh/m²/an,,,70,,,Information non communiquée,Information non communiquée,Non,Non,Non,Non,,Sud-est,Oui,,20250317014554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4800/ensival/vbc61566,VBC61566,Maison à vendre,99000,En Mi-Ville 58,4800 Ensival,Normal,,,1,12 m²,,,,52 m²,Non,17 m²,Oui,Oui,,,,,Kitchenette,8 m²,1,,2,Gaz,Double vitrage,,,3,,,,33 m²,Oui,,,,391 kWh/m²/an,25010 kWh/an,01/04/2035,71,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,,,,,,,,,,,,Semi-équipée,8 m²,,,,,,,,7 m²,7 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4800/ensival/vbc44092,VBC44092,Maison à vendre,215000,Rue Moreau 53,4800 Ensival,,,,5,,,,,249 m²,,38 m²,,Oui,,,,,,,1,1,,Gaz,,,,2,,Oui,17 m²,330 m²,,,,,367 kWh/m²/an,91529 kWh/an,,68,,,Information non communiquée,Information non communiquée,,,,,,,Oui,,20240726005464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4800/verviers/vbc91317,VBC91317,Maison à vendre,369000,Rue de Jehanster 33,4800 Verviers,,Non,,5,,,,,233 m²,,,Non,Oui,Non,,Oui,1,,,1,,,Gaz,,,,2,,Oui,7 m²,171 m²,,,,,229 kWh/m²/an,,,42,,,Information non communiquée,Information non communiquée,Non,Non,Non,Non,1,,,,20250311016814,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4800/verviers/vbc90894,VBC90894,Maison à vendre,89000,Rue de Mangombroux 88,4800 Verviers,À rénover,Non,A l’acte,7,17 m²,14 m²,18 m²,12 m²,165 m²,Non,14 m²,Oui,Oui,Oui,12 m²,,,Indépendante,7 m²,1,1,1,Gaz,Double vitrage,Non,Non,2,3,Oui,,150 m²,Oui,Oui,Oui,Non,318 kWh/m²/an,52639 kWh/an,22/05/2034,,"oui, attestation conforme",Non,Pas de risque d’inondation,Inondable délimitée,,,,,,Nord,Oui,70 m²,,1874,,,,9 m,Sud,,9 m,Non,Non,,,,7 m²,05/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4800/verviers/vbc89098,VBC89098,Maison à vendre,259000,Rue du Prince 60,4800 Verviers,À rénover,,A l’acte,5,12 m²,17 m²,12 m²,20 m²,227 m²,Non,60 m²,Oui,Oui,Oui,76 m²,Oui,,,26 m²,3,3,3,Gaz,Double vitrage,,,3,,Oui,24 m²,274 m²,Oui,,,Non,417 kWh/m²/an,105931 kWh/an,30/08/2034,77,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,,,Oui,,1,,,,,,206 m²,,3 m²,,,,,,,,18 m²,48 m²,21 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
