ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_habitable,Meublé,Caves,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Parlophone,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Surface_totale_du_terrain,Profondeur_du_terrain,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Disponibilité_du_bien,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Surface_des_caves,Dressing,Surface_du_dressing,Garage,Nombre_de_Garages,Surface_du_garage,Surface_de_la_cuisine,Jardin,Surface_du_jardin,Terrasse_aménagée,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Piscine_extérieure,Emission_de_CO2,Attestation__Installation_électrique,Nombre_de_place_de_parking_intérieur,Équipement_de_la_cuisine,Type_de_cuisine,Panneaux_solaires,Pompe_à_chaleur,Étage_de_lappartement,Surface_de_la_terrasse,Grenier,Surface_du_grenier,Salle_à_manger,Surface_salle_à_manger,Chauffage_au_sol,Citerne_à_eau_de_pluie,Affectation_urbanistique_la_plus_récente,Orientation_de_la_terrasse,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Orientation_du_jardin,Véranda,Raccordé_au_gaz_de_ville,Buanderie,Local_vélo,Feu_ouvert,Référence_PEB,Surface_constructible,Surface_du_bureau,Station_de_charge_électrique,Maison_basse_énergie,Air_conditionné,Panneaux_solaires_thermiques,Compteur_deau_individuel,Domotique,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Compteur_Bihoraire,Possibilités_pour_profession_libérale,Porte_de_garage_motorisée,Adoucisseur_deau,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Espace_ouvert_sensible_à_leau__WORG
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/4950/robertville/vbc57883,VBC57883,Immeuble mixte à vendre,570000,Rue centrale 49,4950 Robertville,Normal,Oui,7,7 m²,11 m²,388 m²,Non,Oui,6,5,6,4 m²,Mazout,Double vitrage,Oui,Non,Non,Sud-est,3,18 m,2,6,267 m²,13 m,Oui,165 kWh/m²/an,11395 kWh/an,24/03/2035,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/robertville/vbc26478,VBC26478,Maison à vendre,340000,Chemin du vieux hêtre 3,4950 Robertville,À rénover,Non,5,19 m²,12 m²,200 m²,Non,Oui,1,,2,10 m²,Mazout,Double vitrage,,Non,Non,Nord-ouest,4,12 m,1,3,1202 m²,45 m,Oui,281 kWh/m²/an,74029 kWh/an,08/09/2033,Pas de risque d’inondation,Information non communiquée,1973,A l’acte,13 m²,21 m²,15 m²,29 m²,9 m²,Oui,7 m²,Oui,1,37 m²,15 m²,Oui,1050 m²,Oui,12 m,Non,Non,70,"oui, attestation non conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4950/robertville/vbc15816,VBC15816,Appartement à vendre,290000,Route des Bains 29,4950 Robertville,En cours de construction,,2,10 m²,10 m²,87 m²,Non,,1,,1,3 m²,Air pulsé,Double vitrage,Oui,Oui,,,3,,2,8,,,Oui,,,,Information non communiquée,Information non communiquée,2024,,,,,29 m²,,,,Oui,,,9 m²,,,Oui,,,Non,,,11,Equipée,Américaine,Oui,Oui,2,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4950/robertville/vbc15815,VBC15815,Appartement à vendre,296500,,4950 Robertville,En cours de construction,,2,10 m²,10 m²,90 m²,Non,,1,,1,5 m²,Air pulsé,Double vitrage,Oui,Oui,,,2,,2,8,,,Oui,,,,Information non communiquée,Information non communiquée,2024,,,,,25 m²,,,,Oui,,,8 m²,,,Oui,,,Non,,,11,Equipée,Américaine,Oui,Oui,0,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4950/robertville/vbc15814,VBC15814,Appartement à vendre,305000,Route des Bains 29,4950 Robertville,En cours de construction,,2,10 m²,10 m²,89 m²,Non,,1,,1,3 m²,Air pulsé,Double vitrage,Oui,Oui,,,2,,2,7,,,Oui,,,,Information non communiquée,Information non communiquée,,,,,,29 m²,,,,Oui,,,9 m²,,,Oui,,,Non,,,11,Equipée,Américaine,Oui,Oui,1,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4950/robertville/vbc15813,VBC15813,Appartement à vendre,307500,Route des Bains 29,4950 Robertville,En cours de construction,,2,10 m²,10 m²,90 m²,Non,,1,,1,5 m²,Air pulsé,Double vitrage,Oui,Oui,,,3,,2,7,,,Oui,,,,Information non communiquée,Information non communiquée,2024,,,,,25 m²,,,,Oui,,,8 m²,,,Oui,,,Non,,,11,Equipée,Américaine,Oui,Oui,1,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4950/robertville/vbc15248,VBC15248,Appartement à vendre,322500,Route des Bains 29,4950 Robertville,En cours de construction,,2,11 m²,11 m²,99 m²,Non,,1,,1,4 m²,Air pulsé,Double vitrage,Oui,Oui,,,3,,2,7,,,Oui,,,,Information non communiquée,Information non communiquée,2024,,,,,32 m²,,,,Oui,,,6 m²,,,Oui,,,Non,,,11,Equipée,Américaine,Oui,Oui,1,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/robertville/vbb97162,VBB97162,Maison à vendre,798000,Route des bains 23B,4950 Robertville,Normal,Non,6,13 m²,11 m²,312 m²,Non,Oui,3,1,3,18 m²,,Double vitrage,,Non,Non,Nord-ouest,4,14 m,1,6,4102 m²,130 m,Oui,28 kWh/m²/an,11366 kWh/an,04/11/2034,Pas de risque d’inondation,Information non communiquée,2008,A l’acte,18 m²,17 m²,17 m²,32 m²,17 m²,Oui,7 m²,Oui,2,29 m²,11 m²,Oui,3877 m²,Oui,14 m,Oui,Non,7,"oui, attestation conforme",,Super équipée,,Oui,,,59 m²,Oui,94 m²,Oui,37 m²,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/robertville/vbb41379,VBB41379,Maison à vendre,1340000,Rue du Barrage 23,4950 Robertville,,,13,,,570 m²,Oui,,11,,,,,,,Non,,Sud-est,4,,,,2668 m²,,Oui,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,Oui,2668 m²,Non,,,,,pas d'application,,,,,,,,,,,,,,Réserve naturelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/4950/waimes/vbc89480,VBC89480,Bungalow à vendre,265000,Rue du Bayehon 44,4950 Waimes,Normal,,2,8 m²,6 m²,76 m²,Oui,,1,1,1,,,Double vitrage,,Non,Oui,Sud,4,20 m,1,,5171 m²,,Oui,1109 kWh/m²/an,84822 kWh/an,12/06/2035,Pas de risque d’inondation,Information non communiquée,1974,,,,,40 m²,,,,Oui,1,,6 m²,Oui,,Oui,,Non,Non,286,"non, pas d'attestation",,Equipée,Américaine,,,,,,,,,,,,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
