ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Grenier,Surface_du_grenier,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Panneaux_solaires,Chauffage_au_sol,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Etat_du_bien,Surface_du_séjour,Surface_du_bureau,Caves,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Équipement_de_la_cuisine,Type_de_chauffage,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Surface_constructible,Emission_de_CO2,Conso_annuelle_totale_dénergie_primaire,Type_de_cuisine,Pompe_à_chaleur,Compteur_Bihoraire,Parlophone,Raccordé_au_gaz_de_ville,Niveau_E,Surface_des_caves,Surface_salle_à_manger,Surface_de_la_cuisine,Alarme_antieffraction,Feu_ouvert,Maison_basse_énergie,Surface_chambre_à_coucher_5,Station_de_charge_électrique,Air_conditionné,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Panneaux_solaires_thermiques,Étage_de_lappartement,Porte_daccès_sécurisée,Porte_de_garage_motorisée,Clef_électronique,Domotique,HammamSaunaJacuzzi,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Attestation__Installation_électrique__Validité,Possibilités_pour_profession_libérale,Surface_totale,Orientation_du_jardin,Surface_du_dressing,Compteur_deau_individuel,Adoucisseur_deau
https://immovlan.be/fr/detail/maison/a-vendre/5031/grand-leez/vbc81145,VBC81145,Maison à vendre,649000,Rue de la Place 27,5031 Grand-Leez,Non,2025,Immédiatement,4,14 m²,13 m²,12 m²,13 m²,174 m²,Non,Oui,60 m²,Oui,1,1,22 m²,2,2,3,8 m²,Oui,Oui,Double vitrage,Non,Non,Nord-ouest,4,16 m,2,4,Oui,1130 m²,Oui,71 m²,Sud-est,1130 m²,16 m,Oui,Oui,Oui,Non,"oui, attestation conforme",Oui,Non,Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5031/grand-leez/vbc68860,VBC68860,Maison à vendre,650000,Rue du Vilcran 9,5031 Grand-Leez,Non,1934,,5,,,,,350 m²,Non,Non,,Oui,1,,,3,,3,,,,,Non,,Ouest,2,20 m,,4,Oui,1100 m²,Oui,25 m²,,1832 m²,,,,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,À rénover,42 m²,20 m²,Non,Non,Non,Non,Non,Non,Super équipée,Mazout,75 m,492 kWh/m²/an,20241122019551,22/11/2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5031/grand-leez/vbc65422,VBC65422,Maison à vendre,395000,Rue de Meux 38,5031 Grand-Leez,Non,,A l’acte,4,,,,,235 m²,Non,Non,,,,,,,2,2,,,,,Non,,Ouest,,19 m,,6,Oui,500 m²,Oui,20 m²,,853 m²,,,,,,pas d'application,,,,Information non communiquée,Information non communiquée,,30 m²,17 m²,Non,Non,Non,Non,Non,Non,,Non specifié,31 m,240 kWh/m²/an,20250417025272,17/04/2035,235 m²,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5031/grand-leez/vbb91143,VBB91143,Maison à vendre en viager,150000,,5031 Grand-Leez,,1979,,4,,,,,170 m²,Non,Oui,,,,,,1,,2,,,,,Non,,Sud-ouest,4,,,,Oui,,Oui,,,1108 m²,,,Oui,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,Normal,50 m²,8 m²,,,,,,,Semi-équipée,Gaz,,242 kWh/m²/an,20220829010124,,,45,46646 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5070/vitrival/rwc39905,RWC39905,Villa à vendre,316050,,5070 Vitrival,Non,2025,A convenir,3,,,,,905 m²,,Oui,,Oui,,1,,1,,,1 m²,Oui,Oui,Double vitrage,,,,4,,,2,Oui,,,,,905 m²,,Oui,Oui,Oui,,"oui, attestation conforme",,Oui,,Pas de risque d’inondation,Information non communiquée,Excellent,,,,,,,,,Super équipée,Gaz,,,,,,,,Américaine,Oui,Oui,Oui,Oui,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/vitrival/vbc78968,VBC78968,Maison à vendre,499000,Rue de la Giloterie 14,5070 Vitrival,,1970,A l’acte,4,32 m²,17 m²,18 m²,20 m²,522 m²,Non,,,Oui,1,,,2,1,3,14 m²,Oui,,Double vitrage,Non,Non,,4,20 m,2,6,Oui,2530 m²,Oui,,,3015 m²,20 m,,,,Non,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,Normal,,20 m²,Oui,Oui,Oui,,,,Equipée,,64 m,332 kWh/m²/an,,,,,,Américaine,,,,,,89 m²,33 m²,46 m²,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/vitrival/vbc50751,VBC50751,Maison à vendre,377702,,5070 Vitrival,,,,3,,,,,185 m²,,,,Oui,1,,,2,,2,,,,,,,,4,9 m,,,,,,,,917 m²,9 m,,,Oui,,,,,,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/vitrival/vbc50750,VBC50750,Maison à vendre,336876,,5070 Vitrival,,,,3,,,,,147 m²,,,,Oui,1,,,1,,2,,,,,,,,4,11 m,,,,,,,,917 m²,11 m,,,Oui,,,,,,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/vitrival/vbc48808,VBC48808,Maison à vendre,210000,Chaussée de Charleroi 131 131,5070 Vitrival,,,A convenir,3,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,Oui,,Oui,,,990 m²,,,,,,,Non,,,Information non communiquée,Information non communiquée,,,,,,,,,,,Mazout,,546 kWh/m²/an,20240717003074,,,,120614 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/vitrival/vbc31778,VBC31778,Maison à vendre,239999,,5070 Vitrival,Oui,1950,,3,16 m²,10 m²,12 m²,,254 m²,Non,Oui,,,,,,1,1,2,,,,Double vitrage,Non,Non,,3,,2,,Oui,600 m²,Oui,15 m²,,830 m²,,Oui,Oui,,Non,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,À rénover,30 m²,,,,,,,,Equipée,Mazout,,275 kWh/m²/an,,19/09/2033,,69,69867 kWh/an,Américaine,,,,Oui,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/vitrival/vbc31749,VBC31749,Maison à vendre,139999,,5070 Vitrival,Oui,1950,A l’acte,3,16 m²,10 m²,12 m²,,254 m²,Non,Oui,,,,,,1,1,2,,,,Double vitrage,Non,Non,,3,,2,,Oui,230 m²,Oui,15 m²,,400 m²,,Oui,Oui,,Non,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,À rénover,,,,,,,,,Equipée,Mazout,,275 kWh/m²/an,,19/09/2033,,69,69867 kWh/an,Américaine,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/vitrival/vbc44137,VBC44137,Maison à vendre,990000,Rue de la Giloterie 19,5070 Vitrival,Non,,A convenir,5,,,,,506 m²,Non,Non,,,,,,3,,5,,,,,Non,,Sud,4,,,6,Oui,,Oui,,,19302 m²,,,,,Oui,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,Normal,,,Non,Non,Non,Non,Non,Non,,Non specifié,,146 kWh/m²/an,,,,146,59460 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
