ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Buanderie,Équipement_de_la_cuisine,Type_de_cuisine,Nombre_de_salles_de_bain,Panneaux_solaires,Panneaux_solaires_thermiques,Type_de_chauffage,Type_de_vitrage,Compteur_électrique_individuel,Compteur_Bihoraire,Compteur_de_gaz_individuel,Étage_de_lappartement,Nombre_de_façades,Nombre_détages_de_limmeuble,Jardin,Orientation_du_jardin,Terrasse_aménagée,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Meublé,Surface_du_séjour,Surface_du_bureau,Grenier,Nombre_de_douches,Nombre_de_toilettes,Ascenseur,Orientation_de_la_façade_du_bien,Surface_du_jardin,Surface_totale_du_terrain,Surface_constructible,Profondeur_du_terrain,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Caves,Surface_des_caves,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Orientation_de_la_terrasse,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_annuelle_totale_dénergie_primaire,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Parlophone,Alarme_antieffraction,Accessible_aux_moins_valides,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Surface_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Date_de_validité_PEB,Emission_de_CO2,Véranda,Dressing,Local_vélo,Surface_chambre_à_coucher_5,Surface_du_grenier,Surface_de_la_véranda,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Station_de_charge_électrique,Maison_basse_énergie,Chauffage_au_sol,Pompe_à_chaleur,Air_conditionné,Attestation__Citernes_à_mazout,Porte_de_garage_motorisée,Clef_électronique,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Balcon,Attestation__Asbuilt,Compteur_deau_individuel,Porte_daccès_sécurisée,Attestation__Installation_électrique__Validité,Surface_du_dressing,Appartement_de_service
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/5377/baillonville/vwd07559,VWD07559,Rez-de-chaussée à vendre,275000,,5377 Baillonville,Excellent,Non,2018,A l’acte,3,125 m²,Oui,Super équipée,Indépendante,1,Oui,Oui,Gaz,Triple vitrage,Oui,Oui,Oui,0,3,1,Oui,Sud-ouest,Oui,Oui,Oui,159 kWh/m²/an,20171011003397,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5377/baillonville/vbc74064,VBC74064,Maison à vendre,420000,Rue du Centre 26,5377 Baillonville,Nouveau,,2025,A l’acte,3,155 m²,,Super équipée,,1,Oui,,Air pulsé,,,,,,4,,Oui,,Oui,,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,Non,54 m²,16 m²,Oui,1,2,Non,Sud-est,500 m²,500 m²,196 m²,31 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5377/baillonville/vbc69239,VBC69239,Maison à vendre,425000,Grande route de Marche 1A,5377 Baillonville,Normal,,1946,A l’acte,4,145 m²,,Semi-équipée,Kitchenette,2,,,,Double vitrage,,,,,4,,Oui,,Oui,,,339 kWh/m²/an,,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,,18 m²,,,,2,,Sud,,23196 m²,,,13 m²,12 m²,10 m²,14 m²,Oui,49 m²,Oui,14 m²,Oui,1,1,31 m²,9 m²,7 m²,Sud,Oui,Oui,41129 kWh/an,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5377/somme-leuze/vbc88699,VBC88699,Maison à vendre,520000,Rue de l'Ecole 1A,5377 Somme-Leuze,Excellent,Non,1999,A l’acte,4,292 m²,,Super équipée,,3,,,Mazout,Double vitrage,,,,,4,2,Oui,,Oui,,Oui,132 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Non,26 m²,,Oui,2,3,Non,Sud-est,2900 m²,3650 m²,,,18 m²,17 m²,12 m²,12 m²,,,Oui,26 m²,Oui,1,,,13 m²,,Nord-ouest,Oui,Non,38473 kWh/an,,,,Oui,Oui,Non,10 m,6,24 m²,10 m,Non,13/05/2035,33,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5377/somme-leuze/vbc88498,VBC88498,Maison à vendre,67500,Dom. du Stoqueux 113,5377 Somme-Leuze,À rénover,Non,,A l’acte,1,60 m²,,,,1,,,Gaz,,,,,,4,1,Oui,,,,Oui,709 kWh/m²/an,,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,Oui,16 m²,,,1,1,Non,Est,843 m²,843 m²,,,7 m²,,,,,,Oui,8 m²,,,,,7 m²,,,,Non,,,,Non,,,Non,,1,,,Non,,146,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/5377/noiseux/rbt47502,RBT47502,Bungalow à vendre,99000,Quartier du Mayeur 20,5377 Noiseux,Normal,Non,1991,A l’acte,1,44 m²,Non,,,1,,,Gaz,,,,,,4,1,Oui,,Oui,Oui,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,Non,,,,1,,Non,,388 m²,388 m²,,,,,,,Non,,Non,,,,,,,,,,,,,,Non,,,,,2,9 m²,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/chalet/a-vendre/5377/heure/rbs75150,RBS75150,Chalet à vendre,105000,Rue de l'Eau d'Heure le bochetay 92,5377 Heure,Normal,Non,1980,A l’acte,2,60 m²,Non,Semi-équipée,,1,,,Electrique,,,,,,4,1,Oui,,Oui,,Oui,997 kWh/m²/an,20250222003913,"non, pas d'attestation",Information non communiquée,Information non communiquée,Oui,,,,1,1,Non,,66 m²,66 m²,,,,,,,Non,,Non,,,,,,,,,,,,,,Non,,,,,1,17 m²,,,,997,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/chalet/a-vendre/5377/hogne/vbc86411,VBC86411,Chalet à vendre,185000,Chemin du Parc 118,5377 Hogne,Normal,,1973,Immédiatement,2,60 m²,,Equipée,Américaine,1,,,,Double vitrage,,,,,4,1,Oui,,Oui,,Oui,666 kWh/m²/an,,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,Non,20 m²,,,,1,Non,Ouest,1350 m²,1446 m²,,,8 m²,6 m²,,,Oui,,,,Oui,,,,15 m²,5 m²,Ouest,,Non,44248 kWh/an,Oui,Oui,Non,,,Non,10 m,3,14 m²,10 m,Non,08/09/2025,132,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5377/bonsin/vbc69845,VBC69845,Maison à vendre,400000,Rue Posterie 4,5377 Bonsin,À rénover,,,A l’acte,6,300 m²,,Equipée,Américaine,1,,,Mazout,Double vitrage,,,,,4,3,Oui,,Oui,,,418 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Non,,,Oui,,1,Non,,,2120 m²,,,10 m²,13 m²,20 m²,20 m²,Oui,,,,Oui,1,,,12 m²,9 m²,,,Non,,Oui,,Non,,,Non,,6,,,,,,,,,20 m²,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5377/somme-leuze/vbc84367,VBC84367,Maison à vendre,310000,Chemin des Bouleaux 173,5377 Somme-Leuze,Normal,,1998,,2,161 m²,,,,1,,,Mazout,Double vitrage,,,,,,,Oui,,Oui,,,327 kWh/m²/an,20250411014788,"non, pas d'attestation",Information non communiquée,Information non communiquée,,,,Oui,,,Non,Sud-est,1100 m²,1182 m²,179 m²,,,,,,Non,,,,Oui,1,,18 m²,,6 m²,,,,46061 kWh/an,,Non,,,,Non,15 m,,,25 m,,11/04/2035,83,Oui,,,,47 m²,30 m²,Non,,,,,,,,,,,,,,,,,,
