ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Dressing,Surface_du_dressing,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Chauffage_au_sol,Pompe_à_chaleur,Appartement_de_service,Véranda,Salle_à_manger,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Raccordé_au_gaz_de_ville,Référence_PEB,Surface_constructible,Équipement_de_la_cuisine,Type_de_cuisine,Espace_ouvert_sensible_à_leau__WORG,Largeur_du_terrain_à_rue,Porte_de_garage_motorisée,Clef_électronique,Surface_de_lades_salles_de_bain,Panneaux_solaires_thermiques,Air_conditionné,Domotique,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Balcon,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Profondeur_du_terrain,Surface_chambre_à_coucher_4,Nombre_de_place_de_parking_intérieur,Surface_des_caves,Surface_salle_à_manger,Surface_du_garage,Orientation_du_jardin,Surface_du_grenier,Station_de_charge_électrique,Panneaux_solaires,Surface_chambre_à_coucher_5,Étage_de_lappartement,Surface_du_bureau,Parlophone,Adoucisseur_deau,Maison_basse_énergie,Compteur_Bihoraire,Possibilités_pour_profession_libérale,Compteur_deau_individuel
https://immovlan.be/fr/detail/maison/a-vendre/5523/sommiere/vbc49622,VBC49622,Maison à vendre,245000,Rue de la bruyère 17A,5523 Sommière,Normal,Non,1912,A l’acte,3,12 m²,11 m²,16 m²,130 m²,Non,16 m²,Oui,Oui,Oui,4 m²,24 m²,1,1,2,Mazout,Double vitrage,Non,Oui,Nord,3,10 m,3,2,Oui,95 m²,Oui,20 m²,Sud-est,200 m²,Oui,Oui,Oui,Non,335 kWh/m²/an,59633 kWh/an,18/04/2026,83,"oui, attestation conforme",12/05/2014,Oui,Non,Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5523/sommiere/vaz81789,VAZ81789,Maison à vendre,325000,Rue de Bouvignes LOT 10,5523 Sommière,Nouveau,,,,3,,,,,Non,,,,,,,1,,,,,,,,4,,,,Oui,,Oui,,,2080 m²,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5523/sommiere/vaz81793,VAZ81793,Maison à vendre,319000,Rue de Bouvignes LOT 27,5523 Sommière,Nouveau,,,,3,,,,,Non,,,,,,,1,,,,,,,,4,,,,Oui,,Oui,,,2290 m²,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5523/sommiere/vaz81792,VAZ81792,Maison à vendre,329000,Rue de Bouvignes LOT 26,5523 Sommière,Nouveau,,,,3,,,,,Non,,,,,,,1,,,,,,,,4,,,,Oui,,Oui,,,2102 m²,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5523/sommiere/vaz81790,VAZ81790,Maison à vendre,299000,Rue de Bouvignes LOT 25,5523 Sommière,Nouveau,,,,3,,,,,Non,,,,,,,1,,,,,,,,3,,,,Oui,,Oui,,,751 m²,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc91926,VBC91926,Maison à vendre,720000,,5530 Yvoir,,Non,1899,,4,,,,465 m²,Non,73 m²,Non,Non,Non,,,2,,2,Gaz,,Non,,,4,,,2,Oui,800 m²,Oui,40 m²,,853 m²,,Oui,,,298 kWh/m²/an,,30/05/2035,55,"oui, attestation conforme",,,,,Information non communiquée,Information non communiquée,,,,Non,Non,Non,Non,Oui,2,Oui,20250530019168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc90077,VBC90077,Maison à vendre,375000,,5530 Yvoir,,Non,1899,,2,,,,246 m²,Non,39 m²,Non,Non,Non,,,1,,2,Gaz,,Non,,,3,,,1,Oui,,Oui,30 m²,,400 m²,,Oui,,,354 kWh/m²/an,,01/06/2035,66,"oui, attestation conforme",,,,,Information non communiquée,Information non communiquée,,,,Non,Non,Non,Non,Oui,2,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc90076,VBC90076,Maison à vendre,345000,,5530 Yvoir,,Non,1899,,2,,,,219 m²,Non,34 m²,Non,Non,Non,,,1,,2,Gaz,,Non,,,3,,,1,Oui,,Oui,,,400 m²,,Oui,,,298 kWh/m²/an,,30/05/2035,55,"oui, attestation conforme",,,,,Information non communiquée,Information non communiquée,,,,Non,Non,Non,Non,,,Oui,20250530019168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc90072,VBC90072,Maison à vendre,695000,,5530 Yvoir,,Non,1900,,22,,,,800 m²,Non,,Non,Non,Non,,,9,,,Mazout,,Oui,,,4,,,2,Oui,,Oui,,,2187 m²,,Oui,,,356 kWh/m²/an,,18/07/2033,88,pas d'application,,,,,Information non communiquée,Information non communiquée,,,,Non,Non,Non,Non,Oui,2,Oui,202307180199927,361 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/5530/yvoir/vbc89953,VBC89953,Bungalow à vendre,99900,Parc résidentiel La Gayolle 315,5530 Yvoir,Excellent,Non,2015,Immédiatement,2,12 m²,6 m²,,60 m²,Oui,,,,,,5 m²,1,1,,Air pulsé,Double vitrage,Non,Non,Sud,4,,,,Oui,140 m²,Oui,50 m²,Sud,200 m²,Oui,Oui,,Oui,,,13/12/2032,,"oui, attestation conforme",,Oui,Oui,Non,Pas de risque d’inondation,Information non communiquée,,Oui,,,,,,Oui,,,,,Equipée,Américaine,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
