ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Meublé,Surface_du_séjour,Salle_à_manger,Surface_salle_à_manger,Garage,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_détages_de_limmeuble,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Grenier,Surface_du_grenier,Surface_de_lades_salles_de_bain,Type_de_vitrage,Orientation_de_la_façade_du_bien,Orientation_de_la_terrasse,Raccordé_aux_égouts,Raccordé_à_leau_courante,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Caves,Nombre_de_Garages,Panneaux_solaires,Attestation__Installation_électrique__Validité,Véranda,Dressing,Buanderie,Local_vélo,Nombre_de_place_de_parking_intérieur,Porte_de_garage_motorisée,Clef_électronique,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Nombre_de_places_de_parking_extérieur,Surface_de_la_terrasse,Surface_constructible,Raccordé_au_gaz_de_ville,Balcon,Référence_PEB,Attestation__Citernes_à_mazout,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Largeur_de_la_façade,Surface_du_dressing,Surface_du_garage,Largeur_du_terrain_à_rue,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout__Validité,Étage_de_lappartement,Orientation_du_jardin,Surface_du_bureau,Surface_des_caves,Surface_de_la_véranda,Possibilités_pour_profession_libérale,Compteur_Bihoraire,Maison_basse_énergie,Barbecue,Parlophone,Station_de_charge_électrique,Profondeur_du_terrain,Pompe_à_chaleur
https://immovlan.be/fr/detail/maison/a-vendre/5563/hour/vbb86712,VBB86712,Maison à vendre,340000,Rue des Déportés 28,5563 Hour,À rénover,1900,A l’acte,5,21 m²,16 m²,13 m²,7 m²,7 m²,208 m²,Non,41 m²,Oui,18 m²,Oui,Equipée,Américaine,15 m²,1,1,2,Mazout,Non,Non,4,3,Oui,1724 m²,Oui,1724 m²,Non,480 kWh/m²/an,119,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5564/wanlin/vbc74654,VBC74654,Maison à vendre,239000,Rue du Bâtis 5,5564 Wanlin,Normal,,A l’acte,4,19 m²,19 m²,14 m²,14 m²,,225 m²,Non,32 m²,,,,Equipée,Américaine,17 m²,1,1,1,,Non,Non,3,2,,,Oui,,Non,175 kWh/m²/an,2,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Non,Oui,58 m²,12 m²,Double vitrage,Sud,Ouest,Oui,Oui,45753 kWh/an,09/04/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5564/wanlin/vbb89328,VBB89328,Maison à vendre,298000,Rue du Bâtis 56,5564 Wanlin,Normal,1963,,2,17 m²,11 m²,,,,110 m²,Non,22 m²,Oui,16 m²,Oui,Equipée,Américaine,11 m²,1,1,1,Mazout,Non,Oui,4,1,Oui,,Oui,1011 m²,Non,368 kWh/m²/an,90,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Non,,,,,Nord-est,Sud-ouest,Oui,Oui,51193 kWh/an,20/03/2027,Oui,1,Oui,08/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5570/baronville/vbc87075,VBC87075,Maison à vendre,255000,Rue de la Potale 16,5570 Baronville,Normal,,Immédiatement,3,9 m²,9 m²,20 m²,,,140 m²,Non,32 m²,Non,,Oui,Equipée,,18 m²,1,,1,Bois,Non,Non,,,Oui,300 m²,Oui,,Non,449 kWh/m²/an,,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,Oui,Oui,,9 m²,Double vitrage,,,,Oui,,,Non,,,,Non,Non,Non,Non,1,Non,Non,Non,Non,Non,Non,Non,Non,Oui,1,20 m²,410 m²,Non,Non,20170913009689,pas d'application,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5570/winenne/vbc91989,VBC91989,Maison à vendre,195000,RUE DES ARDENNES 505,5570 Winenne,À rénover,,Immédiatement,4,19 m²,13 m²,14 m²,20 m²,,325 m²,Non,37 m²,Non,,,,,16 m²,2,,2,,Non,Non,,,,,Oui,,,308 kWh/m²/an,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,Non,,,15 m²,Double vitrage,,,,Oui,,,Non,,,,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,30 m²,232 m²,Non,Non,20250306019803,"oui, attestation non conforme",Non,Non,Non,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5570/winenne/vbc91988,VBC91988,Maison à vendre,175000,Château d'Eau 4,5570 Winenne,Normal,,Immédiatement,2,14 m²,14 m²,,,,120 m²,Non,33 m²,Non,,Oui,,,13 m²,1,,1,,Non,Non,,,Oui,250 m²,,,,457 kWh/m²/an,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,Oui,,,5 m²,Triple vitrage,,,,Oui,,,Non,,,,Non,Non,Non,Non,1,Non,Non,Non,Non,Non,Non,Non,Non,Oui,1,,376 m²,Non,Non,20250306022401,"oui, attestation non conforme",Non,Non,Non,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5570/felenne/vbc91639,VBC91639,Maison à vendre,380000,,5570 Felenne,Excellent,,A l’acte,3,,,,,,251 m²,Non,,,,,Equipée,Américaine,,3,,,,Non,,4,2,Oui,1193 m²,Oui,1444 m²,Non,380 kWh/m²/an,77,,Information non communiquée,Information non communiquée,,Oui,,,Double vitrage,,,,,95576 kWh/an,17/03/2034,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5570/winenne/vbc91562,VBC91562,Maison à vendre,198000,,5570 Winenne,Normal,,A l’acte,3,,,,,,167 m²,Non,,,,Oui,Semi-équipée,Kitchenette,,1,,,Mazout,Non,,2,2,Oui,493 m²,Oui,660 m²,Non,500 kWh/m²/an,124,,Information non communiquée,Information non communiquée,,Oui,,,Double vitrage,,,,Oui,83323 kWh/an,01/06/2035,Oui,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5570/beauraing/vbc91477,VBC91477,Maison à vendre,315000,Rue des Monts 27,5570 Beauraing,,1860,A l’acte,1,,,,,,,Non,,Non,,,,,,,,1,Non specifié,Non,,3,,Oui,1395 m²,,,,454 kWh/m²/an,112,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,Non,Oui,,,,Nord,,,,,01/04/2033,Non,,Oui,,Non,Non,Non,Non,,,,,,,,,,,6,,350 m²,,,20230401008443,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/5570/beauraing/vbc89431,VBC89431,Fermette à vendre,295000,,5570 Beauraing,Normal,,,4,,,,,,210 m²,Non,,,,Oui,,,,1,,,,,,4,,Oui,,Oui,11742 m²,,260 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,,,,,,,,73330 kWh/an,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
