ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Attestation__Citernes_à_mazout__Validité,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Étage_de_lappartement,Surface_de_la_terrasse,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Panneaux_solaires,Ascenseur,Surface_du_jardin,Raccordé_au_gaz_de_ville,Piscine_extérieure,Référence_PEB,Surface_salle_à_manger,Surface_du_dressing,Alarme_antieffraction,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Porte_de_garage_motorisée,Clef_électronique,Surface_de_lades_salles_de_bain,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Surface_constructible,Balcon,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Parlophone,Orientation_de_la_terrasse,Largeur_de_la_façade,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Surface_du_garage,Largeur_du_terrain_à_rue,Surface_des_caves,Orientation_du_jardin,Surface_du_grenier,Surface_chambre_à_coucher_5,Maison_basse_énergie,Compteur_Bihoraire,Pompe_à_chaleur,Station_de_charge_électrique,Surface_du_bureau,Adoucisseur_deau,Porte_daccès_sécurisée,Espace_ouvert_sensible_à_leau__WORG,Attestation__Citernes_à_mazout,Surface_de_la_véranda,Affectation_urbanistique_la_plus_récente,Niveau_E,Niveau_K,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,Citation_pour_infraction_urbanistique
https://immovlan.be/fr/detail/villa/a-vendre/5590/ciney/vbc88779,VBC88779,Villa à vendre,345000,,5590 Ciney,À rénover,Non,1970,A l’acte,4,13 m²,14 m²,14 m²,16 m²,180 m²,Non,34 m²,Oui,Oui,Oui,2,2,Equipée,Américaine,15 m²,1,1,1,Mazout,Double vitrage,Oui,Nord-ouest,4,1,3,Oui,Oui,899 m²,Oui,759 kWh/m²/an,135935 kWh/an,06/06/2035,192,"oui, attestation non conforme",06/06/2025,06/06/2025,Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5590/ciney/vbc91560,VBC91560,Appartement à vendre,215000,Rue Edouard Dinot,5590 Ciney,Nouveau,,,,1,,,,,65 m²,Non,,,,Oui,,,,,,1,,,,,,,,3,,,Oui,,,42 kWh/m²/an,2696 kWh/an,,,,,,,Information non communiquée,Information non communiquée,1,6 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5590/ciney/vbc91003,VBC91003,Villa à vendre,575000,,5590 Ciney,,Non,,,5,,,,,333 m²,Non,25 m²,Non,Non,Oui,1,,,,,2,,3,Gaz,,,,4,2,3,Oui,Oui,940 m²,Oui,97 kWh/m²/an,,28/05/2035,16,"oui, attestation non conforme",,,,Information non communiquée,Information non communiquée,,,Non,Non,Non,Non,Non,Oui,Non,940 m²,Oui,Oui,20250528009134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5590/ciney/vbc89481,VBC89481,Maison à vendre,535000,Route de Véhir 9,5590 Ciney,Normal,Non,2007,A l’acte,2,22 m²,22 m²,,,225 m²,Non,40 m²,,,,,,Equipée,Américaine,17 m²,2,2,3,Gaz,Double vitrage,Non,,4,1,10,Oui,Oui,1945 m²,Oui,236 kWh/m²/an,,,64,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,,,,Oui,Oui,,,,Non,1454 m²,Oui,Oui,,18 m²,2 m²,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5590/serinchamps/vbc89453,VBC89453,Maison à vendre,495000,Rue du Bois de Longuire 18,5590 Serinchamps,À rénover,Non,,Immédiatement,2,6 m²,9 m²,,,110 m²,Non,47 m²,Non,Non,,,,,,10 m²,1,,1,Bois,Double vitrage,Non,,,,1,Oui,,,Oui,993 kWh/m²/an,,,,"oui, attestation non conforme",,,Non,Information non communiquée,Information non communiquée,,,Non,Non,Non,Non,Non,,Non,33510 m²,Non,Non,20250507007453,,,Non,,,Non,Non,6 m²,Non,Non,Non,Non,Non,Non,33510 m²,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5590/ciney/vbc89430,VBC89430,Appartement à vendre,265000,Rue des Dominicaines 4 42,5590 Ciney,Excellent,Non,,Immédiatement,2,21 m²,13 m²,,,90 m²,Non,37 m²,Non,Non,Oui,1,,,,12 m²,1,,2,,Double vitrage,Non,,,,,,Oui,,Oui,216 kWh/m²/an,,,,"oui, attestation conforme",,,Non,Pas de risque d’inondation,Information non communiquée,4,14 m²,Non,Non,Non,Non,Non,,Oui,,Oui,Non,20250610012456,,,Non,,,Non,Non,5 m²,Non,Non,Oui,Non,Non,Non,90 m²,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5590/ciney/vbc88616,VBC88616,Appartement à vendre,280000,,5590 Ciney,Normal,,,A l’acte,2,15 m²,10 m²,,,84 m²,Non,28 m²,,,Oui,1,,Equipée,Américaine,8 m²,2,,1,Gaz,Double vitrage,Oui,Nord-est,,3,,Oui,Oui,,Oui,55 kWh/m²/an,5319 kWh/an,10/06/2035,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,2,,,,,,,,Oui,,Oui,Non,,,,,,,,,6 m²,,,,,,,,Oui,,,Oui,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5590/ciney/vbc87647,VBC87647,Maison à vendre,155000,,5590 Ciney,,Non,1850,,2,,,,,106 m²,Non,40 m²,Non,Oui,,,,Semi-équipée,,,1,,1,Mazout,,,Est,2,,,Oui,,292 m²,Oui,454 kWh/m²/an,,11/10/2026,113,"oui, attestation non conforme",,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,,Non,280 m²,Oui,,20161011008466,,,,,,,,,,,,,,,,,,,,,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5590/ciney/vbc77527,VBC77527,Maison à vendre,595000,Grand-Route 116 C-D-E,5590 Ciney,,Non,2002,,6,,,,,354 m²,Non,,Non,Non,,,,,,,3,3,3,,,,Sud,4,2,3,Oui,Oui,1355 m²,Oui,182 kWh/m²/an,,15/05/2035,45,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,,,Non,Non,Non,Non,Non,,Non,,,Oui,20250415004141,,,,,,,,,,,,,,,179 m²,,,,,,15 m,57 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5590/ciney/vbc09552,VBC09552,Appartement à vendre,,,5590 Ciney,Normal,Non,1989,Immédiatement,1,11 m²,,,,50 m²,,,,,,,,Semi-équipée,Kitchenette,,1,,1,Electrique,Double vitrage,Non,,,5,,,,,Oui,414 kWh/m²/an,16473 kWh/an,28/04/2034,118,"oui, attestation non conforme",,,Non,Pas de risque d’inondation,Information non communiquée,5,,,,,,,,Oui,,,Non,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
