ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Surface_du_séjour,Surface_du_bureau,Caves,Surface_des_caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Maison_basse_énergie,Panneaux_solaires,Panneaux_solaires_thermiques,Type_de_chauffage,Chauffage_au_sol,Type_de_vitrage,Compteur_deau_individuel,Air_conditionné,Domotique,Parlophone,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Jardin,Surface_du_jardin,Terrasse_aménagée,Raccordé_aux_égouts,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Attestation__Citernes_à_mazout,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Type_de_zone_inondable,Zone_inondable_délimitée,Meublé,Surface_de_la_cuisine,Ascenseur,Accessible_aux_moins_valides,Étage_de_lappartement,Surface_de_la_terrasse,Orientation_de_la_terrasse,Conso_annuelle_totale_dénergie_primaire,Équipement_de_la_cuisine,Nombre_de_façades,Orientation_de_la_façade_du_bien,Nombre_de_places_de_parking_extérieur,Surface_totale_du_terrain,Pompe_à_chaleur,Date_de_validité_PEB,Année_de_construction,Surface_salle_à_manger,Type_de_cuisine,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Largeur_du_terrain_à_rue,Emission_de_CO2,Possibilités_pour_profession_libérale,Surface_totale,Surface_du_grenier,Porte_de_garage_motorisée,Station_de_charge_électrique,Adoucisseur_deau,Compteur_Bihoraire,Adaptations_pour_les_seniors,Orientation_du_jardin,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Citation_pour_infraction_urbanistique,Surface_constructible,Balcon,Permis_durbanisation_accordé,Surface_du_dressing,Attestation__Installation_électrique__Validité,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Appartement_de_service,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG
https://immovlan.be/fr/detail/maison/a-vendre/5651/tarcienne/vbc90695,VBC90695,Maison à vendre,590000,rue de la barrière 35,5651 Tarcienne,Normal,Non,Immédiatement,5,25 m²,12 m²,19 m²,18 m²,64 m²,585 m²,30 m²,10 m²,Oui,7 m²,Non,Non,Oui,Oui,Non,Non,Oui,2,1,27 m²,2,1,4,5 m²,Non,Non,Non,Mazout,Non,Double vitrage,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,1712 m²,Oui,Non,Oui,Non,254 kWh/m²/an,20240702027664,"oui, attestation conforme","non, pas d'attestation",Non,Non,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5651/tarcienne/vbc74242,VBC74242,Appartement à vendre,249000,,5651 Tarcienne,,Oui,,3,19 m²,10 m²,10 m²,,,115 m²,30 m²,,,,,,,,,,,,,,1,1,2,5 m²,,,,Mazout,,Double vitrage,,,,Oui,,Oui,,,,,Oui,Oui,Oui,,186 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,Non,10 m²,Non,Non,1,3 m²,Ouest,25616 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5651/tarcienne/vbc84451,VBC84451,Villa à vendre,245000,Try des Marais 77,5651 Tarcienne,,Non,A l’acte,3,,,,,,,,,Non,,Oui,Non,Non,Non,Non,Non,Oui,,,,1,,,,,Non,,Mazout,,Double vitrage,,,,,,,,,Oui,,,,,,564 kWh/m²/an,20250213016585,,,,,Information non communiquée,Information non communiquée,,,,,,,,,Equipée,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/tarcienne/vbc73598,VBC73598,Maison à vendre,499000,Rue de Sausy 40,5651 Tarcienne,Normal,Non,,4,,,,,,190 m²,36 m²,,Non,,Oui,Non,Non,Non,Non,Non,Oui,1,,,2,,2,,,Oui,,Mazout,,,,,,,,,,,Oui,,Oui,,,,225 kWh/m²/an,20250422030240,pas d'application,,,,Information non communiquée,Information non communiquée,Non,,Non,,,,,,Super équipée,4,Sud-ouest,2,1360 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5651/tarcienne/vbc56886,VBC56886,Villa à vendre,319000,,5651 Tarcienne,Normal,,A partir du : 01/10/2025,3,,,,,,141 m²,,,,,Oui,,,,,,Oui,1,,,1,,2,,,Oui,,Electrique,,,,,,,,,,,Oui,,Oui,,Oui,,61 kWh/m²/an,20250401000513,pas d'application,,,,Information non communiquée,Information non communiquée,Non,,Non,,,,,8590 kWh/an,Super équipée,4,,2,978 m²,Oui,01/04/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/tarcienne/vbc28008,VBC28008,Maison à vendre,139000,Rue Saint-Fiacre 5,5651 Tarcienne,À rénover,,Immédiatement,3,25 m²,17 m²,42 m²,,,175 m²,20 m²,,Oui,14 m²,Oui,,Oui,,,,,,,,1,1,2,7 m²,,,,Mazout,,Double vitrage,,,,,,,,,,,,Oui,Oui,Non,337 kWh/m²/an,,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,,9 m²,Non,Oui,,,,62879 kWh/an,Equipée,2,Sud-ouest,,111 m²,,28/12/2033,1925,15 m²,Américaine,19 m,2,19 m,83,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/tarcienne/vbc26032,VBC26032,Maison à vendre,125000,Rue de Sausy 4,5651 Tarcienne,,,A l’acte,3,,,,,,,,,,,,,,,,,Oui,1,1,,2,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,833 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,Non,,,,,,,97199 kWh/an,,4,,1,279 m²,,24/03/2033,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/berzee/vbc90675,VBC90675,Maison à vendre,100000,Rue Les Tris 43,5651 Berzée,À rénover,Non,A l’acte,2,,,,,,149 m²,,,Non,,Non,Non,Non,Non,Non,Non,Oui,1,,,,1,1,,,,,Non specifié,,,,,,,,,,,Oui,,,,,,399 kWh/m²/an,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,Non,,Non,,,,,,,,,1,,,,,,,,,,399,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/berzee/vbc87532,VBC87532,Maison à vendre,120000,Rue du Faubourg 22,5651 Berzée,À rénover,Non,A l’acte,3,,,,,,171 m²,,,Non,,Oui,Non,Non,Non,Non,Non,Oui,1,,,,1,1,,,,,Non specifié,,,,,,,,,,,,,,,,,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,Non,,Non,,,,,,,,,,89 m²,,,,,,,,,5410,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/berzee/vbc51604,VBC51604,Maison à vendre,55000,Les Bâtis 1,5651 Berzée,À rénover,Non,A l’acte,3,15 m²,10 m²,8 m²,,,138 m²,21 m²,,Non,,Oui,Non,Non,Non,Non,Non,,,,,1,,,,,Non,,,,Double vitrage,,,,,,,,Oui,Oui,,,,,Non,722 kWh/m²/an,20250317012885,,,Non,,Information non communiquée,Information non communiquée,,10 m²,,,,,,,Equipée,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
