ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Meublé,Surface_du_séjour,Caves,Surface_des_caves,Garage,Nombre_de_Garages,Surface_du_garage,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Disponibilité_du_bien,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Panneaux_solaires,Référence_PEB,Année_de_construction,Équipement_de_la_cuisine,Type_de_cuisine,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Raccordé_à_leau_courante,Piscine_extérieure,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Surface_salle_à_manger,Nombre_de_place_de_parking_intérieur,Alarme_antieffraction,Surface_de_lades_salles_de_bain,Surface_du_dressing,Maison_basse_énergie,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,Parlophone,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Attestation__Citernes_à_mazout,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Étage_de_lappartement,Nombre_de_places_de_parking_extérieur,Surface_du_grenier,Surface_constructible,Orientation_du_jardin,Surface_totale,Station_de_charge_électrique,Pompe_à_chaleur,Compteur_Bihoraire,Surface_du_bureau,Surface_de_la_véranda,Compteur_deau_individuel,Possibilités_pour_profession_libérale,Niveau_E,Adoucisseur_deau,Adaptations_pour_les_seniors,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Balcon,Porte_de_garage_motorisée
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc88868,VBC88868,Maison à vendre,270000,Rue de Trazegnies 119,6141 Forchies-la-Marche,Normal,6,17 m²,11 m²,15 m²,10 m²,15 m²,237 m²,Non,36 m²,Oui,36 m²,Oui,1,15 m²,17 m²,2,2,3,Gaz,Double vitrage,Est,2,10 m,3,Oui,446 m²,Oui,70 m²,573 m²,79 m,10 m,Oui,Oui,Oui,162 kWh/m²/an,34046 kWh/an,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc18481,VBC18481,Maison à vendre,75000,Rue Emile Vandervelde 118,6141 Forchies-la-Marche,,2,,,,,,,,,Non,,,,,,,,,Gaz,Double vitrage,,,,,Oui,,,,340 m²,,,,,,395 kWh/m²/an,,Information non communiquée,Information non communiquée,Non,A l’acte,Non,Non,Non,Non,Non,Non,Non,20241014012293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc80479,VBC80479,Maison à vendre,259000,Rue Belle-Vue 60,6141 Forchies-la-Marche,Normal,4,13 m²,14 m²,17 m²,10 m²,,165 m²,Non,31 m²,Oui,,,,,11 m²,3,2,2,Gaz,Double vitrage,Nord,4,8 m,,Oui,550 m²,Oui,30 m²,620 m²,,8 m,Oui,Oui,,315 kWh/m²/an,45070 kWh/an,Pas de risque d’inondation,Information non communiquée,,A l’acte,Oui,,,,,,,,1960,Semi-équipée,Kitchenette,Non,Non,Sud,Oui,Non,22/05/2035,58,"oui, attestation conforme",04/01/2022,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc79255,VBC79255,Maison à vendre,159000,Rue Lieutenant Maurice Tasse 175,6141 Forchies-la-Marche,À rénover,2,15 m²,19 m²,35 m²,,,110 m²,Non,19 m²,Oui,,Oui,1,,9 m²,1,1,1,Mazout,Double vitrage,Nord-est,3,6 m,2,Oui,570 m²,Oui,20 m²,650 m²,,6 m,Oui,Oui,,489 kWh/m²/an,59021 kWh/an,Pas de risque d’inondation,Information non communiquée,,A l’acte,Oui,,Oui,,,,,,1950,,Indépendante,Non,Non,Sud-ouest,Oui,Non,07/02/2035,121,"non, pas d'attestation",,,,15 m²,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc76828,VBC76828,Maison à vendre,229000,Rue de Trazegnies 85,6141 Forchies-la-Marche,À rénover,3,19 m²,17 m²,16 m²,15 m²,,,Non,27 m²,Oui,,Oui,1,,12 m²,1,1,2,Gaz,Double vitrage,,4,15 m,3,Oui,,Oui,40 m²,1590 m²,,15 m,Oui,Oui,,401 kWh/m²/an,93729 kWh/an,Information non communiquée,Information non communiquée,Oui,A l’acte,Oui,Oui,,,,,,,,Equipée,Américaine,Non,Oui,Sud-ouest,Oui,Non,30/04/2035,73,"non, pas d'attestation",,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc35072,VBC35072,Maison à vendre,210000,Rue de Trazegnies 132,6141 Forchies-la-Marche,Normal,3,12 m²,10 m²,30 m²,,,134 m²,,34 m²,Oui,17 m²,,,,19 m²,1,,1,Mazout,Double vitrage,,2,5 m,2,Oui,436 m²,Oui,21 m²,509 m²,107 m,5 m,Oui,,,249 kWh/m²/an,330 kWh/an,Information non communiquée,Information non communiquée,,,,Oui,,,,,,,,,,,,,,,17/02/2035,46,,,,,,,,5 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc86221,VBC86221,Maison à vendre,150000,,6141 Forchies-la-Marche,À rénover,3,18 m²,12 m²,7 m²,,,130 m²,,14 m²,Oui,,,,,14 m²,2,2,2,,Double vitrage,Ouest,2,5 m,,Oui,200 m²,Oui,25 m²,240 m²,,,,,,220 kWh/m²/an,32920 kWh/an,Pas de risque d’inondation,Information non communiquée,,A l’acte,Oui,,Oui,,,,,,,Semi-équipée,Kitchenette,,,Est,,,05/06/2035,43,,,,,22 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/6141/forchies-la-marche/vbc56949,VBC56949,Immeuble mixte à vendre,240000,rue Vandervelde 25,6141 Forchies-la-Marche,À rénover,3,,,,,,90 m²,,,,,,,,,1,,,,,,3,,,Oui,,Oui,10 m²,1550 m²,,,,,,697 kWh/m²/an,69593 kWh/an,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,05/06/2029,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc61444,VBC61444,Maison à vendre,175000,Rue de Nivelles 50,6141 Forchies-la-Marche,Normal,2,12 m²,19 m²,,,,112 m²,Non,18 m²,Oui,,,,,14 m²,1,1,1,Mazout,Double vitrage,,4,,2,Oui,,Oui,,330 m²,,,,,,335 kWh/m²/an,37495 kWh/an,Risque moyen,Inondable délimitée,Non,,Oui,,Oui,,,,Oui,,1887,Equipée,Américaine,Non,Non,,Oui,Non,10/04/2035,82,"oui, attestation conforme",02/10/2025,,,16 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc61206,VBC61206,Maison à vendre,179000,Rue de la chaussée 196,6141 Forchies-la-Marche,À rénover,3,12 m²,12 m²,13 m²,,,,Non,,,,Oui,1,,12 m²,2,,,Gaz,,,4,,2,Oui,200 m²,Oui,25 m²,435 m²,,,,,,583 kWh/m²/an,75904 kWh/an,Information non communiquée,Information non communiquée,Non,A l’acte,Oui,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
