ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Surface_totale,Garage,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Porte_de_garage_motorisée,Station_de_charge_électrique,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Panneaux_solaires,Type_de_chauffage,Chauffage_au_sol,Pompe_à_chaleur,Type_de_vitrage,Compteur_électrique_individuel,Compteur_Bihoraire,Compteur_deau_individuel,Compteur_de_gaz_individuel,Air_conditionné,Parlophone,Alarme_antieffraction,Ascenseur,HammamSaunaJacuzzi,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Attestation__Installation_électrique,Attestation__Citernes_à_mazout,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Caves,Surface_des_caves,Véranda,Nombre_de_Garages,Surface_de_lades_salles_de_bain,Accessible_aux_moins_valides,Surface_totale_du_terrain,Référence_PEB,Permis_durbanisation_accordé,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Bien_actuellement_loué,Disponibilité_du_bien,Meublé,Grenier,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_douches,Nombre_de_toilettes,Nombre_détages_de_limmeuble,Profondeur_du_terrain,Surface_du_séjour,Surface_salle_à_manger,Surface_de_la_cuisine,Largeur_de_la_façade,Surface_constructible,Largeur_du_terrain_à_rue,Date_de_validité_PEB,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_dressing,Type_de_cuisine,Espace_ouvert_sensible_à_leau__WORG,Étage_de_lappartement,Adoucisseur_deau,Porte_daccès_sécurisée,Affectation_urbanistique_la_plus_récente,Maison_basse_énergie,Feu_ouvert,Surface_du_bureau,Surface_du_grenier,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Emission_de_CO2,Balcon,Conso_annuelle_totale_dénergie_primaire,Possibilités_pour_profession_libérale,Domotique,Adaptations_pour_les_seniors,Surface_de_la_véranda,Attestation__Installation_électrique__Validité,Attestation__Asbuilt,Niveau_E,Niveau_S,Clef_électronique,Panneaux_solaires_thermiques
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/1700/sint-ulriks-kapelle/rwc39472,RWC39472,Rez-de-chaussée à vendre,548000,Brusselstraat 609 001,1700 Sint-Ulriks-Kapelle,Excellent,2018,3,26 m²,11 m²,11 m²,152 m²,177 m²,Oui,1,25 m²,Oui,Non,Equipée,1,Non,Gaz,Oui,Non,Triple vitrage,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Nord,2,1,Oui,700 m²,Sud,Oui,93 m²,Sud,Oui,Oui,Oui,Oui,Non,82 kWh/m²/an,"oui, attestation conforme",pas d'application,Oui,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1700/dilbeek/rbt73263,RBT73263,Maison à vendre,315000,Krekelendries 3A,1700 Dilbeek,À rénover,1969,6,,,,307 m²,,Oui,,58 m²,,,,1,,Gaz,,,Double vitrage,,,,,,,,Non,,,,,Oui,,,,,,,,,,,325 kWh/m²/an,"non, pas d'attestation",,,,,,,,Pas de risque d’inondation,Information non communiquée,Oui,66 m²,Non,1,8 m²,Non,1443 m²,20240701-0003298514-RES-1,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1700/dilbeek/rbt72704,RBT72704,Maison à vendre,450000,,1700 Dilbeek,Normal,1996,3,,,,150 m²,,Oui,,,,,,1,Oui,Gaz,,,,,,,,,,,Non,,Nord-est,3,2,Oui,,,Oui,30 m²,,,Oui,Oui,,,229 kWh/m²/an,pas d'application,,,Non,,,,,Pas de risque d’inondation,Riveraine d’une zone inondable délimitée,Non,,Non,1,,,411 m²,20250430-0003590546-RES-1,,,Non,A convenir,Non,Non,Non,Non,Non,Non,1,2,2,30 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1700/dilbeek/rbt72576,RBT72576,Villa à vendre,730000,Rondebosstraat 79,1700 Dilbeek,Normal,1973,3,22 m²,21 m²,12 m²,230 m²,,Oui,,,,,Super équipée,2,,,,,Double vitrage,,,,,Oui,Oui,,Non,,Sud-ouest,4,,Oui,2564 m²,,Oui,39 m²,Sud-ouest,Oui,,Oui,Oui,Non,325 kWh/m²/an,"oui, attestation conforme",,,,,,,,Information non communiquée,Information non communiquée,Oui,,Oui,1,,Non,2880 m²,,,,,A l’acte,Non,Oui,Oui,,,,2,2,,,40 m²,12 m²,8 m²,30 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1700/dilbeek/rbt72532,RBT72532,Villa à vendre,489000,Bufkensstraat 1B,1700 Dilbeek,À rénover,2015,4,,,,182 m²,,Oui,,16 m²,,,,2,,Non specifié,,,,,,,,,,,Non,,Sud,,,Oui,,,,,,,,,,,247 kWh/m²/an,"non, pas d'attestation",,,Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,Non,1,9 m²,Non,1703 m²,202506030003616186RES1,Non,Non,,,,Non,,,,,,,1,,,,,11 m,91 m²,20 m,03/06/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1700/dilbeek/rbt71248,RBT71248,Maison à vendre,925000,Oude Geraardsbergsebaan 72,1700 Dilbeek,Normal,1960,5,21 m²,14 m²,11 m²,336 m²,,Oui,1,24 m²,,Oui,Equipée,2,Oui,,,,Double vitrage,,,,,,Oui,,Non,,,3,5,Oui,382 m²,Sud,Oui,65 m²,,Oui,Oui,Oui,,,89 kWh/m²/an,"oui, attestation conforme",,,,,,,,Pas de risque d’inondation,Information non communiquée,Oui,37 m²,,1,12 m²,,967 m²,,,,,,Non,Non,,Oui,,,,2,3,37 m,30 m²,,29 m²,16 m,,16 m,,14 m²,16 m²,7 m²,Américaine,Non,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1700/dilbeek/rbt66942,RBT66942,Maison à vendre,425000,Spanjebergstraat 20,1700 Dilbeek,Normal,,4,,,,168 m²,,,,,,,,1,,Gaz,,,Double vitrage,,,,,,,,Non,,,,2,Oui,,,Oui,31 m²,,,,,,,,"non, pas d'attestation",,,Non,,,,,Information non communiquée,Information non communiquée,Non,,Non,,6 m²,Non,470 m²,20241001-0003279497-RES-1,Non,Non,,,,Non,,,,,,,2,,,,,8 m,129 m²,,01/10/2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1700/dilbeek/rbt66940,RBT66940,Appartement à vendre,335000,Baron R. de Vironlaan 83,1700 Dilbeek,Normal,1967,3,,,,105 m²,,Oui,,15 m²,,,,1,,Mazout,,,Double vitrage,,,,,,,,Oui,,,,,,,,Oui,3 m²,,,,,,,285 kWh/m²/an,"non, pas d'attestation",,,Non,,,,,Information non communiquée,Information non communiquée,Oui,2 m²,Non,1,5 m²,Non,,20220526-0002611723-RES-1,Non,Non,,,,Non,,,,,,,3,,,,,,,,26/05/2032,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1700/dilbeek/rbt66575,RBT66575,Maison à vendre,1650000,Broekstraat 33,1700 Dilbeek,Normal,,6,24 m²,21 m²,17 m²,577 m²,,Oui,2,49 m²,,Oui,Super équipée,2,Oui,Gaz,,,Double vitrage,,,,,,Oui,Oui,,Oui,,4,7,Oui,,,Oui,,,Non,Oui,Oui,,Oui,270 kWh/m²/an,"oui, attestation conforme",,Non,Non,,,,,Information non communiquée,Information non communiquée,,,,1,19 m²,,3566 m²,,Non,,,A l’acte,,Oui,,Oui,,,,3,,,70 m²,,40 m²,,,,,11 m²,11 m²,12 m²,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1700/dilbeek/rbt66163,RBT66163,Appartement à vendre,310000,Itterbeeksebaan 191 202,1700 Dilbeek,Normal,2003,2,,,,101 m²,,Oui,,,,,,1,,Gaz,,,Double vitrage,,,,,,Oui,,Non,,,,,Oui,,,Oui,,,,,,,,187 kWh/m²/an,"non, pas d'attestation",,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,,Non,1,,Non,,20250603-0003615778-RES-1,Non,Non,,,,Non,,,,,,,2,,,,,,,,03/06/2035,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
