ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Surface_du_séjour,Caves,Surface_des_caves,Grenier,Garage,Nombre_de_place_de_parking_intérieur,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Nombre_de_façades,Nombre_détages_de_limmeuble,Jardin,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Surface_chambre_à_coucher_4,Surface_du_bureau,Surface_du_grenier,Véranda,Salle_à_manger,Surface_salle_à_manger,Nombre_de_Garages,Surface_de_la_cuisine,Nombre_de_douches,Surface_de_lades_salles_de_bain,Panneaux_solaires,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Surface_du_jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Emission_de_CO2,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Équipement_de_la_cuisine,Type_de_cuisine,Orientation_de_la_façade_du_bien,Dressing,Buanderie,Local_vélo,Attestation__Citernes_à_mazout,Surface_chambre_à_coucher_5,Orientation_de_la_terrasse,Date_de_validité_PEB,Meublé,Ascenseur,Accessible_aux_moins_valides,Raccordé_au_gaz_de_ville,Piscine_extérieure,Parlophone,Porte_daccès_sécurisée,Étage_de_lappartement,Feu_ouvert,Surface_constructible,Balcon,Année_de_construction,Surface_du_garage,Attestation__Asbuilt,Citerne_à_eau_de_pluie,Surface_totale,Adoucisseur_deau,Compteur_Bihoraire,Alarme_antieffraction,Station_de_charge_électrique,Maison_basse_énergie,Chauffage_au_sol,Pompe_à_chaleur,Air_conditionné,Domotique,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Attestation__Installation_électrique__Validité,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Panneaux_solaires_thermiques,Compteur_deau_individuel
https://immovlan.be/fr/detail/maison/a-vendre/6463/lompret/vbc30818,VBC30818,Maison à vendre,195000,Rue Gabriel Sellière 53,6463 Lompret,Normal,A convenir,3,14 m²,20 m²,9 m²,175 m²,26 m²,Oui,16 m²,Oui,Oui,1,1,2,Mazout,Double vitrage,4,2,Oui,1720 m²,427 kWh/m²/an,86538 kWh/an,20241212010279,"non, pas d'attestation",Non,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6470/rance/vbc06133,VBC06133,Maison à vendre,247000,Grand Rue 39,6470 Rance,Normal,A l’acte,4,16 m²,17 m²,23 m²,423 m²,,Oui,23 m²,Oui,Oui,,1,2,Mazout,Double vitrage,2,2,Oui,810 m²,374 kWh/m²/an,70523 kWh/an,,"oui, attestation conforme",,Information non communiquée,Information non communiquée,Non,20 m²,42 m²,4 m²,Oui,Oui,22 m²,3,17 m²,1,5 m²,Oui,18 m,4,378 m²,Sud-ouest,Oui,59 m²,45 m,18 m,Oui,Oui,93,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/6470/rance/vbc85806,VBC85806,Fermette à vendre,299000,,6470 Rance,Remis à neuf,,3,24 m²,,,,39 m²,,,,Oui,,,1,,,4,,Oui,,260 kWh/m²/an,46699 kWh/an,,,,Information non communiquée,Information non communiquée,,,,,,,,,18 m²,1,,,,,,,Oui,,,,Oui,,11566,,,Equipée,Américaine,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6470/rance/vbc71053,VBC71053,Maison à vendre,165000,Rue du Onze Novembre 5,6470 Rance,À rénover,A l’acte,2,,,,,,Non,,Oui,Oui,2,1,1,,Double vitrage,3,1,Oui,1170 m²,422 kWh/m²/an,,220250408035612,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,Non,,,,Non,Non,,,,,,Non,,2,,,,,,,,,,,Non,,,,Non,Non,Non,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6470/rance/vbc48570,VBC48570,Maison à vendre,238000,Rue des Combattants 26,6470 Rance,Normal,A l’acte,5,17 m²,17 m²,14 m²,189 m²,19 m²,Oui,17 m²,Oui,Oui,,,2,Mazout,Double vitrage,3,2,Oui,957 m²,400 kWh/m²/an,68747 kWh/an,,"oui, attestation non conforme",,Pas de risque d’inondation,Information non communiquée,,8 m²,,48 m²,,,,3,15 m²,1,,,18 m,1,124 m²,Sud,Oui,30 m²,45 m,18 m,Oui,Oui,99,,,,,,,,,,16 m²,Sud,26/09/2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6470/rance/vbc44329,VBC44329,Villa à vendre,295000,Rue Carrière 55,6470 Rance,Normal,A l’acte,4,11 m²,13 m²,13 m²,141 m²,13 m²,Oui,,Oui,,,1,1,Mazout,Double vitrage,4,,Oui,4130 m²,283 kWh/m²/an,84871 kWh/an,,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,,14 m²,,,,Oui,21 m²,,14 m²,,,Oui,,,3200 m²,,Oui,,,,Oui,Oui,,,Non,,,,,,,,,,07/02/2035,Non,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6470/rance/vbc28491,VBC28491,Maison à vendre,325000,Rue Wastenne 32,6470 Rance,Excellent,A l’acte,3,15 m²,17 m²,18 m²,196 m²,25 m²,,,,Oui,,1,2,Mazout,Double vitrage,4,1,Oui,1072 m²,239 kWh/m²/an,44716 kWh/an,,"oui, attestation conforme",,Information non communiquée,Information non communiquée,,,,,Oui,,,1,11 m²,1,5 m²,Oui,14 m,4,881 m²,,Oui,,50 m,14 m,Oui,,1,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6470/rance/vbb12394,VBB12394,Maison à vendre,115000,,6470 Rance,,,4,,,,163 m²,22 m²,Non,,Oui,,,1,,Non specifié,,2,,Oui,580 m²,401 kWh/m²/an,114937 kWh/an,20220913014138,,,Information non communiquée,Information non communiquée,Non,,,,Non,Non,,,,1,,,,,155 m²,,Oui,9 m²,,,,,92,,,,,Nord-est,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6470/sivry-rance/vbc87548,VBC87548,Appartement à vendre,89000,,6470 Sivry-Rance,Normal,A l’acte,1,,,,77 m²,,Oui,,,,,1,1,,Double vitrage,4,3,Oui,,350 kWh/m²/an,,,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,Non,,,,,,,,,1,9 m²,,,,,,,,,,Oui,Oui,,,Non,,,,,,,,,,27/03/2034,Non,Oui,Oui,,,Oui,Oui,3,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison-de-maitre/a-vendre/6470/sivry/vbc84405,VBC84405,Maison de maître à vendre,209000,,6470 Sivry,,,4,,,,91 m²,,Non,,Oui,Oui,,1,1,Non specifié,,,,Oui,,,,,,,Information non communiquée,Information non communiquée,Non,,,,Non,Non,,,,,,,,2,,,,,,,,,,,,,,,Non,Non,Non,,,,,Non,Non,,,Non,,,,Non,91 m²,Non,,,,,,,,,,,,,,,,,,,,
