ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Surface_des_caves,Grenier,Surface_du_grenier,Véranda,Garage,Nombre_de_Garages,Surface_du_garage,Nombre_de_salles_de_bain,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Jardin,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Permis_durbanisation_accordé,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Meublé,Nombre_de_façades,Terrasse_aménagée,Équipement_de_la_cuisine,Nombre_de_douches,Nombre_de_toilettes,Raccordé_à_leau_courante,Permis_de_bâtir_obtenu,Surface_constructible,Disponibilité_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_bureau,Salle_à_manger,Nombre_de_place_de_parking_intérieur,Panneaux_solaires,Feu_ouvert,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Surface_du_jardin,Orientation_du_jardin,Surface_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Piscine_extérieure,Bien_actuellement_loué,Dressing,Buanderie,Local_vélo,Chauffage_au_sol,Étage_de_lappartement,Surface_du_séjour,Raccordé_au_gaz_de_ville,Type_de_cuisine,Raccordé_aux_égouts,Pompe_à_chaleur,Surface_de_la_véranda,Attestation__Installation_électrique__Validité,Surface_salle_à_manger,Surface_de_la_cuisine,Alarme_antieffraction,Orientation_de_la_terrasse,Le_bien_fait_lobjet_dun_droit_de_préemption,Barbecue
https://immovlan.be/fr/detail/maison/a-vendre/6637/fauvillers/vbc84269,VBC84269,Maison à vendre,,Route de Sainlez 23,6637 Fauvillers,À rénover,1966,5,174 m²,Oui,8 m²,Oui,82 m²,Non,Oui,2,24 m²,1,5 m²,Mazout,Double vitrage,Non,Non,Sud-ouest,Oui,822 m²,460 kWh/m²/an,80050 kWh/an,20161116024092,16/11/2026,5,"non, pas d'attestation",Non,Pas de risque d’inondation,Information non communiquée,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6637/fauvillers/vbc19997,VBC19997,Maison à vendre,495000,,6637 Fauvillers,Normal,,5,250 m²,,,,,,Oui,2,,1,,,,,,,Oui,28780 m²,317 kWh/m²/an,71558 kWh/an,,13/09/2033,79,,,Information non communiquée,Information non communiquée,,Non,4,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6637/fauvillers/vbb70629,VBB70629,Maison à vendre,375000,Hotte,6637 Fauvillers,Normal,,4,185 m²,,,,,,,,,,,Mazout,,Non,,Ouest,Non,,160 kWh/m²/an,,20240817000910,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,3,Oui,Super équipée,3,3,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6637/fauvillers/vbb96234,VBB96234,Villa à vendre,400000,Route de la Barrière 120,6637 Fauvillers,Normal,2009,5,,,,,,,Oui,2,,1,,Non specifié,,Non,,Nord-est,Non,1020 m²,138 kWh/m²/an,31577 kWh/an,20190212000478,12/02/2023,229,"oui, attestation conforme",Oui,Pas de risque d’inondation,Information non communiquée,,Non,4,Non,Super équipée,,2,Oui,Oui,125 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/sibret/vbc69630,VBC69630,Maison à vendre,1200000,Rue de la roye 21,6640 Sibret,,1992,8,482 m²,Oui,128 m²,Oui,22 m²,Oui,Oui,1,,3,,Mazout,Double vitrage,Non,Oui,,Oui,3810 m²,91 kWh/m²/an,52416 kWh/an,,09/09/2031,25,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,,Non,4,Oui,Super équipée,1,3,Oui,Oui,,A l’acte,28 m²,17 m²,16 m²,15 m²,41 m²,47 m²,Oui,2,Oui,Oui,30 m,1,7,3440 m²,Nord-ouest,89 m²,60 m,30 m,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6640/vaux-sur-sure/vbc83130,VBC83130,Villa à vendre,500000,Chaussée de Saint-Hubert 274,6640 Vaux-sur-Sûre,Normal,1980,4,,Non,,Oui,,Non,Oui,1,,2,,Mazout,,Non,,Nord,Oui,,157 kWh/m²/an,,20250414031308,14/04/2035,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,,,2,Oui,,,,,,,,,,Non,,,,,1,,,,,,,Oui,Non,Non,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/sibret/vbc69631,VBC69631,Maison à vendre,1200000,Rue de la roye 21,6640 Sibret,Normal,1992,8,482 m²,Oui,128 m²,Oui,22 m²,Oui,Oui,1,,3,,Mazout,Double vitrage,Non,Oui,,Oui,3810 m²,91 kWh/m²/an,52416 kWh/an,,09/09/2031,25,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,,Non,4,Oui,Super équipée,1,3,Oui,Oui,,A l’acte,28 m²,17 m²,16 m²,15 m²,41 m²,47 m²,Oui,2,Oui,Oui,30 m,1,7,3440 m²,Nord-ouest,89 m²,60 m,30 m,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6640/vaux-sur-sure/vbc67384,VBC67384,Appartement à vendre,229900,Rue de Bastogne 25,6640 Vaux-sur-Sûre,,2024,2,90 m²,,,,,,,,,1,,,,Oui,,,Oui,,,,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,,Oui,,,1,,,,A l’acte,,,,,,,,,,,,2,,,,6 m²,,,Non,,,,,Oui,1,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc67254,VBC67254,Maison à vendre,350000,Grand-Route 86,6640 Vaux-sur-Sûre,Normal,1999,3,149 m²,,,,,,Oui,1,,1,,Mazout,,Non,,Sud-est,Oui,1500 m²,246 kWh/m²/an,,20231123016203,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,2,Oui,Oui,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6640/vaux-sur-sure/vbc65994,VBC65994,Maison à vendre,495000,Cobreville 44,6640 Vaux-sur-Sûre,Normal,,5,355 m²,Non,,Non,,Non,Oui,2,,2,,Mazout,,Non,,Est,Oui,6009 m²,128 kWh/m²/an,,20250416013531,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Non,4,Oui,Super équipée,,4,,,,,,,,,,,Non,,,,,1,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,
