ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Surface_du_grenier,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Buanderie,Nombre_de_place_de_parking_intérieur,Panneaux_solaires,Panneaux_solaires_thermiques,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Nombre_de_places_de_parking_extérieur,Orientation_du_jardin,Référence_PEB,Véranda,Permis_durbanisation_accordé,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_5,Nombre_de_douches,Nombre_détages_de_limmeuble,Citerne_à_eau_de_pluie,Surface_des_caves,Surface_du_garage,Surface_constructible,Bien_actuellement_loué,Permis_de_bâtir_obtenu,Attestation__Installation_électrique__Validité,Étage_de_lappartement,Station_de_charge_électrique,Local_vélo,Feu_ouvert,Surface_du_bureau,Parlophone,Alarme_antieffraction,HammamSaunaJacuzzi,Profondeur_du_terrain,Dressing,Attestation__Asbuilt,Possibilités_pour_profession_libérale,Surface_totale,Air_conditionné,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Adoucisseur_deau,Porte_de_garage_motorisée,Maison_basse_énergie
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc88141,VBC88141,Maison à vendre,395000,Rue de l'Hôtel de Ville 10,6690 Vielsalm,Normal,1920,Immédiatement,4,17 m²,20 m²,17 m²,20 m²,182 m²,Non,12 m²,Oui,Oui,56 m²,Oui,20 m²,Oui,1,Equipée,Américaine,19 m²,1,1,8 m²,Gaz,Double vitrage,Non,Non,Sud-est,3,7 m,Oui,285 m²,Oui,16 m²,Nord-ouest,424 m²,7 m,Oui,Oui,Oui,Non,284 kWh/m²/an,81035 kWh/an,16/03/2025,52,"non, pas d'attestation",Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6690/vielsalm/vwd08807,VWD08807,Villa à vendre,650000,,6690 Vielsalm,Excellent,2021,A l’acte,2,,,,,291 m²,,,Oui,Oui,,,,Oui,,Super équipée,Américaine,,2,,,Non specifié,Triple vitrage,,,,4,,Oui,,Oui,,,2486 m²,,,,Oui,,-25 kWh/m²/an,,,,"oui, attestation conforme",,Information non communiquée,Information non communiquée,Oui,1,Oui,Oui,Oui,Oui,Oui,6,Sud,20230828500164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc84274,VBC84274,Maison à vendre,365000,Rue du Vieux Marché 48,6690 Vielsalm,Normal,1950,,3,,,,,160 m²,,,Non,Oui,44 m²,,,Oui,,,,,1,,8 m²,Electrique,,Non,Non,Est,,13 m,Oui,,Oui,44 m²,,160 m²,19 m,,,,,241 kWh/m²/an,60294 kWh/an,11/04/2035,60,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,,,Oui,,,,,,,20250411024001,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc82623,VBC82623,Maison à vendre,545000,Mont 14,6690 Vielsalm,Normal,,,9,16 m²,21 m²,16 m²,17 m²,617 m²,,42 m²,Oui,Oui,,Oui,20 m²,,,Super équipée,,15 m²,3,5,,Mazout,Double vitrage,,,,4,,Oui,1992 m²,Oui,15 m²,Ouest,2243 m²,,,,Oui,,235 kWh/m²/an,145320 kWh/an,,,,,Information non communiquée,Information non communiquée,,,,,,,,4,,,Oui,,,16 m²,3,2,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc79937,VBC79937,Maison à vendre,690000,Goronne 15,6690 Vielsalm,Normal,1952,,7,,,,,720 m²,,,Oui,Oui,62 m²,,,Oui,1,,,,,,,Mazout,Double vitrage,Non,Non,Nord,,28 m,,,,,,24440 m²,35 m,,,,,373 kWh/m²/an,95666 kWh/an,18/11/2030,136,"non, pas d'attestation",,Information non communiquée,Information non communiquée,,,,,,,,,,20201118019671,Non,Non,Non,,,,,16 m²,44 m²,764 m²,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc73137,VBC73137,Maison à vendre,229000,Rue Hermanmont 33 c,6690 Vielsalm,Normal,,A l’acte,2,,,,,89 m²,Non,,,,,,,,,Semi-équipée,Kitchenette,,2,,,Gaz,Double vitrage,Non,Non,,3,,Oui,,Oui,,,487 m²,,Non,Oui,Oui,Non,302 kWh/m²/an,27041 kWh/an,09/05/2035,62,"non, pas d'attestation",Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,Non,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc73136,VBC73136,Maison à vendre,239000,Rue Hermanmont 33 b,6690 Vielsalm,Normal,,A l’acte,3,,,,,111 m²,Non,,,,,,,,,Semi-équipée,Kitchenette,,1,,,Gaz,Double vitrage,Non,Non,,2,,Oui,,Oui,,,402 m²,,Non,Oui,Oui,Non,195 kWh/m²/an,29166 kWh/an,27/04/2035,40,"oui, attestation non conforme",Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,Non,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc69095,VBC69095,Maison à vendre,185000,Rue de Fosse Roulette 36,6690 Vielsalm,À rénover,,A l’acte,5,,,,,142 m²,Non,22 m²,Oui,Oui,,,,Oui,1,,Indépendante,,1,,,Mazout,,,,,2,,Oui,,Oui,,,337 m²,,Oui,,Oui,Non,377 kWh/m²/an,103447 kWh/an,18/04/2034,,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,04/12/2024,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc60110,VBC60110,Maison à vendre,225000,Ville du Bois 97,6690 Vielsalm,À rénover,1965,A l’acte,3,11 m²,14 m²,16 m²,22 m²,136 m²,,18 m²,Oui,Oui,,,,,,,,28 m²,1,1,,Mazout,,,,,4,,Oui,1800 m²,,,,1969 m²,,,,Oui,,576 kWh/m²/an,83007 kWh/an,07/05/2034,,,,Information non communiquée,Information non communiquée,,,,,,,,4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc31876,VBC31876,Maison à vendre,119000,,6690 Vielsalm,,,,3,,,,,128 m²,,27 m²,,Oui,,,,,,,,,1,,,Mazout,,,,Est,2,,,,,,,84 m²,,,,,,604 kWh/m²/an,99611 kWh/an,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,20240806009107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
