ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Etat_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Type_de_vitrage,Accessible_aux_moins_valides,Surface_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Piscine_extérieure,Conso_annuelle_totale_dénergie_primaire,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Disponibilité_du_bien,Surface_salle_à_manger,Nombre_de_places_de_parking_extérieur,Étage_de_lappartement,Nombre_détages_de_limmeuble,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Chauffage_au_sol,Pompe_à_chaleur,Appartement_de_service,Surface_totale,Surface_du_bureau,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Porte_de_garage_motorisée,Station_de_charge_électrique,Maison_basse_énergie,Compteur_Bihoraire,Air_conditionné,Domotique,Parlophone,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Raccordé_au_gaz_de_ville,Attestation__Citernes_à_mazout,Espace_ouvert_sensible_à_leau__WORG,Surface_du_grenier,Citerne_à_eau_de_pluie,Surface_constructible,Attestation__Installation_électrique__Validité,Orientation_du_jardin,Affectation_urbanistique_la_plus_récente,Balcon,Panneaux_solaires_thermiques,Niveau_E,Niveau_K,Attestation__Asbuilt,Surface_des_caves,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Clef_électronique,Adoucisseur_deau,Attestation__Citernes_à_mazout__Validité,Possibilités_pour_profession_libérale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Niveau_S,Surface_de_la_véranda,Surface_du_dressing
https://immovlan.be/fr/detail/maison/a-vendre/6782/habergy/vbc79396,VBC79396,Maison à vendre,620000,Impasse Jacques 04,6782 Habergy,Non,1850,4,220 m²,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,1,1,1,3,Oui,Mazout,Non,Sud-ouest,3,20 m,Oui,Oui,1214 m²,35 m,167 kWh/m²/an,20250521020956,21/05/2035,41,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/6800/libramont-chevigny/vbc87224,VBC87224,Immeuble mixte à vendre,349000,Avenue de Bouillon 28,6800 Libramont-Chevigny,Oui,,8,175 m²,Non,Oui,Oui,,,,,,Oui,,3,390,,,Mazout,Non,Sud-est,3,10 m,Oui,Oui,312 m²,,315 kWh/m²/an,,05/06/2029,,,Pas de risque d’inondation,Information non communiquée,Normal,16 m²,10 m²,10 m²,15 m²,20 m²,10 m²,Equipée,Américaine,10 m²,10 m²,Double vitrage,Non,131 m²,16 m²,Nord-ouest,10 m,Oui,Oui,Non,9490 kWh/an,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont-chevigny/vbc87210,VBC87210,Maison à vendre,449000,Sur le Chene 30,6800 Libramont-Chevigny,Non,1978,5,273 m²,Non,Oui,,,Oui,,,,Oui,2,2,,2,,Mazout,Non,Sud-est,4,16 m,Oui,Oui,1259 m²,,294 kWh/m²/an,,28/05/2035,73,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,Normal,12 m²,16 m²,16 m²,26 m²,9 m²,26 m²,Equipée,Américaine,16 m²,9 m²,Double vitrage,Non,780 m²,35 m²,Nord-ouest,16 m,Oui,Oui,,62513 kWh/an,Oui,Oui,Non,Immédiatement,10 m²,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont-chevigny/vbc92000,VBC92000,Maison à vendre,369900,Dessous la Ville,6800 Libramont-Chevigny,,2025,4,155 m²,Non,,,,,,,,,,1,1,2,,Gaz,Non,,3,,Oui,Oui,,,,,,,,Pas de risque d’inondation,Information non communiquée,Nouveau,13 m²,12 m²,9 m²,10 m²,,43 m²,,,,7 m²,Double vitrage,Non,588 m²,6 m²,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6800/libramont-chevigny/vbc91999,VBC91999,Appartement à vendre,259900,Dessous la Ville,6800 Libramont-Chevigny,Non,2026,2,88 m²,Non,,,,,,,,,,1,1,1,,Gaz,Non,Sud,,,,Oui,,,85 kWh/m²/an,,,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Nouveau,,,,,,,,,,,Double vitrage,Oui,,6 m²,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont-chevigny/vbc90606,VBC90606,Maison à vendre,350000,La Bondine 6,6800 Libramont-Chevigny,Non,,3,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,2,,2,,Non specifié,Non,Sud-ouest,3,,,Oui,897 m²,,51 kWh/m²/an,20250127504051,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont-chevigny/vbc88954,VBC88954,Maison à vendre,350000,La Bondine 4,6800 Libramont-Chevigny,Non,,3,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,2,,2,,Non specifié,Non,Sud-ouest,3,,,Oui,930 m²,,51 kWh/m²/an,20250127504195,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont/vbc87776,VBC87776,Maison à vendre,289000,Rue de la Spinette 111 /B,6800 Libramont,Non,2010,3,116 m²,Non,,,,,,,,,,1,,2,,Mazout,Non,Nord,3,7 m,Oui,Oui,1152 m²,,134 kWh/m²/an,,13/03/2035,33,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Normal,13 m²,11 m²,8 m²,,,41 m²,Equipée,Américaine,6 m²,4 m²,Double vitrage,Non,960 m²,30 m²,Sud,7 m,Oui,Oui,Non,15561 kWh/an,Oui,Oui,Non,Immédiatement,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6800/libramont/vbc87148,VBC87148,Villa à vendre,375000,Rue Dessous la Ville 39,6800 Libramont,,1976,4,300 m²,,Oui,Non,Non,,,,,Oui,2,1,,,,Mazout,Non,Sud-ouest,,,Oui,Oui,1743 m²,,278 kWh/m²/an,20240720005032,20/07/2034,69,"non, pas d'attestation",Information non communiquée,Information non communiquée,À rénover,,,,,,,,,,,Double vitrage,Non,,,,,,,,83483 kWh/an,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6800/libramont-chevigny/vbc82436,VBC82436,Appartement à vendre,110000,Grand'Rue 30,6800 Libramont-Chevigny,Oui,,2,51 m²,Non,Oui,,,,,,,,,1,1,1,,Mazout,Non,Ouest,2,,,,,,305 kWh/m²/an,,02/06/2033,77,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Normal,10 m²,16 m²,,,,18 m²,Equipée,Américaine,,,Double vitrage,Non,,,,,Oui,Oui,Non,15734 kWh/an,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
