ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Nombre_de_salles_de_bain,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Surface_du_bureau,Surface_de_la_terrasse,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_des_caves,Surface_du_grenier,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Équipement_de_la_cuisine,Surface_de_la_cuisine,Type_de_vitrage,Largeur_de_la_façade,Raccordé_à_leau_courante,Panneaux_solaires,Conso_annuelle_totale_dénergie_primaire,Largeur_du_terrain_à_rue,Accessible_aux_moins_valides,Permis_durbanisation_accordé,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Nombre_détages_de_limmeuble,Type_de_cuisine,Surface_de_lades_salles_de_bain,Raccordé_aux_égouts,Piscine_extérieure,Permis_de_bâtir_obtenu,Surface_salle_à_manger,Alarme_antieffraction,Orientation_du_jardin,Raccordé_au_gaz_de_ville,Attestation__Asbuilt,Possibilités_pour_profession_libérale,Porte_de_garage_motorisée,Station_de_charge_électrique,Adoucisseur_deau,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Air_conditionné,Domotique,Parlophone,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Appartement_de_service,Orientation_de_la_terrasse,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout,Surface_du_dressing,Maison_basse_énergie,Panneaux_solaires_thermiques,Compteur_deau_individuel,Surface_de_la_véranda,Affectation_urbanistique_la_plus_récente,Étage_de_lappartement,Surface_totale,Attestation__Installation_électrique__Validité,Clef_électronique,Balcon,Niveau_E,Niveau_K,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Niveau_S
https://immovlan.be/fr/detail/bungalow/a-vendre/6927/resteigne/vbc80482,VBC80482,Bungalow à vendre,95000,Les Brûlins 136,6927 Resteigne,À rénover,Non,1975,A l’acte,1,38 m²,Non,29 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,1,Mazout,Non,Sud-est,4,1,Oui,645 m²,Oui,645 m²,53 m²,"oui, attestation conforme",Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6927/bure/vbc72974,VBC72974,Maison à vendre,309000,Rue des Roches 8,6927 Bure,,Non,1980,A l’acte,3,123 m²,Non,36 m²,Non,Oui,Non,Non,Non,Non,Non,Oui,1,,2,Mazout,Non,Ouest,4,4,Oui,1365 m²,,1365 m²,168 m²,pas d'application,,Information non communiquée,Information non communiquée,1,47 m,400 kWh/m²/an,20241219007644,19/12/2034,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6929/haut-fays/vbc82899,VBC82899,Maison à vendre,225000,Rue de Gedinne 29,6929 Haut-Fays,À rénover,Non,1948,A l’acte,5,180 m²,Non,21 m²,Non,Oui,Non,Non,Non,Non,Non,Oui,1,,2,Gaz,Non,Sud,3,3,Oui,720 m²,Oui,720 m²,73 m²,"oui, attestation non conforme",Non,Pas de risque d’inondation,Information non communiquée,1,,423 kWh/m²/an,20250521020567,21/05/2035,66,6 m²,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6929/porcheresse/vwd13374,VWD13374,Maison à vendre,395000,,6929 Porcheresse,Normal,Non,,A l’acte,7,300 m²,,36 m²,Oui,Oui,,,,,,Oui,,,,Mazout,,,4,4,Oui,,Oui,1020 m²,,,,Information non communiquée,Information non communiquée,2,,375 kWh/m²/an,20250513022037,,,,,18 m²,17 m²,16 m²,15 m²,14 m²,25 m²,163 m²,1,41 m²,Equipée,24 m²,Double vitrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6929/daverdisse/vbc65286,VBC65286,Maison à vendre,299000,Sclassin 58,6929 Daverdisse,,Non,1996,A convenir,3,128 m²,Non,27 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,,2,Bois,Non,Ouest,4,3,Oui,2000 m²,Oui,2190 m²,77 m²,pas d'application,Non,Pas de risque d’inondation,Information non communiquée,2,78 m,403 kWh/m²/an,20240425022899,25/04/2034,83,,15 m²,,,,,,,,,,,,,10 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6929/daverdisse/vbc58596,VBC58596,Maison à vendre,590000,Rue du Château 9,6929 Daverdisse,Normal,,,A convenir,5,300 m²,Non,55 m²,,,,,,,,Oui,1,1,3,Mazout,Non,Ouest,4,8,Oui,,Oui,3612 m²,147 m²,pas d'application,,Pas de risque d’inondation,Information non communiquée,1,,167 kWh/m²/an,20240108007174,08/01/2034,40,,,,,,,,,,,,Super équipée,,,,Oui,Oui,43276 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6929/daverdisse/vbc56200,VBC56200,Maison à vendre,389000,Rue de la Lesse 2,6929 Daverdisse,,Non,1875,A l’acte,16,590 m²,Non,,Non,Oui,Non,Non,Non,Non,Non,,,,9,Non specifié,Non,Nord-est,4,8,Oui,,Oui,1710 m²,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,6,,425 kWh/m²/an,20210525021476,25/04/2031,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6940/septon/vbc88213,VBC88213,Maison à vendre,175000,Troneux 44,6940 Septon,À rénover,Non,1850,A l’acte,2,90 m²,,21 m²,Non,Oui,Non,Non,Non,Non,Non,Oui,,,1,,,Sud,4,3,Oui,3057 m²,Oui,3057 m²,,,,Information non communiquée,Information non communiquée,1,50 m,806 kWh/m²/an,20250321027151,,,,20 m²,11 m²,15 m²,,,,,,2,,,,,10 m,,,,70 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6940/durbuy/vbc91945,VBC91945,Maison à vendre,245000,dizos bihay 1,6940 Durbuy,À rénover,Non,1875,,4,168 m²,Non,21 m²,Non,Oui,Non,Non,Non,Non,Non,,,,,Mazout,Non,Nord-ouest,3,4,Oui,,Oui,1002 m²,84 m²,"oui, attestation non conforme",,Pas de risque d’inondation,Information non communiquée,1,,443 kWh/m²/an,20240602002335,02/06/2025,28179,,,,,,,,,,,,,,,15 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6940/durbuy/vbc91912,VBC91912,Maison à vendre,645000,Clos du Manoir 1,6940 Durbuy,,Non,1971,,4,177 m²,Non,26 m²,Non,Non,Non,Non,Non,Non,Non,Oui,2,,3,Mazout,Non,Nord-ouest,4,4,Oui,2023 m²,Oui,2168 m²,145 m²,pas d'application,,Pas de risque d’inondation,Information non communiquée,2,57 m,245 kWh/m²/an,20250604031540,04/06/2035,,,25 m²,,,,,,,,,,,,,15 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
