ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_du_séjour,Grenier,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Date_de_validité_PEB,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_habitable,Meublé,Caves,Équipement_de_la_cuisine,Type_de_cuisine,Type_de_chauffage,Type_de_vitrage,Parlophone,Ascenseur,Conso_annuelle_totale_dénergie_primaire,Buanderie,Air_conditionné,Accessible_aux_moins_valides,Largeur_de_la_façade,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_au_gaz_de_ville,Emission_de_CO2,Année_de_construction,Nombre_détages_de_limmeuble,Piscine_extérieure,Référence_PEB,Possibilités_pour_profession_libérale,Bien_actuellement_loué,Local_vélo,Station_de_charge_électrique,Adoucisseur_deau,Maison_basse_énergie,Panneaux_solaires,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Domotique,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Citerne_à_eau_de_pluie,Attestation__Installation_électrique__Validité,Attestation__Citernes_à_mazout,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_de_lades_salles_de_bain,Profondeur_du_terrain,Panneaux_solaires_thermiques,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,Étage_de_lappartement,Surface_du_grenier,Surface_du_garage,Surface_des_caves,Permis_durbanisation_accordé,Dressing,Attestation__Asbuilt,Niveau_E,Orientation_du_jardin,Balcon,Appartement_de_service,Véranda,Surface_du_bureau,Surface_totale,Surface_constructible,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG
https://immovlan.be/fr/detail/maison/a-vendre/7031/villers-saint-ghislain/vbc86134,VBC86134,Maison à vendre,179000,Chaussée du Roi Baudouin 348,7031 Villers-Saint-Ghislain,À rénover,A l’acte,4,20 m²,17 m²,11 m²,35 m²,Oui,Oui,13 m²,Oui,3,3,16 m²,1,1,2,Nord,4,4,Oui,500 m²,Oui,35 m²,820 m²,Oui,Oui,532 kWh/m²/an,25/03/2035,"non, pas d'attestation",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/7033/cuesmes/vbc88004,VBC88004,Appartement à vendre,120000,Résidence des Comtes de Hainaut 32 82,7033 Cuesmes,Normal,,2,,,,,,,,Oui,,1,,1,,1,,2,,,,Oui,,,Oui,Oui,262 kWh/m²/an,13/05/2035,"oui, attestation non conforme",Information non communiquée,Information non communiquée,115 m²,Non,Oui,Equipée,Américaine,Mazout,Double vitrage,Oui,Oui,37486 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7033/cuesmes/vbc26243,VBC26243,Maison à vendre,99000,,7033 Cuesmes,À rénover,A l’acte,2,,,,,,,,,,,,1,1,1,,2,,Oui,560 m²,Oui,25 m²,653 m²,Oui,Oui,223 kWh/m²/an,13/11/2025,,Information non communiquée,Information non communiquée,82 m²,Non,Oui,Equipée,Américaine,Gaz,Double vitrage,Oui,,22956 kWh/an,Oui,Oui,Oui,5 m,Nord-est,5 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7033/cuesmes/vbc82711,VBC82711,Maison à vendre,135000,Voie de Wasmes 327,7033 Cuesmes,Normal,A l’acte,2,,,,,Oui,,,Oui,1,,,1,1,1,,3,,,,,,65 m²,Oui,Oui,382 kWh/m²/an,20/05/2035,"oui, attestation conforme",Information non communiquée,Information non communiquée,110 m²,Non,Oui,Equipée,Américaine,Gaz,Double vitrage,,Non,43388 kWh/an,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7033/cuesmes/vbc80459,VBC80459,Maison à vendre,70000,,7033 Cuesmes,,A l’acte,2,12 m²,11 m²,,24 m²,Oui,Oui,14 m²,Oui,1,1,7 m²,1,1,1,Nord-ouest,3,1,Oui,,Oui,25 m²,349 m²,Oui,Oui,551 kWh/m²/an,05/10/2034,,Pas de risque d’inondation,Information non communiquée,100 m²,Non,Oui,,,Gaz,Double vitrage,,Non,60325 kWh/an,,,,5 m,Sud-est,5 m,Oui,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/7033/cuesmes/vbc79783,VBC79783,Bungalow à vendre,210000,,7033 Cuesmes,À rénover,A l’acte,3,,,,,,,,Oui,1,,,1,1,1,,4,2,Oui,,Oui,,1056 m²,Oui,Oui,710 kWh/m²/an,01/05/2035,,Information non communiquée,Information non communiquée,100 m²,Non,,,,,Double vitrage,,,67458 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7033/cuesmes/vbc79325,VBC79325,Maison à vendre,159000,Rue de l'Auflette 101,7033 Cuesmes,Normal,A l’acte,3,14 m²,7 m²,27 m²,,Oui,,,,,,12 m²,1,1,,,2,,Oui,,Oui,,,Oui,Oui,205 kWh/m²/an,03/05/2035,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,129 m²,Non,,Semi-équipée,Kitchenette,Gaz,,,Non,205 kWh/an,,,Non,,,,Oui,38,1970,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7033/cuesmes/vbc77484,VBC77484,Maison à vendre,90000,Rue de Cache Après 65,7033 Cuesmes,,A l’acte,3,,,,,Oui,,,,,,,1,,1,,2,,Oui,,Oui,,210 m²,Oui,,633 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,Oui,,,,Double vitrage,,,66093 kWh/an,,,,,,,,,,1,,20250311031185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7033/cuesmes/vbc77595,VBC77595,Maison à vendre,140000,,7033 Cuesmes,À rénover,,2,13 m²,9 m²,,24 m²,,,,,,,10 m²,1,1,1,Nord-est,2,2,Oui,,,,,Oui,Oui,309 kWh/m²/an,20/04/2035,,Pas de risque d’inondation,Information non communiquée,70 m²,Non,,Equipée,Américaine,Gaz,Double vitrage,Oui,Non,23974 kWh/an,,,,,,,Oui,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7033/cuesmes/vbc59319,VBC59319,Maison à vendre,65000,Rue du Peuple 156,7033 Cuesmes,À rénover,A l’acte,2,,,,,Oui,,,,,,,1,1,,,2,,Oui,73 m²,,,140 m²,,,454 kWh/m²/an,19/03/2035,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,80 m²,Non,Oui,,Indépendante,Gaz,,,Non,31956 kWh/an,,,Non,,,,,82,1960,1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7033/cuesmes/vbc58659,VBC58659,Maison à vendre,165000,Rue de l'Aviation 28,7033 Cuesmes,Normal,A l’acte,3,15 m²,18 m²,26 m²,,Oui,,,,,,15 m²,1,1,,,2,,Oui,,Oui,,400 m²,,,375 kWh/m²/an,21/03/2035,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,123 m²,,Oui,Semi-équipée,Kitchenette,Gaz,Double vitrage,,Non,46195 kWh/an,,,Non,,,,,71,1970,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7033/cuesmes/vwd12676,VWD12676,Maison à vendre,137500,Voie de Wasmes 27,7033 Cuesmes,Normal,A l’acte,3,,,,,Oui,,,,,,,1,,,,2,,Oui,,,,260 m²,Oui,Oui,689 kWh/m²/an,29/09/2031,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,127 m²,,Oui,Super équipée,Indépendante,Gaz,Double vitrage,Non,Non,87852 kWh/an,Oui,Non,Oui,,,,Oui,126,,,Non,20210929008411,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,15/02/2047,pas d'application,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7034/obourg/vbc85454,VBC85454,Maison à vendre,230000,Rue des Bruyères 152,7034 Obourg,Normal,A l’acte,3,15 m²,11 m²,20 m²,15 m²,Oui,Oui,13 m²,,,,15 m²,1,1,1,,4,1,Oui,800 m²,Oui,,890 m²,Oui,Oui,357 kWh/m²/an,26/05/2035,"oui, attestation conforme",Information non communiquée,Information non communiquée,100 m²,Non,Oui,Equipée,Américaine,Mazout,Double vitrage,,Non,53482 kWh/an,,,Non,5 m,Sud-est,5 m,,,1931,,Non,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7034/saint-denis/vbc91789,VBC91789,Maison à vendre,220000,Chemin vert 31,7034 Saint-Denis,À rénover,,5,19 m²,16 m²,17 m²,35 m²,Oui,,,Oui,1,,20 m²,1,,1,,3,3,Oui,1804 m²,Oui,60 m²,1990 m²,,,579 kWh/m²/an,,,Information non communiquée,Information non communiquée,266 m²,Non,,,,,,,,109067 kWh/an,,,,15 m,,15 m,,,,1,,,,,,,,,,,,,,,,,,,,,,,12 m²,7 m²,7 m²,83 m,,,,,,,,,,,,,,,,,,,,,,,
