ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Garage,Type_de_chauffage,Type_de_vitrage,Nombre_de_façades,Jardin,Terrasse_aménagée,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Type_de_zone_inondable,Zone_inondable_délimitée,Etat_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_du_séjour,Caves,Grenier,Salle_à_manger,Surface_salle_à_manger,Dressing,Buanderie,Nombre_de_Garages,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Maison_basse_énergie,Panneaux_solaires,Panneaux_solaires_thermiques,Chauffage_au_sol,Compteur_deau_individuel,Air_conditionné,Domotique,Parlophone,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Nombre_détages_de_limmeuble,Raccordé_aux_égouts,Raccordé_à_leau_courante,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Citernes_à_mazout,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Disponibilité_du_bien,Surface_chambre_à_coucher_4,Type_de_cuisine,Nombre_de_douches,Ascenseur,Accessible_aux_moins_valides,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Piscine_extérieure,Date_de_validité_PEB,Meublé,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Surface_de_la_terrasse,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Véranda,Local_vélo,Nombre_de_places_de_parking_extérieur,Surface_du_jardin,Surface_du_bureau,Nombre_de_place_de_parking_intérieur,Adoucisseur_deau,Étage_de_lappartement,Balcon,Surface_du_garage,Orientation_du_jardin,Surface_des_caves,Surface_du_grenier,Surface_de_lades_salles_de_bain,Attestation__Installation_électrique__Validité,Clef_électronique,Orientation_de_la_terrasse,Possibilités_pour_profession_libérale,Surface_totale,Pompe_à_chaleur,Compteur_Bihoraire,Niveau_S,Surface_constructible,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_5,Station_de_charge_électrique,Surface_du_dressing,Niveau_E,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Appartement_de_service,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Niveau_K,Porte_de_garage_motorisée,Affectation_urbanistique_la_plus_récente,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Surface_de_la_véranda
https://immovlan.be/fr/detail/maison/a-vendre/7100/haine-saint-paul/vwd12880,VWD12880,Maison à vendre,299000,Rue Duchâteau 155,7100 Haine-Saint-Paul,Non,2018,5,205 m²,Oui,Gaz,Double vitrage,2,Oui,Oui,103 kWh/m²/an,21003 kWh/an,20180829504337,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7100/haine-saint-paul/vbb73385,VBB73385,Maison à vendre,274000,,7100 Haine-Saint-Paul,,,3,132 m²,Oui,Mazout,Double vitrage,,Oui,Oui,491 kWh/m²/an,83716 kWh/an,20220412000687,Information non communiquée,Information non communiquée,Normal,16 m²,16 m²,16 m²,17 m²,Oui,Oui,Oui,16 m²,Non,Oui,1,Non équipée,16 m²,1,1,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,2,Oui,Oui,123,"non, pas d'attestation","non, pas d'attestation",Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7100/haine-saint-paul/vbc85205,VBC85205,Maison à vendre,359000,,7100 Haine-Saint-Paul,,1950,4,255 m²,Oui,Mazout,Double vitrage,3,Oui,Oui,507 kWh/m²/an,106090 kWh/an,,Pas de risque d’inondation,Information non communiquée,Normal,13 m²,12 m²,18 m²,40 m²,Oui,Oui,Oui,12 m²,,,1,Equipée,9 m²,2,3,,,,,,,,,,,,,2,Non,Oui,125,"non, pas d'attestation",,,,,,A l’acte,16 m²,Américaine,2,Non,Non,Oui,Oui,Non,30/04/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7100/haine-saint-paul/vbc76458,VBC76458,Maison à vendre,100000,Rue Saint Hubert 23,7100 Haine-Saint-Paul,,1899,3,95 m²,,Gaz,,2,,Oui,510 kWh/m²/an,61151 kWh/an,,Pas de risque d’inondation,Information non communiquée,Normal,9 m²,9 m²,15 m²,,Oui,Oui,,,,,,Equipée,16 m²,1,1,,,,,,,,,,,,,4,Oui,,95,"non, pas d'attestation",,,,,,A l’acte,,Américaine,1,Non,Non,,,Non,18/04/2035,Non,Nord-est,5 m,21 m²,100 m²,17 m,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7100/haine-saint-paul/vbc64809,VBC64809,Maison à vendre,175000,Cité des Bois 37,7100 Haine-Saint-Paul,Non,,3,144 m²,,Gaz,,2,Oui,,222 kWh/m²/an,,20241108014131,Information non communiquée,Information non communiquée,Normal,,,,,Non,Non,Non,,Non,Non,,Super équipée,,1,1,,Oui,,,,,,,,,,,2,,,39,"oui, attestation conforme",,,,,,,,,,Non,,,,,08/11/2034,Non,,,,470 m²,,,Non,Non,1,350 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7100/haine-saint-paul/vbc70916,VBC70916,Maison à vendre,1000000,,7100 Haine-Saint-Paul,Non,,,,,Non specifié,,4,Oui,,,,,Information non communiquée,Information non communiquée,,,,,,Non,Non,Non,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/7100/haine-saint-paul/vbc59615,VBC59615,Villa à vendre,220000,Place du Numéro Un 7,7100 Haine-Saint-Paul,,,3,,Oui,,Double vitrage,4,Oui,Oui,384 kWh/m²/an,47572 kWh/an,,Information non communiquée,Information non communiquée,À rénover,,,,,Oui,,,,,,1,Equipée,,1,,,,,,,,,,,,,,,,Oui,,,,,,,,A l’acte,,Américaine,,,,,,,,,,,,1410 m²,,,Oui,,,,165 m²,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/7100/haine-saint-paul/vbc11840,VBC11840,Appartement à vendre,150000,,7100 Haine-Saint-Paul,,,2,120 m²,,Gaz,Double vitrage,2,Oui,Oui,441 kWh/m²/an,36480 kWh/an,,Information non communiquée,Information non communiquée,Normal,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,30/07/2025,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7100/haine-saint-paul/vbb32706,VBB32706,Maison à vendre,219000,,7100 Haine-Saint-Paul,Non,1900,3,186 m²,,Gaz,Double vitrage,2,Oui,Oui,241 kWh/m²/an,44857 kWh/an,,Pas de risque d’inondation,Information non communiquée,Normal,17 m²,16 m²,17 m²,18 m²,Oui,Oui,Oui,16 m²,,,,Equipée,13 m²,1,1,,,,,,,,,,,,,2,Oui,Oui,44,"oui, attestation conforme",,,,,,A l’acte,,Américaine,1,Non,Non,Oui,,Non,12/06/2034,Non,,,,393 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7100/haine-saint-paul/vba50081,VBA50081,Maison à vendre,79000,,7100 Haine-Saint-Paul,Non,1900,1,146 m²,,Non specifié,,3,Oui,,973 kWh/m²/an,141761 kWh/an,,Pas de risque d’inondation,Information non communiquée,À rénover,14 m²,,,20 m²,Oui,Oui,Oui,13 m²,,,,,10 m²,1,1,,,,,,,,,,,,,2,Oui,Oui,276,"non, pas d'attestation",,,,,,A l’acte,,Indépendante,1,Non,Non,,,Non,08/12/2014,Non,,,,260 m²,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
