ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Type_de_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Pompe_à_chaleur,Type_de_vitrage,Parlophone,Ascenseur,Feu_ouvert,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Surface_constructible,Profondeur_du_terrain,Référence_PEB,Surface_de_la_terrasse,Surface_du_garage,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Orientation_du_jardin,Alarme_antieffraction,Nombre_détages_de_limmeuble,Air_conditionné,Largeur_du_terrain_à_rue,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Adoucisseur_deau,Orientation_de_la_terrasse,Nombre_de_place_de_parking_intérieur,Surface_des_caves,Surface_du_grenier,Station_de_charge_électrique,Maison_basse_énergie,Chauffage_au_sol,Compteur_Bihoraire,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Raccordé_au_gaz_de_ville,Attestation__Citernes_à_mazout,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Étage_de_lappartement,Surface_salle_à_manger,Attestation__Asbuilt,Affectation_urbanistique_la_plus_récente,Balcon,Panneaux_solaires_thermiques,Niveau_E,Niveau_K,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Porte_de_garage_motorisée,Clef_électronique,Attestation__Installation_électrique__Validité,Surface_du_bureau,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Appartement_de_service,Niveau_S,Surface_de_la_véranda,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Surface_du_dressing
https://immovlan.be/fr/detail/villa/a-vendre/7522/lamain/vbc79775,VBC79775,Villa à vendre,699000,,7522 Lamain,Excellent,2019,A l’acte,3,19 m²,15 m²,10 m²,270 m²,Non,Oui,2,Equipée,Américaine,2,2,2,Oui,Air pulsé,Oui,Double vitrage,Oui,Non,Oui,Oui,4,4,Oui,4000 m²,Oui,4000 m²,Oui,Oui,Oui,Oui,173 kWh/m²/an,46571 kWh/an,21/02/2034,49,"oui, attestation conforme",Oui,Non,Non,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vbc87694,VBC87694,Maison à vendre,435000,,7522 Blandain,Excellent,,,4,,,,260 m²,Non,Oui,1,,,2,,3,,Mazout,,,,Non,,,4,2,Oui,,Oui,1863 m²,,Oui,,,293 kWh/m²/an,,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,Non,50 m²,Non,Non,Non,Non,Non,Non,Non,Nord-ouest,35 m,210 m²,48 m,20250406003461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/7522/blandain/vbc85946,VBC85946,Bungalow à vendre,339000,,7522 Blandain,Remis à neuf,,A l’acte,3,,,,162 m²,Non,Oui,,Equipée,Américaine,1,1,1,,Mazout,,,,Non,,,4,,Oui,600 m²,Oui,1037 m²,,,,Non,301 kWh/m²/an,48510 kWh/an,22/05/2035,,"oui, attestation conforme",Non,Non,Non,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vbc83591,VBC83591,Maison à vendre,365000,,7522 Blandain,Remis à neuf,,A l’acte,3,20 m²,13 m²,11 m²,220 m²,Non,Oui,1,Super équipée,,1,1,2,,Air pulsé,Oui,Double vitrage,,Non,,Non,3,,Oui,217 m²,Oui,466 m²,Oui,Oui,,Non,126 kWh/m²/an,38189 kWh/an,27/05/2035,32,"non, pas d'attestation",,,,Information non communiquée,Information non communiquée,,32 m²,Oui,Oui,,,,,,,,,,,30 m²,20 m²,22 m²,13 m²,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/7522/hertain/vbc80376,VBC80376,Immeuble mixte à vendre,375000,Chaussée de Lille 898,7522 Hertain,À rénover,,,3,15 m²,8 m²,19 m²,265 m²,Non,Oui,2,,,2,2,2,,Mazout,,,,Non,,Non,4,2,,,Oui,478 m²,,Oui,,,386 kWh/m²/an,56604 kWh/an,26/01/2033,,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,,,,,,,,,,,,,,,,,Oui,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vbc79972,VBC79972,Maison à vendre,365000,,7522 Blandain,À rénover,,,2,18 m²,20 m²,,212 m²,Non,Oui,1,Equipée,Américaine,1,1,1,Oui,Air pulsé,Oui,Double vitrage,,Non,,,4,2,Oui,400 m²,Oui,560 m²,,,,Non,159 kWh/m²/an,33780 kWh/an,09/05/2035,,"non, pas d'attestation",,,,Information non communiquée,Information non communiquée,,48 m²,,Oui,,,,,,,,,,,15 m²,,18 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vbc75923,VBC75923,Maison à vendre,389061,,7522 Blandain,Nouveau,,,3,,,,158 m²,,Oui,1,,,1,,2,,,,,,,,,4,,Oui,,,1147 m²,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,11 m,,,,,,,,,,,,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/marquain/vbc73477,VBC73477,Maison à vendre,525000,Rue des Couvreurs 6,7522 Marquain,Normal,1930,A l’acte,6,,,,370 m²,Non,Oui,1,Super équipée,,1,1,2,Oui,Mazout,,,,Non,,,4,1,Oui,1250 m²,Oui,1610 m²,,,,,281 kWh/m²/an,104908 kWh/an,,69,"oui, attestation non conforme",,,,Pas de risque d’inondation,Information non communiquée,,,,Oui,,,,,,Sud,,240 m²,57 m,20250417013427,22 m²,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vbc72245,VBC72245,Maison à vendre,373061,,7522 Blandain,Nouveau,,,3,,,,158 m²,,Oui,1,,,1,,2,,,,,,,,,4,,Oui,,,1175 m²,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,11 m,,,,,,,,,,,,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vbc66791,VBC66791,Maison à vendre,348784,,7522 Blandain,Nouveau,,,3,,,,158 m²,,Oui,1,,,1,,2,,,,,,,,,4,,Oui,,,900 m²,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,11 m,,,,,,,,,,,,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
