ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Surface_du_séjour,Caves,Surface_des_caves,Grenier,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Parlophone,Alarme_antieffraction,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Orientation_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Conso_spécifique_dénergie_primaire,Attestation__Installation_électrique,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Disponibilité_du_bien,Meublé,Surface_du_grenier,Buanderie,Type_de_cuisine,Nombre_de_toilettes,Ascenseur,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Surface_du_jardin,Largeur_du_terrain_à_rue,Piscine_extérieure,Date_de_validité_PEB,Emission_de_CO2,Attestation__Citernes_à_mazout,Espace_ouvert_sensible_à_leau__WORG,Pompe_à_chaleur,Étage_de_lappartement,Orientation_du_jardin,Permis_de_bâtir_obtenu,Affectation_urbanistique_la_plus_récente,Véranda,Salle_à_manger,Dressing,Local_vélo,Panneaux_solaires,Référence_PEB,Le_bien_fait_lobjet_dun_droit_de_préemption,Équipement_de_la_cuisine,Permis_durbanisation_accordé,Nombre_de_douches,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Possibilités_pour_profession_libérale,Chauffage_au_sol,Niveau_E,Surface_salle_à_manger,Surface_de_la_terrasse,Surface_constructible,Attestation__Asbuilt,Station_de_charge_électrique,Maison_basse_énergie,Compteur_Bihoraire,Porte_daccès_sécurisée,Profondeur_du_terrain,Surface_chambre_à_coucher_5,Surface_de_la_véranda,Porte_de_garage_motorisée,Adoucisseur_deau,HammamSaunaJacuzzi,Feu_ouvert,Attestation__Citernes_à_mazout__Validité,Clef_électronique,Panneaux_solaires_thermiques,Domotique,Surface_totale,Surface_du_bureau,Conso_annuelle_totale_dénergie_primaire,Surface_du_dressing,Attestation__Installation_électrique__Validité,Appartement_de_service,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel
https://immovlan.be/fr/detail/villa/a-vendre/1840/londerzeel/rbt69032,RBT69032,Villa à vendre,848700,Hendolfstraat 15,1840 Londerzeel,Normal,1981,4,25 m²,19 m²,17 m²,22 m²,352 m²,70 m²,Oui,190 m²,Oui,Oui,2,2,40 m²,28 m²,2,9 m²,Gaz,Double vitrage,Oui,Oui,Oui,Oui,4,8,Oui,Oui,Sud-est,1924 m²,Oui,Oui,Oui,Oui,288 kWh/m²/an,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/londerzeel/rbt45672,RBT45672,Maison à vendre,475000,Pilatusveld 19,1840 Londerzeel,,1970,3,21 m²,18 m²,15 m²,,208 m²,50 m²,Oui,15 m²,Oui,Oui,1,1,25 m²,10 m²,1,6 m²,Mazout,,,,,Oui,4,4,Oui,Oui,,510 m²,Oui,,Oui,,537 kWh/m²/an,"oui, attestation non conforme",,,,,Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Non,50 m²,Oui,Indépendante,2,Non,Nord,8 m,2,300 m²,8 m,Non,29/04/2035,28684,"oui, attestation conforme",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1840/londerzeel/rbt05446,RBT05446,Appartement à vendre,359000,,1840 Londerzeel,Nouveau,2026,2,,,,,122 m²,,,,,Oui,1,,,,1,,,,,Oui,,,2,1,Oui,Oui,,,,,Oui,,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,2,Oui,,,2,,,,,,,,Oui,1,Sud-est,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/londerzeel/rbt64127,RBT64127,Maison à vendre,465000,Geerakker 14,1840 Londerzeel,Normal,1987,3,,,,,100 m²,,Non,,Oui,Oui,,,,,1,,Gaz,,,,,,4,,Oui,Oui,,629 m²,,,,,185 kWh/m²/an,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,Non,A convenir,Non,,Non,,2,Non,Est,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,Oui,20250515-0003601287-RES-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/londerzeel/rbt64125,RBT64125,Maison à vendre,325000,Sint-Jozefstraat 28,1840 Londerzeel,Normal,1899,2,,,,,149 m²,,Non,,Oui,,,,,,1,,Gaz,,,,,,3,,Oui,Oui,,90 m²,,,,,254 kWh/m²/an,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,Non,A convenir,Non,,Non,,1,Non,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,,20250414-0003577020-RES-1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/londerzeel/rbt38218,RBT38218,Maison à vendre,150000,Stationsstraat 24,1840 Londerzeel,À rénover,1930,1,,,,,188 m²,,Non,,Non,,,,,,1,,Gaz,,,,,,,,,,,150 m²,,,,,412 kWh/m²/an,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,Non,A convenir,Non,,Non,,,Non,,,2,,,,30/09/2033,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,,20230930-0003003303-RES-1,,Semi-équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/londerzeel/rbt29676,RBT29676,Maison à vendre,265000,Nieuwstraat 45,1840 Londerzeel,À rénover,1931,3,,,,,140 m²,,Non,,Non,,,,,,1,,Bois,,,,,,,1,Oui,,,660 m²,,,,,1222 kWh/m²/an,"oui, attestation non conforme",,,,,Pas de risque d’inondation,Information non communiquée,Non,A convenir,Non,,Non,,,Non,Nord-est,,2,,,,01/12/2034,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,,20241201-0003462391-RES-1,,Semi-équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/1840/londerzeel/rbt29871,RBT29871,Fermette à vendre,1190000,Kruisheide 14,1840 Londerzeel,À rénover,1985,6,,,,,500 m²,,,,Oui,Oui,1,,,,3,,Mazout,Double vitrage,,,,,3,1,Oui,Oui,,17000 m²,,,,,325 kWh/m²/an,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Américaine,,Non,,,2,,,,,1,,,,,,Oui,,,,,,,,Oui,Equipée,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1840/londerzeel/rbt24913,RBT24913,Villa à vendre,1395000,Polderstraat 63,1840 Londerzeel,Normal,2021,5,,,,,360 m²,,Non,,Oui,,,,,,,,Electrique,,,,,,4,2,Oui,Oui,,20886 m²,,,,,23 kWh/m²/an,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Non,,Non,,3,Non,Sud-ouest,,,,,,,,,,Oui,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,Oui,23045-G-OMV_2020008634/EP05035/A001/D01/SD001,Oui,Super équipée,Oui,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/londerzeel/rbt19767,RBT19767,Maison à vendre,449000,Kerfenden 27,1840 Londerzeel,À rénover,1962,3,,,,,158 m²,,Non,,Oui,Oui,,,,,1,,Mazout,,,,,,4,,Oui,Oui,,3498 m²,,,,,986 kWh/m²/an,"oui, attestation non conforme",,,,,Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Non,,Non,,1,Non,Sud,,,,,,,,,,,,,,Zone agricole,Non,Non,Non,Non,,20221028-0002711454-RES-1,Oui,Super équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1840/londerzeel/rbt05449,RBT05449,Appartement à vendre,339000,,1840 Londerzeel,Nouveau,2026,2,,,,,88 m²,,Non,,Non,Oui,1,,,,1,,,Double vitrage,,Oui,,,2,1,Oui,Oui,,,,,Oui,,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,Non,,,,Non,,1,,,,2,,,Non,,,,,Oui,0,Sud-est,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1840/londerzeel/rbt05448,RBT05448,Appartement à vendre,309000,,1840 Londerzeel,Nouveau,2026,1,,,,,76 m²,,Non,,Non,Oui,1,,,,1,,,,,Oui,,,2,1,Oui,Oui,,,,,Oui,,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,Non,,,,Non,,1,,,,2,,,Non,,,,,Oui,0,Sud-est,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1840/londerzeel/rbt05447,RBT05447,Appartement à vendre,359000,,1840 Londerzeel,Nouveau,2026,2,,,,,131 m²,,,,,Oui,1,,,,1,,,,,Oui,,,2,1,Oui,Oui,,,,,Oui,,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,2,Oui,,,2,,,,,,,,Oui,1,Sud-est,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/1840/londerzeel/rbt04435,RBT04435,Duplex à vendre,322000,Schoolstraat 3 1.4,1840 Londerzeel,,2001,3,,,,,95 m²,,,,,Oui,1,,,,1,,Gaz,Double vitrage,Non,,Non,Non,,1,,,,,,,,,156 kWh/m²/an,,,,,,Pas de risque d’inondation,Information non communiquée,,A l’acte,,,,,2,Non,,,2,,,,,,,,,1,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,20241106-0003438030-RES-1,Non,Equipée,Non,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/londerzeel/rbt01779,RBT01779,Maison à vendre,599000,Acacialaan 29 1,1840 Londerzeel,Excellent,1940,4,15 m²,11 m²,25 m²,12 m²,230 m²,52 m²,Oui,10 m²,,Oui,1,1,35 m²,24 m²,2,13 m²,Gaz,Double vitrage,Oui,,Oui,Non,3,2,Oui,Oui,,995 m²,Oui,Oui,Oui,Oui,160 kWh/m²/an,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Non,,,,2,Non,Nord-ouest,,1,,,Non,17/06/2034,3995,,Non,,,,Non,,,,,,Oui,,Non,Super équipée,Non,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/londerzeel/rbr90829,RBR90829,Maison à vendre,205000,Heerbaan 19,1840 Londerzeel,Normal,1954,3,11 m²,14 m²,16 m²,,106 m²,21 m²,Oui,,Oui,,,,,7 m²,1,,Gaz,,,,,Non,2,,,Oui,Ouest,121 m²,,Oui,Oui,,477 kWh/m²/an,"oui, attestation non conforme",,,,,Information non communiquée,Information non communiquée,Non,A l’acte,Non,,,Américaine,,Non,Est,,,,,Non,,,,,,,,,,,,,,,,,Equipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/londerzeel/rwc37809,RWC37809,Maison à vendre,375550,,1840 Londerzeel,Excellent,2025,3,,,,,199 m²,,,,Oui,Oui,,1,,,,,Non specifié,,,,,,2,1,,,,,Oui,Oui,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,A convenir,,,Oui,Américaine,,,,,,,,,,,,,,,,,,,,,,Oui,,,Super équipée,,,,,Non,Oui,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/londerzeel/rbj89957,RBJ89957,Maison à vendre,155000,,1840 Londerzeel,Normal,1959,3,7 m²,11 m²,16 m²,,130 m²,12 m²,Oui,,Oui,,,,,9 m²,1,,Charbon,,,,,,2,,Oui,,,199 m²,,,Oui,,1137 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,,,,,,Américaine,1,,Nord,,2,,,,,,,,,,,,,,Oui,,,,,Non,Equipée,,,,,,,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/malderen/rbt69996,RBT69996,Maison à vendre,614000,Kouterbaan 4,1840 Malderen,,1946,3,,,,,593 m²,44 m²,Non,,Oui,Oui,1,,,,1,,,,,,,,,,Oui,Oui,,941 m²,,,Oui,,502 kWh/m²/an,"oui, attestation non conforme",,,,,Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Non,,Non,,3,Non,Nord,,2,,,,10/06/2035,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,,20250610-0003618172-RES-1,Non,,,,,,,,,,30 m²,272 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1840/malderen/rwc39662,RWC39662,Villa à vendre,785000,Vogelstraat,1840 Malderen,Excellent,2014,4,,,,,250 m²,,,,Oui,Oui,,2,50 m²,,1,,Gaz,Double vitrage,Non,Oui,,,4,4,Oui,Oui,,550 m²,,,,,99 kWh/m²/an,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Indépendante,,,,,,,,,21/02/2035,,pas d'application,,Non,,,Oui,,,,,Oui,Oui,20250221-0003533207-RES-1,,Equipée,Oui,,,,,Oui,,,,,,Non,Oui,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1840/steenhuffel/rbt16104,RBT16104,Maison à vendre,432825,St.-genovevastraat 34 a,1840 Steenhuffel,Nouveau,,3,,,,,146 m²,,,,Oui,,,,,,1,,,,,,,,2,,Oui,,,233 m²,,Oui,Oui,,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,2,,,7 m,,,7 m,,,,,,,,Sud,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,74 m²,,,,,,29 m,,,,,,,,,,,,,,,,,,,,,
