ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Surface_salle_à_manger,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Type_de_vitrage,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Surface_du_jardin,Orientation_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Citerne_à_eau_de_pluie,Station_de_charge_électrique,Panneaux_solaires,Alarme_antieffraction,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Dressing,Buanderie,Local_vélo,Référence_PEB,Orientation_de_la_façade_du_bien,Nombre_détages_de_limmeuble,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Affectation_urbanistique_la_plus_récente,Surface_des_caves,Surface_constructible,Feu_ouvert,Adoucisseur_deau,Surface_du_garage,Chauffage_au_sol,Air_conditionné,Domotique,Parlophone,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Étage_de_lappartement,Attestation__Installation_électrique__Validité,Maison_basse_énergie,Compteur_Bihoraire,Balcon,Possibilités_pour_profession_libérale,Pompe_à_chaleur,Adaptations_pour_les_seniors,Attestation__Citernes_à_mazout,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Attestation__Asbuilt,Surface_du_bureau,Surface_du_grenier,Surface_de_la_véranda,Porte_de_garage_motorisée,Attestation__Citernes_à_mazout__Validité,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Surface_totale,Niveau_E,Clef_électronique
https://immovlan.be/fr/detail/maison/a-vendre/7642/calonne/vbc91384,VBC91384,Maison à vendre,189000,,7642 Calonne,Normal,1950,A l’acte,2,23 m²,14 m²,131 m²,Non,25 m²,Oui,Oui,Oui,Oui,20 m²,Equipée,Américaine,10 m²,1,1,1,9 m²,Mazout,Non,Non,2,Oui,Oui,140 m²,Oui,Oui,Non,343 kWh/m²/an,59402 kWh/an,07/06/2025,85,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7642/calonne/vbc68972,VBC68972,Maison à vendre,350000,,7642 Calonne,Normal,,A l’acte,5,10 m²,10 m²,160 m²,Non,22 m²,Oui,Oui,,Oui,23 m²,Equipée,Américaine,20 m²,1,1,2,,Mazout,Non,,4,Oui,Oui,13957 m²,Oui,Oui,Non,425 kWh/m²/an,93016 kWh/an,02/04/2035,105,,Information non communiquée,Information non communiquée,Non,11 m²,15 m²,17 m²,Oui,1,1,Double vitrage,24 m,1,13000 m²,Sud-est,43 m²,Sud-est,24 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/7712/herseaux/vbc91844,VBC91844,Immeuble mixte à vendre,349000,,7712 Herseaux,Normal,,A l’acte,3,25 m²,18 m²,187 m²,Non,56 m²,,Oui,,,,Equipée,Américaine,,2,2,1,,Gaz,Non,,2,,Oui,195 m²,,,Non,250 kWh/m²/an,46744 kWh/an,10/03/2035,,"non, pas d'attestation",Information non communiquée,Information non communiquée,Non,18 m²,,,Oui,1,,Double vitrage,,,,,60 m²,,,,Oui,Oui,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7712/herseaux/vbc91070,VBC91070,Maison à vendre,235000,,7712 Herseaux,,1968,,3,,,154 m²,Non,,Non,Non,Non,Non,,,,,2,,2,,Gaz,Non,,3,Oui,Oui,351 m²,,,,332 kWh/m²/an,,,,pas d'application,Information non communiquée,Information non communiquée,Non,,,,Oui,1,,,,,,,,,,,,,,,,,Non,Non,Non,20160828004582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7712/herseaux/vbc90041,VBC90041,Maison à vendre,189000,,7712 Herseaux,,,,3,,,163 m²,Non,,Non,Oui,Non,Non,,,,,,,2,,,Non,,2,Oui,Oui,,,,,233 kWh/m²/an,,,,pas d'application,Information non communiquée,Information non communiquée,Non,,,,Oui,1,,,,,,,,,,,,,,,,,Non,Non,Non,20250519028150,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7712/herseaux/vbc90017,VBC90017,Maison à vendre,99000,,7712 Herseaux,À rénover,,,2,,,74 m²,Non,21 m²,Non,Non,Non,Non,,,,,1,1,1,,,Non,,2,,Oui,81 m²,,Oui,,543 kWh/m²/an,,05/02/2031,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,Non,,,,,,,,8 m,,,,13 m²,,,,,,,,,,Non,Non,Non,20210205010024,Ouest,1,11 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7712/herseaux/vbc89543,VBC89543,Maison à vendre,139000,,7712 Herseaux,Normal,,,2,,,133 m²,Non,26 m²,Non,Oui,Non,Non,,Semi-équipée,,,1,1,1,,,Non,,,Non,Oui,102 m²,,Oui,,386 kWh/m²/an,51567 kWh/an,29/01/2035,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,Non,,,,,,,,,,,,18 m²,,,,,,,,,,Non,Non,Non,20250129010250,,,,Oui,Réserve naturelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7712/herseaux/vbc88384,VBC88384,Maison à vendre,179900,Rue de la Broche de Fer 180,7712 Herseaux,,,,2,,,119 m²,Non,,Non,Oui,Non,Non,,,,,,,,,,Non,,,Oui,Non,173 m²,,,,524 kWh/m²/an,62386 kWh/an,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,Non,,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,20180829009762,,,,,Réserve naturelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7712/herseaux/vbc87181,VBC87181,Maison à vendre,199000,,7712 Herseaux,Excellent,,A l’acte,3,,,110 m²,Non,,,,,,,,,,1,,,,Gaz,,,2,Oui,Oui,295 m²,,,,307 kWh/m²/an,41036 kWh/an,,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,,,,Oui,,,Double vitrage,,,170 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison-de-maitre/a-vendre/7712/herseaux/vbc75840,VBC75840,Maison de maître à vendre,495000,Rue de la Broche de Fer 231,7712 Herseaux,Normal,1980,A l’acte,3,15 m²,15 m²,302 m²,,34 m²,Oui,Oui,,,,Super équipée,,33 m²,1,,2,14 m²,Gaz,Non,Non,4,Oui,Oui,2373 m²,Oui,Oui,Non,255 kWh/m²/an,55138 kWh/an,07/09/2032,43,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,14 m²,,,Oui,2,,Double vitrage,19 m,3,2165 m²,Est,131 m²,,19 m,Oui,,Oui,,,,,,,,,,3,74 m,Oui,,21 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
