ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Possibilités_pour_profession_libérale,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_habitable,Surface_du_séjour,Surface_du_bureau,Caves,Grenier,Surface_du_grenier,Véranda,Buanderie,Local_vélo,Garage,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Station_de_charge_électrique,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Adoucisseur_deau,Nombre_de_salles_de_bain,Surface_de_lades_salles_de_bain,Maison_basse_énergie,Panneaux_solaires,Type_de_chauffage,Chauffage_au_sol,Pompe_à_chaleur,Type_de_vitrage,Compteur_Bihoraire,Air_conditionné,Domotique,Parlophone,Alarme_antieffraction,Porte_daccès_sécurisée,Ascenseur,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Citernes_à_mazout,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Meublé,Nombre_de_Garages,Nombre_de_douches,Nombre_de_toilettes,Largeur_de_la_façade,Largeur_du_terrain_à_rue,Salle_à_manger,Dressing,Orientation_de_la_façade_du_bien,Surface_chambre_à_coucher_3,Orientation_du_jardin,Orientation_de_la_terrasse,Surface_chambre_à_coucher_4,Surface_salle_à_manger,Nombre_détages_de_limmeuble,Attestation__Installation_électrique__Validité,Surface_du_dressing,Surface_des_caves,Surface_constructible,Porte_de_garage_motorisée,Clef_électronique,Panneaux_solaires_thermiques,Balcon,Attestation__Asbuilt,Profondeur_du_terrain,Étage_de_lappartement,Niveau_E,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Surface_de_la_véranda,Surface_totale,Espace_ouvert_sensible_à_leau__WORG,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Surface_chambre_à_coucher_5,Appartement_de_service
https://immovlan.be/fr/detail/villa/a-vendre/7812/villers-saint-amand/vwd13810,VWD13810,Villa à vendre,795000,,7812 Villers-Saint-Amand,Excellent,Non,Non,2015,A l’acte,2,40 m²,13 m²,266 m²,60 m²,25 m²,Non,Oui,25 m²,Non,Non,Non,Oui,1,20 m²,Non,Equipée,Américaine,25 m²,Oui,2,15 m²,Non,Oui,Gaz,Oui,Non,Triple vitrage,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,4,4,Oui,900 m²,Oui,34 m²,1143 m²,Non,Oui,Oui,Oui,Oui,120 kWh/m²/an,28284 kWh/an,20220705022584,05/07/2032,20,"oui, attestation conforme",pas d'application,Oui,Oui,Non,Information non communiquée,Information non communiquée,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7812/houtaing/vbc76467,VBC76467,Maison à vendre,269000,rue de la Madeleine 1,7812 Houtaing,À rénover,,Non,1970,A l’acte,2,13 m²,16 m²,90 m²,42 m²,,,Oui,,Oui,,,Oui,1,,,,Indépendante,,,1,,,,Mazout,,,,,,,,,,Non,,,,Oui,4,1,Oui,625 m²,Oui,56 m²,905 m²,Oui,,Oui,,Non,782 kWh/m²/an,94437 kWh/an,,13/10/2032,,"oui, attestation non conforme",,,Non,Non,Pas de risque d’inondation,Information non communiquée,,Non,1,1,1,15 m,15 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/7812/mainvault/vbc04445,VBC04445,Fermette à vendre,150000,Chemin du Landat 36-38,7812 Mainvault,,,Non,1871,,2,,,140 m²,30 m²,,Non,Non,,Non,Non,Non,Oui,,,,,,,,1,,,,Bois,,,,,,,,,,Non,,,,,4,4,,,,,4233 m²,,,,,,1276 kWh/m²/an,,20241128017879,,,"oui, attestation non conforme",,,,,Information non communiquée,Information non communiquée,,Non,2,1,2,,,Non,Non,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7812/ligne/vbc64679,VBC64679,Maison à vendre,380000,Chauss?e de Brunehault 94,7812 Ligne,,,Non,1908,,5,15 m²,13 m²,240 m²,25 m²,25 m²,Non,Oui,,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,Oui,,Oui,,12000 m²,,,,,Non,298 kWh/m²/an,,20230216027795,16/02/2033,,"non, pas d'attestation",,,,,Information non communiquée,Information non communiquée,,,,,2,,,Non,Non,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7812/ligne/vbc81847,VBC81847,Maison à vendre,100000,Chauss?e de Brunehault 92,7812 Ligne,,,Non,1908,,2,,,200 m²,,,Non,Oui,,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,Oui,,,,1650 m²,,,,,Non,551 kWh/m²/an,,20230205008909,16/02/2033,,"non, pas d'attestation",,,,,Information non communiquée,Information non communiquée,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7812/ligne/vbc81848,VBC81848,Maison à vendre,280000,Chauss?e de Brunehault 94,7812 Ligne,,,Non,1908,,3,15 m²,13 m²,240 m²,25 m²,25 m²,Non,Oui,,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,12000 m²,,,,,,298 kWh/m²/an,,20230216027795,16/02/2033,,"non, pas d'attestation",,,,,Information non communiquée,Information non communiquée,,,,,2,,,Non,Non,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7812/houtaing/vbc72248,VBC72248,Maison à vendre,363061,,7812 Houtaing,Nouveau,,,,,3,,,158 m²,,,,,,,,,Oui,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,Oui,,,,1011 m²,,,,Oui,,,,,,,,,,,,Information non communiquée,Information non communiquée,,,1,,2,11 m,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7812/houtaing/vbc28115,VBC28115,Maison à vendre,299000,,7812 Houtaing,Normal,,Non,,A l’acte,3,,,157 m²,,,,Oui,,,,,Oui,1,,,Equipée,Américaine,,,1,,,,Mazout,,,,,,,,,,Non,,Oui,,Oui,4,2,Oui,,Oui,,975 m²,,,Oui,Oui,Non,337 kWh/m²/an,52830 kWh/an,,29/09/2033,83,"non, pas d'attestation",,,,,Information non communiquée,Information non communiquée,,Non,1,1,1,,,,,,,Sud,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7830/silly/vbb87907,VBB87907,Maison à vendre,180000,Rue Ville Basse 5,7830 Silly,Normal,,Non,,,3,,,125 m²,,,Non,Oui,,Non,Non,Non,,,,,Semi-équipée,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,Oui,,450 m²,,,Oui,,,467 kWh/m²/an,,20241011017003,,,pas d'application,,,,,Information non communiquée,Information non communiquée,,Non,,1,2,,,Non,Non,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7830/silly/vbc79647,VBC79647,Maison à vendre,440000,,7830 Silly,Normal,,,2012,A l’acte,4,13 m²,13 m²,178 m²,25 m²,10 m²,,Oui,21 m²,,,,,,,,Equipée,Américaine,16 m²,,2,,,Oui,,,,Double vitrage,,,,,,,Non,,,,Non,4,3,Oui,1939 m²,Oui,33 m²,2316 m²,Non,,Oui,Oui,Non,130 kWh/m²/an,23065 kWh/an,,26/03/2035,4,"oui, attestation conforme",,Non,Non,Non,Pas de risque d’inondation,Information non communiquée,,Non,,2,2,7 m,7 m,Oui,,,13 m²,Est,Est,15 m²,10 m²,1,12/05/2012,,,,,,,,,,,,,,,,,,,,,,,
