ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Raccordé_au_gaz_de_ville,Nombre_de_façades,Date_de_validité_PEB,Permis_de_bâtir_obtenu,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Balcon,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Disponibilité_du_bien,Meublé,Étage_de_lappartement,Parlophone,Chauffage_au_sol,Largeur_de_la_façade,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Niveau_E,Niveau_K,Permis_durbanisation_accordé,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_du_séjour,Nombre_de_place_de_parking_intérieur,Orientation_de_la_terrasse,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_de_la_cuisine,Panneaux_solaires,Surface_du_jardin,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Emission_de_CO2,Surface_salle_à_manger,Porte_daccès_sécurisée,Conso_annuelle_totale_dénergie_primaire,Surface_des_caves,Type_de_cuisine,Compteur_électrique_individuel,Compteur_deau_individuel,Attestation__Asbuilt,Espace_ouvert_sensible_à_leau__WORG,Surface_de_lades_salles_de_bain,Nombre_de_douches,Surface_du_grenier,Compteur_Bihoraire,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Possibilités_pour_profession_libérale,Station_de_charge_électrique,Appartement_de_service,Attestation__Citernes_à_mazout,Surface_de_la_véranda,Surface_du_garage,Surface_totale,Porte_de_garage_motorisée,Adoucisseur_deau,Maison_basse_énergie,Pompe_à_chaleur,Compteur_de_gaz_individuel,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Surface_du_dressing,Surface_du_bureau,Clef_électronique,Surface_chambre_à_coucher_5,Attestation__Installation_électrique__Validité,Panneaux_solaires_thermiques
https://immovlan.be/fr/detail/villa/a-vendre/8380/lissewege/rbt39551,RBT39551,Villa à vendre,695000,,8380 Lissewege,Excellent,Non,5,220 m²,Non,Oui,Non,Non,Non,Oui,Non,Oui,4,4,Oui,Sud,Oui,10162 m²,140 m²,Oui,Non,317 kWh/m²/an,20230406-0002854601-RES-1,"oui, attestation non conforme","Zone, info non disponible",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8380/lissewege/rbt45995,RBT45995,Maison à vendre,398000,Stormvogelstraat 7,8380 Lissewege,À rénover,Non,4,153 m²,Non,Oui,Non,Non,Non,Non,Non,Oui,1,,Oui,Sud-est,Oui,241 m²,,Oui,Non,185 kWh/m²/an,3615043,"oui, attestation non conforme",Zone d'extension d'habitat,Pas de risque d’inondation,Information non communiquée,1998,Equipée,2,2,Gaz,Double vitrage,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8380/lissewege/rbs12316,RBS12316,Maison à vendre,249000,Stationsstraat 54,8380 Lissewege,À rénover,,4,308 m²,Oui,Oui,,,,,,,,,Oui,Est,,221 m²,,Oui,,,20220915-0002673637-KNR-1,"non, pas d'attestation","Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,,,,,,Simple vitrage,Oui,2,15/09/2032,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8380/zeebrugge/rbt72128,RBT72128,Maison à vendre,239000,Heiststraat 78,8380 Zeebrugge,,Non,3,218 m²,Non,Oui,Non,Non,Non,Non,Non,Oui,1,,,,Oui,124 m²,,,Non,427 kWh/m²/an,20250417-0003572911-RES-1,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1947,,1,,Gaz,Simple vitrage,,2,,,Non,Non,Non,Non,Est,3,8 m²,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8380/zeebrugge/rbt69786,RBT69786,Maison à vendre,399000,Sint-Donaasstraat 34,8380 Zeebrugge,,,3,247 m²,,Oui,,,,Oui,,Oui,1,,Oui,Sud,Oui,271 m²,,Oui,,349 kWh/m²/an,20210728-0002445811-RES-1,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Risque moyen,Information non communiquée,1969,Equipée,1,3,Gaz,Double vitrage,Oui,2,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8380/zeebrugge/rbt67210,RBT67210,Maison à vendre,225000,Heiststraat 120,8380 Zeebrugge,À rénover,,3,104 m²,,,Oui,,,,,,,,Oui,Sud-est,Oui,100 m²,,Oui,,343 kWh/m²/an,2282846,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,1949,Equipée,1,,Gaz,Double vitrage,Oui,2,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/8380/zeebrugge/rbt66871,RBT66871,Studio à vendre,245000,Isabellalaan 99 245,8380 Zeebrugge,Nouveau,Non,,,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,Oui,,,Oui,Oui,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,2020,,1,1,Gaz,,,2,,,,,Oui,,,,,,Oui,,A l’acte,Oui,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8380/zeebrugge/rbt64296,RBT64296,Appartement à vendre,260000,Rederskaai 32,8380 Zeebrugge,,Non,1,115 m²,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,Non,0 kWh/m²/an,20210326-0002393190-KNR-1,,"Zone, info non disponible",Pas de risque d’inondation,Information non communiquée,1968,,1,1,Gaz,Simple vitrage,,,,,Non,Non,Non,Non,,,,Non,Non,Non,A l’acte,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8380/zeebrugge/rbt33227,RBT33227,Maison à vendre,345000,Azorenstraat 13,8380 Zeebrugge,Excellent,Non,3,196 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,,Oui,Est,,196 m²,,Oui,Non,163 kWh/m²/an,20250404-0003570661-RES-1,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1956,Equipée,1,2,Gaz,Double vitrage,Oui,2,04/04/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8380/zeebrugge/rbr64237,RBR64237,Appartement à vendre,315000,Tijdokstraat 5 502,8380 Zeebrugge,Excellent,Non,1,57 m²,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,,,Oui,Non,152 kWh/m²/an,202404505-000320497-RES1,"non, pas d'attestation","Zone, info non disponible",Pas de risque d’inondation,Information non communiquée,2012,,1,1,,Double vitrage,Oui,2,,,,,Oui,,,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
