ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Balcon,Conso_spécifique_dénergie_primaire,Référence_PEB,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Disponibilité_du_bien,Grenier,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Orientation_de_la_façade_du_bien,Jardin,Terrasse_aménagée,Piscine_extérieure,Le_bien_fait_lobjet_dun_droit_de_préemption,Etat_du_bien,Équipement_de_la_cuisine,Nombre_de_douches,Permis_de_bâtir_obtenu,Meublé,Nombre_de_place_de_parking_intérieur,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Surface_de_la_terrasse,Attestation__Installation_électrique,Panneaux_solaires,Pompe_à_chaleur,Orientation_du_jardin,Étage_de_lappartement,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_du_séjour,Surface_du_jardin,Raccordé_au_gaz_de_ville,Surface_du_bureau,Surface_des_caves,Surface_du_grenier,Surface_du_garage,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Date_de_validité_PEB,Type_de_cuisine,Orientation_de_la_terrasse,Raccordé_aux_égouts,Emission_de_CO2,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Porte_de_garage_motorisée,Clef_électronique,Chauffage_au_sol,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Surface_constructible,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Parlophone,Surface_chambre_à_coucher_4,Conso_annuelle_totale_dénergie_primaire,Maison_basse_énergie,Compteur_Bihoraire,Surface_chambre_à_coucher_5,Espace_ouvert_sensible_à_leau__WORG,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Station_de_charge_électrique,Niveau_E,Possibilités_pour_profession_libérale,Surface_totale,Niveau_K,Attestation__Installation_électrique__Validité,Surface_de_la_véranda,Adoucisseur_deau,Niveau_S,Appartement_de_service,Citation_pour_infraction_urbanistique
https://immovlan.be/fr/detail/bungalow/a-vendre/8570/anzegem/rbt73220,RBT73220,Bungalow à vendre,215000,Weggevoerdenlaan 33,8570 Anzegem,Non,1971,3,80 m²,Non,Non,Non,Non,Non,Non,Oui,1,1,1,Non,Non,Non,4,10 m,1,2,540 m²,28 m,16 m,Non,473 kWh/m²/an,20250321-0003559287-RES-1,"Zone, info non disponible",Risque moyen,Information non communiquée,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8570/anzegem/rbt71413,RBT71413,Maison à vendre,,,8570 Anzegem,Non,1948,3,144 m²,Non,Non,Non,Non,Non,Non,Oui,2,1,2,Non,Non,Non,3,19 m,3,4,737 m²,30 m,19 m,Non,673 kWh/m²/an,20250602-0001499508-RES-5,Zone d'extension d'habitat,Pas de risque d’inondation,Information non communiquée,Non,A partir du : 20/12/2025,Oui,Non specifié,Double vitrage,Non,Nord,Oui,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/8570/anzegem/rbt70742,RBT70742,Villa à vendre,715000,Vichtsesteenweg 64,8570 Anzegem,,,3,350 m²,,,,,,,,,1,3,,Non,,4,,2,10,1443 m²,,,,157 kWh/m²/an,,,Information non communiquée,Information non communiquée,,A l’acte,,Mazout,Double vitrage,,,Oui,Oui,Oui,,Excellent,Super équipée,1,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8570/anzegem/rbt69594,RBT69594,Maison à vendre,199000,Grasstraat 28,8570 Anzegem,,1955,3,150 m²,Oui,,,,,,Oui,1,1,1,,,,3,,,,360 m²,,,,887 kWh/m²/an,,,Information non communiquée,Information non communiquée,,Immédiatement,Oui,,Double vitrage,,,Oui,Oui,,,À rénover,,,,Non,1,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8570/anzegem/rbi15848,RBI15848,Maison à vendre,403000,Ingooigemplaats 56,8570 Anzegem,,2023,3,148 m²,,,,,,,Oui,1,,,,Oui,,3,,3,1,435 m²,,,,99 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,,,,,,Oui,Oui,,,Nouveau,,,Oui,,,Oui,,35 m²,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8570/anzegem/rbi15847,RBI15847,Maison à vendre,403000,Ingooigemplaats 56,8570 Anzegem,,2023,3,145 m²,,,,,,,Oui,1,,,,Oui,,3,,3,1,319 m²,,,,99 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,,,,,,Oui,Oui,,,Nouveau,,,Oui,,,Oui,,24 m²,"non, pas d'attestation",Oui,Oui,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8570/anzegem/rbi15840,RBI15840,Appartement à vendre,409000,Ingooigemplaats 56,8570 Anzegem,,2023,2,112 m²,,,,,,,Oui,1,,,,Oui,,2,,3,1,,,,,99 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,,,,,,Oui,Oui,,,Nouveau,,,Oui,,,Oui,,52 m²,"non, pas d'attestation",Oui,Oui,Sud-ouest,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8570/anzegem/rbt63538,RBT63538,Maison à vendre,399500,Sint Antoniusstraat 40,8570 Anzegem,Non,1993,3,318 m²,Non,Non,Non,Non,Non,Non,Oui,3,1,,,,,4,,,,1052 m²,,,,213 kWh/m²/an,2326475,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,Oui,,Double vitrage,,,Oui,Oui,,,Excellent,,,Oui,,,Oui,,20 m²,"oui, attestation non conforme",,,Sud-est,,18 m²,24 m²,14 m²,36 m²,600 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8570/anzegem/rbt48136,RBT48136,Maison à vendre,359000,Deerlijkstraat 8,8570 Anzegem,Non,,2,117 m²,Oui,Non,Non,Non,Non,Non,Oui,1,1,1,,,,4,,,,856 m²,,,,250 kWh/m²/an,20250418-0003581360-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,Oui,,Double vitrage,,,Oui,Oui,Non,,Excellent,Equipée,,,,,Oui,,,"oui, attestation conforme",,,Est,,15 m²,18 m²,,31 m²,,Oui,16 m²,14 m²,80 m²,38 m²,14 m²,6 m²,18/04/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8570/anzegem/rbt43410,RBT43410,Maison à vendre,215000,Sterhoek 8,8570 Anzegem,Oui,1938,3,155 m²,Oui,,,,,,,,1,1,,Non,,3,6 m,3,2,618 m²,,6 m,,789 kWh/m²/an,,,Information non communiquée,Information non communiquée,,A l’acte,Oui,,Double vitrage,,,Oui,Oui,Non,,À rénover,,,Non,Non,,Oui,Oui,65 m²,"non, pas d'attestation",,,,,15 m²,13 m²,6 m²,30 m²,400 m²,Oui,,10 m²,45 m²,,10 m²,9 m²,10/10/2034,Indépendante,Nord,Oui,9910,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
