ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Disponibilité_du_bien,Équipement_de_la_cuisine,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Balcon,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Maison_basse_énergie,Panneaux_solaires,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Parlophone,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Niveau_E,Permis_durbanisation_accordé,Surface_constructible,Meublé,Attestation__Asbuilt,Surface_du_jardin,Conso_annuelle_totale_dénergie_primaire,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Permis_de_bâtir_obtenu,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_du_séjour,Surface_du_grenier,Surface_de_lades_salles_de_bain,Orientation_du_jardin,Surface_de_la_terrasse,Étage_de_lappartement,Surface_des_caves,Surface_du_garage,Surface_de_la_cuisine,Niveau_S,Nombre_de_douches,Feu_ouvert,Orientation_de_la_terrasse,Citation_pour_infraction_urbanistique,Niveau_K,Possibilités_pour_profession_libérale,Station_de_charge_électrique,Adoucisseur_deau,Compteur_de_gaz_individuel,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Appartement_de_service,Emission_de_CO2,Attestation__Citernes_à_mazout,Attestation__Installation_électrique__Validité,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Panneaux_solaires_thermiques,Surface_de_la_véranda,Compteur_électrique_individuel,Compteur_deau_individuel,Espace_ouvert_sensible_à_leau__WORG,Surface_totale,Surface_du_bureau,Surface_du_dressing,Porte_de_garage_motorisée
https://immovlan.be/fr/detail/maison/a-vendre/8650/klerken/rbs87804,RBS87804,Maison à vendre,299000,Smissestraat 38,8650 Klerken,Remis à neuf,Non,2,129 m²,Non,Non,Non,Non,Oui,Oui,Non,Oui,2,1,2,2,1,Oui,Oui,637 m²,Oui,Oui,Non,370 kWh/m²/an,20250226-0002482643-RES-4,26/02/2035,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8650/klerken/rbt65277,RBT65277,Maison à vendre,129000,Vrijbosstraat 3,8650 Klerken,,Non,2,115 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,,1,4,,Oui,,430 m²,,,Non,956 kWh/m²/an,20250607-0003620005-RES-1,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1936,Immédiatement,Equipée,Non specifié,Double vitrage,Non,Non,Non,Non,Est,8 m,2,36 m,14 m,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8650/klerken/rbt45187,RBT45187,Maison à vendre,299000,Smissestraat 38,8650 Klerken,Remis à neuf,Non,2,129 m²,Non,Non,Non,Non,Oui,Oui,Non,Oui,2,1,2,2,1,Oui,Oui,637 m²,Oui,Oui,Non,370 kWh/m²/an,20250226-0002482643-RES-4,26/02/2035,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8650/klerken/rwc39681,RWC39681,Maison à vendre,282950,,8650 Klerken,Excellent,Non,3,439 m²,,Oui,,,,,,Oui,,1,,3,2,Oui,,,Oui,Oui,,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,2025,,Super équipée,Gaz,Double vitrage,,,,,,,,,,,,,1,Américaine,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,23,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8650/klerken/rbt09214,RBT09214,Maison à vendre,499000,Klerkenstraat 116 F,8650 Klerken,,Non,3,311 m²,Non,Oui,Non,Non,Non,Non,Non,Oui,1,1,1,2,2,Oui,Oui,1034 m²,,,Non,215 kWh/m²/an,3533423,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1997,A l’acte,Equipée,Gaz,Double vitrage,Non,Non,Non,Non,,,2,50 m,21 m,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8650/houthulst/rbt73133,RBT73133,Maison à vendre,449000,Cassierslaan 69 B,8650 Houthulst,Nouveau,Non,3,176 m²,Non,Non,Non,Non,Non,Non,Non,,,2,,4,2,Oui,Oui,390 m²,Oui,Oui,Non,23 kWh/m²/an,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,Double vitrage,,,,,,11 m,,8 m,20 m,,,,,,,Oui,,,,,,,,,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8650/merkem/rbt72696,RBT72696,Maison à vendre,238000,Kouterstraat 83,8650 Merkem,À rénover,Non,3,168 m²,Non,Oui,Non,Non,Non,Non,Non,Oui,1,1,2,4,,Oui,Oui,4314 m²,,,,1022 kWh/m²/an,20250122-0003511371-RES-1,,pas d'application,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1930,A l’acte,,,,,,Non,,Nord-est,,,,,,Non,,,,,,,,,,,,,,288 m²,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8650/houthulst/rbt63910,RBT63910,Maison à vendre,90000,Beukhoutstraat 15,8650 Houthulst,À démolir,,0,39 m²,Non,Non,Non,,,,,,,,,,,Oui,,246 m²,,,,,2050526-0003610917-RES-1,,pas d'application,,Pas de risque d’inondation,Information non communiquée,,,,Non specifié,Simple vitrage,,,Non,Non,Est,,1,,,,,Non,,,,,,,,,,,,Non,51 m²,,,195 m²,1999 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8650/houthulst/rbs90030,RBS90030,Maison à vendre,389518,Tabaksveld 13a,8650 Houthulst,Nouveau,,3,166 m²,,,,,,,,Oui,1,1,2,3,1,Oui,Oui,397 m²,Oui,Oui,,,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8650/houthulst/rbt63911,RBT63911,Maison à vendre,90000,Beukhoutstraat 15,8650 Houthulst,À démolir,,0,39 m²,Non,Non,Non,,,,,,,,,,,Oui,,246 m²,,,,,2050526-0003610917-RES-1,,pas d'application,,Pas de risque d’inondation,Information non communiquée,,,,Non specifié,Simple vitrage,,,Non,Non,Est,,1,,,,,Non,,,,,,,,,,,,Non,51 m²,,,195 m²,1999 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
