ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Type_de_vitrage,Nombre_de_façades,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Largeur_du_terrain_à_rue,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_du_séjour,Surface_des_caves,Surface_du_grenier,Surface_du_garage,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Surface_de_lades_salles_de_bain,Surface_du_jardin,Surface_de_la_terrasse,Profondeur_du_terrain,Disponibilité_du_bien,Meublé,Équipement_de_la_cuisine,Nombre_de_douches,Ascenseur,Nombre_détages_de_limmeuble,Orientation_de_la_terrasse,Le_bien_fait_lobjet_dun_droit_de_préemption,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Air_conditionné,Alarme_antieffraction,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Permis_durbanisation_accordé,Étage_de_lappartement,Niveau_E,Niveau_K,Permis_de_bâtir_obtenu,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Citerne_à_eau_de_pluie,Parlophone,Chauffage_au_sol,Surface_de_la_véranda,Pompe_à_chaleur,Porte_de_garage_motorisée,Clef_électronique,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Attestation__Asbuilt,Espace_ouvert_sensible_à_leau__WORG,Raccordé_aux_égouts,Surface_totale,Compteur_Bihoraire,Attestation__Citernes_à_mazout,Station_de_charge_électrique,Panneaux_solaires_thermiques,Surface_chambre_à_coucher_5,Surface_du_bureau,Surface_salle_à_manger,Maison_basse_énergie,Conso_annuelle_totale_dénergie_primaire,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Emission_de_CO2,Adoucisseur_deau,Possibilités_pour_profession_libérale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Porte_daccès_sécurisée,Adaptations_pour_les_seniors,Appartement_de_service
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt73124,RBT73124,Maison à vendre,310000,Tuinwijk 14,8760 Meulebeke,Excellent,Non,1955,3,135 m²,Non,Oui,Non,Non,Non,Oui,Non,Oui,1,1,Oui,Gaz,Double vitrage,3,6 m,1,Oui,Nord-ouest,Oui,426 m²,148 m²,13 m,Oui,Oui,Non,128 kWh/m²/an,20250617-0003626829-RES-1,17/06/2035,"non, pas d'attestation","Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt71686,RBT71686,Maison à vendre,199000,Kasteeldreef 9,8760 Meulebeke,À rénover,Non,1975,4,198 m²,Oui,Oui,Non,Non,Non,Non,Non,Oui,1,2,,,Double vitrage,2,,,Oui,Sud,,315 m²,,,,Oui,Non,420 kWh/m²/an,20250526-0003605257-RES-1,26/05/2035,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,24 m²,16 m²,17 m²,34 m²,43 m²,48 m²,10 m²,30 m²,14 m²,1,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt71677,RBT71677,Maison à vendre,319000,Gezellelaan 4,8760 Meulebeke,Excellent,Non,,3,,Non,Oui,Non,Non,Non,Non,Non,Oui,,,Oui,,Double vitrage,2,8 m,,Oui,Est,Oui,,72 m²,8 m,Oui,Oui,Non,53 kWh/m²/an,3340995,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,15 m²,13 m²,12 m²,,30 m²,,,,12 m²,1,9 m²,100 m²,40 m²,30 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/8760/meulebeke/rbt71499,RBT71499,Immeuble mixte à vendre,495000,kasteeldreef 27,8760 Meulebeke,Excellent,Oui,1957,5,440 m²,,,,,,,,,,3,,Gaz,Double vitrage,3,,4,Oui,,Oui,786 m²,,,Oui,Oui,Non,272 kWh/m²/an,,07/06/2034,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,1,,250 m²,,,A l’acte,Non,Super équipée,1,Non,2,Sud,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt66767,RBT66767,Maison à vendre,380000,Gentstraat 210,8760 Meulebeke,,Non,1972,4,,Non,Oui,Non,Non,Non,Non,Non,Oui,2,2,,Mazout,,4,,4,Oui,,,1378 m²,,,,,Non,469 kWh/m²/an,20250605-0003617337-RES-1,,,Zone agricole,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,1,,,,,A l’acte,,,,Non,3,,Non,,,,,Non,Non,Non,Sud,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8760/meulebeke/rbt44612,RBT44612,Appartement à vendre,199000,Kasteeldreef 66 01,8760 Meulebeke,Normal,,2005,2,95 m²,Non,Non,Non,,,,,Oui,1,,,Gaz,Double vitrage,,,,Oui,,Oui,,95 m²,,,,,196 kWh/m²/an,20250521-0003605100-RES-1,21/05/2025,pas d'application,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,1,,8 m²,20 m²,,,,,,Non,,,,,,,,,,Non,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbs74590,RBS74590,Maison à vendre,259000,Marialoopplaats 20,8760 Meulebeke,À rénover,,1945,4,211 m²,Non,Oui,Non,,,,,Oui,1,,,Gaz,Simple vitrage,,11 m,,Oui,,,668 m²,363 m²,11 m,,,,280 kWh/m²/an,20200224-0002252639-RES-2,24/02/2030,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,,,,,,,52 m²,,,1,6 m²,,,,,Non,,,Non,,,,,,,,,,Non,Est,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8760/meulebeke/rbr55596,RBR55596,Appartement à vendre,295000,Achtste Linielaan 11 0201,8760 Meulebeke,,,2017,2,129 m²,,,,,,,,,,,,Gaz,,,11 m,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,Non,Non,Non,,Oui,Non,Oui,2,85,0,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbr56606,RBR56606,Maison à vendre,459000,,8760 Meulebeke,,Non,2024,3,189 m²,Non,Oui,Non,Non,Non,Non,Non,,,2,,Non specifié,,3,9 m,2,Oui,,,671 m²,,19 m,,,Non,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,1,,,,38 m,,,Equipée,,Non,3,,Non,,,,,Non,Non,Non,,Non,Non,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8760/meulebeke/rbt47804,RBT47804,Appartement à vendre,275000,Achtste Linielaan 11 0001,8760 Meulebeke,Excellent,,2017,3,104 m²,,,,,,,,Oui,1,1,,Gaz,Double vitrage,3,,,,,Oui,,,,Oui,,Non,183 kWh/m²/an,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,1,,,,,A l’acte,,Super équipée,1,Oui,1,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
