ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Terrasse_aménagée,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Balcon,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Etat_du_bien,Disponibilité_du_bien,Meublé,Équipement_de_la_cuisine,Jardin,Attestation__Installation_électrique,Attestation__Asbuilt,Possibilités_pour_profession_libérale,Surface_totale,Station_de_charge_électrique,Type_de_cuisine,Adoucisseur_deau,Maison_basse_énergie,Panneaux_solaires,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Domotique,Parlophone,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Attestation__Citernes_à_mazout,Nombre_de_place_de_parking_intérieur,Porte_de_garage_motorisée,Orientation_du_jardin,Date_de_validité_PEB,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Citerne_à_eau_de_pluie,Permis_de_bâtir_obtenu,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Surface_salle_à_manger,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Surface_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Conso_annuelle_totale_dénergie_primaire,Emission_de_CO2,Espace_ouvert_sensible_à_leau__WORG,Nombre_de_douches,Surface_constructible,Étage_de_lappartement,Niveau_E,Surface_du_garage,Surface_du_bureau,Surface_du_grenier,Panneaux_solaires_thermiques,Appartement_de_service,Attestation__Installation_électrique__Validité,Surface_de_la_véranda,Niveau_K,Surface_des_caves,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel
https://immovlan.be/fr/detail/maison/a-vendre/8954/westouter/rbt32080,RBT32080,Maison à vendre,535000,Poperingestraat 54,8954 Westouter,Non,1899,4,296 m²,Non,Non,Non,Non,Non,Non,Non,Oui,2,2,2,Mazout,Double vitrage,Non,Non,Non,Oui,Sud-ouest,4,23 m,3,4,Oui,468 m²,14 m,36 m,Non,Non,337 kWh/m²/an,20240709-0003307494-RES-1,Non,Zone agricole d'intérêt paysager,Risque moyen,Information non communiquée,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8954/westouter/rbt39427,RBT39427,Maison à vendre,140000,Sulferbergstraat 10,8954 Westouter,Non,1930,5,180 m²,Non,Oui,Non,Non,Non,Non,Non,,,1,1,Gaz,,,,Non,,Sud-est,2,,,,,168 m²,,,,,526 kWh/m²/an,20240124-0003119824-RES-1,Non,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",Pas de risque d’inondation,Information non communiquée,,À rénover,A l’acte,Non,Super équipée,Oui,"oui, attestation non conforme",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8957/messines/rwc37926,RWC37926,Maison à vendre,199000,Oud Kerkhofstraat 9,8957 Messines,Non,,4,190 m²,Non,Non,Non,,,Oui,Oui,Oui,,1,,Gaz,,Non,Non,Non,Non,,2,,,,Oui,203 m²,,,,Non,188 kWh/m²/an,,,,Pas de risque d’inondation,Information non communiquée,Non,À rénover,,,Non équipée,Oui,"oui, attestation conforme",,Oui,203 m²,Non,Pas de cuisine,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison-de-maitre/a-vendre/8957/messines/rwc38418,RWC38418,Maison de maître à vendre,159000,Korte Mooiestraat 1,8957 Messines,Non,1919,5,240 m²,Non,Oui,Oui,,,Oui,Oui,Oui,,1,,Gaz,Double vitrage,Non,Non,Non,Non,,3,,,1,Oui,280 m²,,,,Non,771 kWh/m²/an,,,,Pas de risque d’inondation,Information non communiquée,Non,À rénover,A l’acte,,Super équipée,Oui,"oui, attestation non conforme",,Oui,,Non,Indépendante,Non,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,pas d'application,1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8957/messines/rbt63458,RBT63458,Maison à vendre,159000,Armentiersstraat 24,8957 Messines,Non,1919,2,139 m²,Non,Oui,Non,Non,Non,Oui,Non,Oui,1,1,,Mazout,Double vitrage,,,,,,,,,,Oui,335 m²,,,,Non,882 kWh/m²/an,3587562,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,À rénover,,,,Oui,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,Oui,Oui,,,,Nord-ouest,28/04/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8957/messines/rbt45886,RBT45886,Maison à vendre,149000,Armentiersstraat 21,8957 Messines,Non,1930,4,166 m²,Non,Non,Non,Non,Non,Non,Non,,,1,1,Gaz,,,,Non,,Sud-est,3,,,,Oui,250 m²,,,,,435 kWh/m²/an,20250418-0003581122-RES-1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,À rénover,,Non,Super équipée,Oui,"oui, attestation non conforme",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8957/messines/rbt10332,RBT10332,Maison à vendre,145000,Armentierssteenweg 12,8957 Messines,,,3,185 m²,Non,Oui,Non,,,,,,,1,,Non specifié,Double vitrage,,,Non,Non,,,6 m,,,,355 m²,,6 m,,,393 kWh/m²/an,20210527-0002417923-RES-1,,,Pas de risque d’inondation,Information non communiquée,Non,Normal,,,,Oui,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8957/messines/rwc38790,RWC38790,Maison à vendre,130000,Markt 39,8957 Messines,Non,,3,125 m²,Non,Non,Non,,,Oui,Non,,,1,,Gaz,Double vitrage,Non,Non,Non,Non,,2,,,,Oui,219 m²,,,,Non,662 kWh/m²/an,,,,Pas de risque d’inondation,Information non communiquée,Non,Normal,A l’acte,,Semi-équipée,Oui,"oui, attestation conforme",,Oui,,Non,Indépendante,Non,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,pas d'application,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8957/messines/rbt25126,RBT25126,Maison à vendre,175000,Gentstraat 18,8957 Messines,Non,1920,3,136 m²,,Oui,Non,Non,Non,Non,Non,,,1,1,Gaz,Double vitrage,Non,Non,Non,Non,,2,6 m,,,,293 m²,55 m,6 m,Non,,487 kWh/m²/an,20241120-0003449910-RES-1,Non,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",Pas de risque d’inondation,Information non communiquée,Non,,A l’acte,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8957/messines/vbc60126,VBC60126,Maison à vendre,,,8957 Messines,Oui,,5,607 m²,Oui,,,Oui,,,,Oui,10,3,3,,Double vitrage,,Oui,Non,Non,,4,,,5,Oui,15000 m²,,,,Non,251 kWh/m²/an,,Non,,Information non communiquée,Information non communiquée,,Excellent,A l’acte,Non,,Oui,"oui, attestation conforme",,,,,,Oui,,,,,,,Oui,,Oui,,,Non,Oui,Oui,,,,Sud,08/04/2035,Non,,,,,Oui,Non,24 m²,26 m²,40 m²,40 m²,18 m²,61 m²,55 m²,50 m²,14 m²,14000 m²,20 m²,Sud,251 kWh/an,37201,Non,,,,,,,,,,,,,,,,
