ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Étage_de_lappartement,Terrasse_aménagée,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_du_garage,Jardin,Surface_du_jardin,Surface_totale_du_terrain,Meublé,Panneaux_solaires,Chauffage_au_sol,Air_conditionné,Parlophone,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Surface_constructible,Largeur_du_terrain_à_rue,Piscine_extérieure,Bien_actuellement_loué,Disponibilité_du_bien,Surface_du_séjour,Salle_à_manger,Dressing,Buanderie,Local_vélo,Équipement_de_la_cuisine,Nombre_de_toilettes,Nombre_de_façades,Surface_de_la_terrasse,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Orientation_du_jardin,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Profondeur_du_terrain,Pompe_à_chaleur,Surface_de_la_véranda,Surface_des_caves,Surface_du_grenier,Nombre_de_place_de_parking_intérieur,Raccordé_aux_égouts,Attestation__Asbuilt,Conso_annuelle_totale_dénergie_primaire,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,HammamSaunaJacuzzi,Alarme_antieffraction,Balcon,Appartement_de_service,Surface_du_bureau,Surface_de_la_cuisine,Nombre_de_douches,Emission_de_CO2,Panneaux_solaires_thermiques,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Surface_chambre_à_coucher_4,Type_de_cuisine,Surface_salle_à_manger,Niveau_E,Niveau_K,Citerne_à_eau_de_pluie,Feu_ouvert,Orientation_de_la_terrasse,Porte_de_garage_motorisée,Clef_électronique,Attestation__Installation_électrique__Validité,Adoucisseur_deau,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Maison_basse_énergie,Espace_ouvert_sensible_à_leau__WORG,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Niveau_S,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Surface_du_dressing,Compteur_Bihoraire
https://immovlan.be/fr/detail/appartement/a-vendre/9120/melsele/rbt63850,RBT63850,Appartement à vendre,199000,Ijzerstraat 65 2,9120 Melsele,À rénover,1978,2,70 m²,Non,Non,Non,Oui,1,1,5 m²,Gaz,Double vitrage,Non,Non,2,Oui,148 kWh/m²/an,20250401-0003568109-RES-1,01/04/2035,"non, pas d'attestation",Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9120/melsele/rbt47922,RBT47922,Maison à vendre,335000,Keizer Karelstraat 59,9120 Melsele,Normal,1983,4,146 m²,Non,Non,Non,Oui,1,1,6 m²,Gaz,Triple vitrage,Non,Non,,,223 kWh/m²/an,20250425-0003586437-RES-1,25/04/2035,"non, pas d'attestation",Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,20 m²,Oui,100 m²,246 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9120/melsele/rbt47117,RBT47117,Maison à vendre,899000,Laurierstraat 34,9120 Melsele,Remis à neuf,1991,5,340 m²,Non,Non,Non,Oui,1,2,7 m²,Gaz,,Non,Non,,Oui,62 kWh/m²/an,20240916-0003374186-RES-2,16/09/2034,"non, pas d'attestation",Oui,,,,,Pas de risque d’inondation,Information non communiquée,Non,30 m²,Oui,605 m²,932 m²,Non,Oui,Oui,Oui,Oui,Nord-est,11 m,1,2,252 m²,23 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9120/melsele/rbt44400,RBT44400,Maison à vendre,335000,Gaverlandstraat 36,9120 Melsele,Normal,,3,122 m²,Non,Oui,Non,,,1,,,,Non,,,Oui,276 kWh/m²/an,,,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,45 m²,310 m²,Non,,,,,,,,,60 m²,,,Non,A l’acte,29 m²,Non,Non,Non,Non,Super équipée,1,2,25 m²,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9120/melsele/rbt27122,RBT27122,Maison à vendre,545000,,9120 Melsele,Excellent,2000,2,194 m²,Non,Non,Non,Oui,1,1,,Gaz,Double vitrage,,,,Oui,131 kWh/m²/an,20250314-0003551706-RES-1,,"non, pas d'attestation",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,,471 m²,,Oui,,,,,,,,,,Oui,Non,,,Non,Oui,Oui,Non,,2,3,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Sud-ouest,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9120/melsele/rbs85930,RBS85930,Maison à vendre,398000,Alfons Van Puymbroecklaan 115,9120 Melsele,,1953,3,163 m²,,,,Oui,1,1,,,,Non,,,Oui,455 kWh/m²/an,,,"oui, attestation non conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,,980 m²,Non,,,,,Sud-est,,,3,,,,,,48 m²,,,,,Super équipée,1,3,45 m²,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9120/melsele/rbs69977,RBS69977,Maison à vendre,605000,Lavendelstraat 64,9120 Melsele,Normal,1993,5,187 m²,,Oui,,Oui,1,1,,,,Non,,,Oui,546 kWh/m²/an,,,"oui, attestation conforme",Oui,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,1049 m²,1236 m²,Non,,,,,,,,,148 m²,,,,A l’acte,48 m²,,,,,Super équipée,2,4,25 m²,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/penthouse/a-vendre/9120/beveren/rbt69970,RBT69970,Penthouse à vendre,325000,Ter Gaeverlaan 5 V1,9120 Beveren,Normal,1961,3,93 m²,Non,Non,Non,,,2,,Non specifié,,Non,,1,Oui,188 kWh/m²/an,20211022-0002482916,,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,Oui,,,,Ouest,7 m,2,,93 m²,,,Non,A l’acte,35 m²,Non,Non,Non,Non,Super équipée,2,3,6 m²,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,25 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9120/beveren/rbt69969,RBT69969,Appartement à vendre,325000,Ter Gaeverlaan 5 V1,9120 Beveren,Normal,1961,3,93 m²,,,,,,2,,Non specifié,,Non,,1,Oui,188 kWh/m²/an,20211022-0002482916,,"oui, attestation conforme",Oui,,,,,Pas de risque d’inondation,Information non communiquée,,,Non,,,Non,Oui,,,,Ouest,7 m,2,,93 m²,,,,A l’acte,35 m²,,,,,Super équipée,2,3,6 m²,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,25 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/9120/beveren/rbt69968,RBT69968,Duplex à vendre,325000,Ter Gaeverlaan 5 V1,9120 Beveren,Normal,1961,3,93 m²,Non,Non,Non,,,2,,Non specifié,,Non,,1,Oui,188 kWh/m²/an,20211022-0002482916,,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,Oui,,,,Ouest,7 m,2,,93 m²,,,Non,A l’acte,35 m²,Non,Non,Non,Non,,2,3,6 m²,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,25 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
