ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Pompe_à_chaleur,Type_de_vitrage,Accessible_aux_moins_valides,Nombre_de_façades,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Permis_de_bâtir_obtenu,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Année_de_construction,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_places_de_parking_extérieur,Piscine_extérieure,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Raccordé_au_gaz_de_ville,Conso_spécifique_dénergie_primaire,Parlophone,Ascenseur,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Nombre_de_place_de_parking_intérieur,Air_conditionné,Date_de_validité_PEB,Référence_PEB,Surface_du_séjour,Surface_du_garage,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Alarme_antieffraction,Largeur_de_la_façade,Orientation_du_jardin,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Permis_durbanisation_accordé,Surface_constructible,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Porte_de_garage_motorisée,Type_de_cuisine,Chauffage_au_sol,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,HammamSaunaJacuzzi,Le_bien_fait_lobjet_dun_droit_de_préemption,Espace_ouvert_sensible_à_leau__WORG,Surface_des_caves,Surface_de_la_véranda,Orientation_de_la_façade_du_bien,Balcon,Nombre_de_douches,Clef_électronique,Panneaux_solaires_thermiques,Domotique,Feu_ouvert,Attestation__Asbuilt,Surface_totale,Maison_basse_énergie,Compteur_Bihoraire,Niveau_E,Possibilités_pour_profession_libérale,Station_de_charge_électrique,Attestation__Citernes_à_mazout,Surface_du_grenier,Surface_du_bureau,Orientation_de_la_terrasse,Surface_chambre_à_coucher_4,Surface_du_dressing,Surface_salle_à_manger,Emission_de_CO2,Porte_daccès_sécurisée,Adaptations_pour_les_seniors,Conso_annuelle_totale_dénergie_primaire,Appartement_de_service,Surface_chambre_à_coucher_5,Attestation__Installation_électrique__Validité,Adoucisseur_deau,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Niveau_K
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt66893,RBT66893,Maison à vendre,402000,Petrus Mijsstraat 68,9290 Berlare,Nouveau,A l’acte,3,14 m²,11 m²,12 m²,156 m²,Non,Oui,1,Super équipée,1,2,Oui,Air pulsé,Oui,Double vitrage,Non,3,Oui,71 m²,Oui,229 m²,Oui,Oui,Oui,Oui,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt73045,RBT73045,Maison à vendre,549000,,9290 Berlare,Nouveau,,5,,,,208 m²,,,,,1,2,,,Oui,Double vitrage,,3,Oui,,Oui,518 m²,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,2026,Non,Oui,Non,Non,Non,Non,Non,1,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt73044,RBT73044,Maison à vendre,549000,,9290 Berlare,Nouveau,,5,,,,214 m²,,,,,1,2,,,Oui,Double vitrage,,3,Oui,,Oui,510 m²,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,2026,Non,Oui,Non,Non,Non,Non,Non,1,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt73043,RBT73043,Maison à vendre,549000,,9290 Berlare,Nouveau,,5,,,,208 m²,,,,,1,2,,,Oui,Double vitrage,,3,Oui,,Oui,506 m²,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,2026,Non,Oui,Non,Non,Non,Non,Non,1,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt73042,RBT73042,Maison à vendre,549000,,9290 Berlare,Nouveau,,5,,,,214 m²,,,,,1,2,,,Oui,Double vitrage,,3,Oui,,Oui,504 m²,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,2026,Non,Oui,Non,Non,Non,Non,Non,1,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt73041,RBT73041,Maison à vendre,549000,,9290 Berlare,Nouveau,,5,,,,208 m²,,,,,1,2,,,Oui,Double vitrage,,3,Oui,,Oui,504 m²,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,2026,Non,Oui,Non,Non,Non,Non,Non,1,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt73040,RBT73040,Maison à vendre,549000,,9290 Berlare,Nouveau,,5,,,,214 m²,,,,,1,2,,,Oui,Double vitrage,,3,Oui,,Oui,550 m²,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,2026,Non,Oui,Non,Non,Non,Non,Non,1,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt73025,RBT73025,Maison à vendre,729000,Zandbergstraat 19,9290 Berlare,Excellent,,4,,,,,,Oui,1,,1,2,,,,,,4,Oui,,Oui,692 m²,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,2021,Non,Oui,Non,Non,Non,Oui,Non,3,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Oui,63 kWh/m²/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9290/berlare/rbt68510,RBT68510,Appartement à vendre,259000,,9290 Berlare,Nouveau,,2,,,,81 m²,,Oui,,,1,1,,,Oui,Double vitrage,,2,Oui,,Oui,,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,Oui,,,,,,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Oui,2,2,3 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9290/berlare/rbt64206,RBT64206,Villa à vendre,,Oude Dreef 17,9290 Berlare,Excellent,A l’acte,4,,,,400 m²,,Oui,1,Super équipée,2,2,Oui,Gaz,,Double vitrage,Non,4,Oui,,Oui,2023 m²,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,,1977,Oui,Oui,,,,,,,Oui,"oui, attestation non conforme",,Oui,249 kWh/m²/an,Oui,,,2,,3,Oui,26/12/2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt35254,RBT35254,Maison à vendre,629000,,9290 Berlare,,,3,,,,311 m²,,Oui,1,,,2,,Mazout,,Double vitrage,,4,Oui,,Oui,1716 m²,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,1974,Non,Non,Non,Non,Non,Non,Non,,Non,"non, pas d'attestation","Zone d'habitat (résidentiel, urbain ou rural)",,619 kWh/m²/an,,,,,,,,,20241018-0003417617-RES-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9290/berlare/rbo24640,RBO24640,Appartement à vendre,309000,,9290 Berlare,Nouveau,,2,,,,94 m²,,Oui,,,1,1,,,Oui,Double vitrage,,2,Oui,,Oui,,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,,Non,Non,Non,Non,Non,Non,Non,,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Oui,1,2,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9290/berlare/rbo24639,RBO24639,Appartement à vendre,309000,,9290 Berlare,Nouveau,,2,,,,91 m²,,Oui,,,1,1,,,Oui,Double vitrage,,2,Oui,,Oui,,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,,Non,Non,Non,Non,Non,Non,Non,,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Oui,1,2,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9290/berlare/rbo24646,RBO24646,Appartement à vendre,309000,,9290 Berlare,Nouveau,,2,,,,106 m²,,Oui,,,1,1,,,Oui,Double vitrage,,2,Oui,,Oui,,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,,Non,Non,Non,Non,Non,Non,Non,,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Oui,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9290/berlare/rbo24643,RBO24643,Appartement à vendre,315000,,9290 Berlare,Nouveau,,2,,,,117 m²,,Oui,,,1,1,,,Oui,Double vitrage,,2,Oui,,Oui,,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,,Non,Non,Non,Non,Non,Non,Non,,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Oui,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9290/berlare/rbo24635,RBO24635,Appartement à vendre,319000,,9290 Berlare,Nouveau,,3,,,,112 m²,,Oui,,,1,1,,,Oui,Double vitrage,,2,Oui,,Oui,,,Oui,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,,Non,Oui,Non,Non,Non,Non,Non,,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Oui,2,2,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9290/berlare/rbt65251,RBT65251,Maison à vendre,449000,Alfons De Grauwelaan 4C,9290 Berlare,Excellent,,3,15 m²,16 m²,20 m²,170 m²,,Oui,1,Equipée,1,2,Oui,Gaz,,Triple vitrage,,2,Oui,,Oui,207 m²,,Oui,,Oui,,,,,Information non communiquée,Information non communiquée,Non,2018,Non,Non,Non,Non,Non,Non,Non,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Oui,69 kWh/m²/an,,,,,23 m²,,,14/01/2029,42003-G-DBA_2017022396/EP/14455/A001/D01/SD001,50 m²,18 m²,16 m²,12 m²,Oui,8 m,Sud,26 m,8 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
