ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Nombre_de_façades,Largeur_de_la_façade,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Garage,Nombre_de_douches,Surface_du_jardin,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Piscine_extérieure,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Surface_de_la_cuisine,Type_de_vitrage,Parlophone,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Équipement_de_la_cuisine,Surface_de_lades_salles_de_bain,Air_conditionné,Orientation_de_la_façade_du_bien,Raccordé_aux_égouts,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Possibilités_pour_profession_libérale,Nombre_de_place_de_parking_intérieur,Porte_de_garage_motorisée,Station_de_charge_électrique,Adoucisseur_deau,Maison_basse_énergie,Panneaux_solaires,Pompe_à_chaleur,Appartement_de_service,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Nombre_de_Garages,Alarme_antieffraction,Largeur_du_terrain_à_rue,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Orientation_du_jardin,Nombre_de_places_de_parking_extérieur,Attestation__Installation_électrique__Validité,Type_de_cuisine,Chauffage_au_sol,Compteur_Bihoraire,Niveau_E,Porte_daccès_sécurisée,Surface_des_caves,Surface_de_la_véranda,Surface_du_garage,Surface_du_bureau,HammamSaunaJacuzzi,Espace_ouvert_sensible_à_leau__WORG,Conso_annuelle_totale_dénergie_primaire,Emission_de_CO2,Panneaux_solaires_thermiques,Surface_du_grenier,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Surface_du_dressing,Surface_salle_à_manger,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel
https://immovlan.be/fr/detail/maison/a-vendre/2170/merksem/rbt72732,RBT72732,Maison à vendre,424000,Du Chastellei 111,2170 Merksem,Normal,Non,A l’acte,3,160 m²,Non,Non,Non,Non,Non,Non,Non,Non,1,1,Gaz,Non,2,5 m,Oui,Oui,88 m²,57 m²,17 m,Oui,Oui,197 kWh/m²/an,2665170,31/08/2032,pas d'application,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2170/merksem/rbt72730,RBT72730,Maison à vendre,299500,Lindeboomplein 20,2170 Merksem,À rénover,Non,A l’acte,3,181 m²,Non,Non,Non,Non,Non,Non,Non,Non,1,,Gaz,Non,2,6 m,Oui,,177 m²,88 m²,31 m,Oui,Oui,531 kWh/m²/an,3601352,14/05/2035,"oui, attestation non conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1950,Oui,1,67 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2170/merksem/rbt72393,RBT72393,Appartement à vendre,290000,Lambrechtshoekenlaan 309,2170 Merksem,Remis à neuf,Non,,2,95 m²,,Non,Non,Non,Non,Non,Non,Non,2,,,,2,,,Oui,,,,Oui,Oui,,,,"oui, attestation conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,2,2,8 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/2170/merksem/rbt71857,RBT71857,Immeuble mixte à vendre,600000,Azalealei 33,2170 Merksem,,,A l’acte,5,210 m²,,,,,,,,,3,3,Gaz,Non,2,,Oui,Oui,184 m²,,,Oui,Oui,127 kWh/m²/an,,,"oui, attestation conforme",Oui,,Information non communiquée,Information non communiquée,,,3,100 m²,,,3 m²,,16 m²,7 m²,16 m²,7 m²,16 m²,24 m²,8 m²,Double vitrage,Oui,Non,Sud,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2170/merksem/rbt71036,RBT71036,Maison à vendre,379000,Van Praetlei 64,2170 Merksem,Normal,Non,A l’acte,3,172 m²,Non,Non,Non,Non,Non,Non,Non,Non,1,2,Gaz,Non,2,5 m,Oui,,100 m²,74 m²,20 m,Oui,Oui,334 kWh/m²/an,3615452,02/06/2035,"oui, attestation non conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Risque moyen,Information non communiquée,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2170/merksem/rbt70750,RBT70750,Appartement à vendre,210000,Victor Govaerslaan 37,2170 Merksem,Excellent,,A l’acte,1,58 m²,,,,,,,,,1,1,Air pulsé,Oui,2,,,Oui,,,,,Oui,162 kWh/m²/an,,,"oui, attestation conforme",Non,,Information non communiquée,Information non communiquée,1974,,1,,8,8,30 m²,,14 m²,,,,,21 m²,6 m²,Double vitrage,Oui,Oui,Sud-ouest,Oui,Non,Super équipée,5 m²,Oui,Nord-est,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2170/merksem/rwc39904,RWC39904,Maison à vendre,445000,Alkstraat 38,2170 Merksem,Excellent,Non,,4,179 m²,,,,,,,Oui,,1,,Gaz,,,,Oui,Oui,,,,Oui,Oui,110 kWh/m²/an,,04/06/2035,"oui, attestation conforme",,,Information non communiquée,Information non communiquée,1988,Oui,,,,,,,,,,,,,,Triple vitrage,,,,,,Equipée,,Oui,,Oui,,,,,Non,1,Oui,Non,Non,Non,Oui,Non,Non,Non,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2170/merksem/rbt68802,RBT68802,Appartement à vendre,185000,Kroonplein 30,2170 Merksem,Normal,Non,A l’acte,2,67 m²,Non,Non,Non,Non,Non,Non,Non,Non,1,1,Gaz,Non,,,,Oui,,,,,,217 kWh/m²/an,,12/06/2035,"oui, attestation conforme",,,Information non communiquée,Information non communiquée,1969,,,,2,2,5 m²,,,,,,,25 m²,,,,,,,,,,,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2170/merksem/rbt68233,RBT68233,Maison à vendre,475000,Nieuwdreef 4,2170 Merksem,Normal,Non,A convenir,6,320 m²,Non,Non,Non,Non,Non,Non,Non,Non,2,3,Mazout,Non,2,6 m,Oui,Oui,130 m²,80 m²,23 m,Oui,Oui,345 kWh/m²/an,20250131-0003518757-res-1,31/01/2035,"oui, attestation non conforme",,,Pas de risque d’inondation,Information non communiquée,1963,,,50 m²,,,12 m²,,,,,,,50 m²,,,,,,,,Super équipée,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2170/merksem/rbt68232,RBT68232,Maison à vendre,475000,Nieuwdreef 4,2170 Merksem,Normal,Non,A convenir,6,320 m²,Non,Non,Non,Non,Non,Non,Non,Non,2,3,Mazout,Non,2,6 m,Oui,Oui,130 m²,80 m²,23 m,Oui,Oui,345 kWh/m²/an,20250131-0003518757-res-1,31/01/2035,"oui, attestation non conforme",,,Pas de risque d’inondation,Information non communiquée,1963,,,50 m²,,,12 m²,,,,,,,50 m²,,,,,,,,Super équipée,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
