ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Type_de_chauffage,Pompe_à_chaleur,Ascenseur,Nombre_de_places_de_parking_extérieur,Jardin,Surface_totale_du_terrain,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Disponibilité_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_du_séjour,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_vitrage,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Surface_du_jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Panneaux_solaires,Air_conditionné,Alarme_antieffraction,Balcon,Référence_PEB,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Étage_de_lappartement,Surface_constructible,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Surface_chambre_à_coucher_4,Feu_ouvert,Citerne_à_eau_de_pluie,Conso_annuelle_totale_dénergie_primaire,Espace_ouvert_sensible_à_leau__WORG,Surface_totale,Porte_de_garage_motorisée,Station_de_charge_électrique,Chauffage_au_sol,Domotique,Parlophone,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,Attestation__Citernes_à_mazout,Niveau_E,Surface_de_lades_salles_de_bain,Maison_basse_énergie,Compteur_Bihoraire,Profondeur_du_terrain,Attestation__Asbuilt,Surface_du_bureau,Possibilités_pour_profession_libérale,Adoucisseur_deau,Panneaux_solaires_thermiques,Surface_du_grenier,Niveau_K,Surface_de_la_véranda,Surface_du_garage,Surface_des_caves,Porte_daccès_sécurisée,Surface_salle_à_manger,Clef_électronique,Attestation__Installation_électrique__Validité,Attestation__Citernes_à_mazout__Validité,Surface_chambre_à_coucher_5,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Surface_du_dressing,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel
https://immovlan.be/fr/detail/maison/a-vendre/9700/volkegem/rbt72525,RBT72525,Maison à vendre,525000,Rekkemstraat 68,9700 Volkegem,Nouveau,Non,4,250 m²,Non,Non,Oui,Non,Non,Non,Non,Non,Electrique,Oui,Non,2,Oui,570 m²,"oui, attestation conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9700/audenarde/rbt72980,RBT72980,Maison à vendre,367000,Dorre Wei 23,9700 Audenarde,Normal,Oui,3,141 m²,Non,,,,,,,,Gaz,,Non,5,Oui,636 m²,,Non,,Pas de risque d’inondation,Information non communiquée,1995,A l’acte,16 m²,13 m²,12 m²,30 m²,Oui,1,Super équipée,7 m²,1,1,1,Double vitrage,Non,Nord,4,8 m,2,315 m²,Sud,Oui,31 m²,Sud,8 m,Oui,Oui,Oui,Non,267 kWh/m²/an,14/06/2035,6145,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9700/audenarde/rbt72859,RBT72859,Maison à vendre,319000,Gelukstede 25,9700 Audenarde,,Non,3,208 m²,,Non,Oui,Non,Non,Non,Non,Non,Non specifié,,Non,,Oui,407 m²,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1965,,,,,,Oui,1,,,,,2,Double vitrage,Non,,2,,,,,Oui,,,,,,,Non,263 kWh/m²/an,,,,,,,,,Oui,Non,Non,Non,2903877-RES-1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9700/audenarde/rbt72526,RBT72526,Appartement à vendre,325000,Adriaan Brouwerstraat 18 401,9700 Audenarde,Normal,Non,1,66 m²,Non,Non,Non,Non,Non,Non,Non,Non,Gaz,,Oui,,,,"oui, attestation conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,A l’acte,,,,,Oui,,,,,,1,,,,,,,,,Oui,,,,,,,,88 kWh/m²/an,,,,,,,,,,,,,20250617-0003626707-RES-1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9700/audenarde/rbt72524,RBT72524,Appartement à vendre,295000,Abdijstraat 65 0302,9700 Audenarde,Normal,Non,2,98 m²,Non,Non,Non,Non,Non,Non,Non,Non,Gaz,,Oui,1,,,"oui, attestation conforme",,,Information non communiquée,Information non communiquée,2014,Immédiatement,,,,,,,,,1,,1,,,Sud-ouest,3,,,,,Oui,,,,,,,,63 kWh/m²/an,,,,,,,,,,,,,45035-G-2013_473/EP13581/A888/D01/SD007,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9700/audenarde/rbt72523,RBT72523,Maison à vendre,275000,Dijkstraat 6,9700 Audenarde,,Non,4,260 m²,Non,Non,Oui,Non,Non,Non,Non,Non,Mazout,,Non,,,150 m²,pas d'application,Non,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",Pas de risque d’inondation,Information non communiquée,,,,,,,Oui,1,,,1,,2,,,Sud-ouest,,,,,,,,,,,,,,471 kWh/m²/an,,,,,,,,,,,,,2021025-00322700-RES-1,,,138 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9700/audenarde/rbt72522,RBT72522,Maison à vendre,359000,Kortrijkstraat 139,9700 Audenarde,Normal,Non,3,195 m²,Non,Non,Oui,Non,Non,Non,Non,Non,Electrique,,Non,,Oui,507 m²,"oui, attestation conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1988,A l’acte,,,,,Oui,1,,,1,,2,,,Ouest,,,,,,Oui,,,,,,,,279 kWh/m²/an,,,,,,,,,Oui,,,,20250127-0003512754-RES-1,,,128 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9700/audenarde/rbt72521,RBT72521,Maison à vendre,349000,kortrijkstraat 27 B,9700 Audenarde,Normal,Non,3,160 m²,Non,Non,Non,Non,Non,Non,Non,Non,Gaz,,Non,,,670 m²,"oui, attestation conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2004,A l’acte,,,,,Oui,1,,,1,,2,,,,,,,,,,,,,,,,,169 kWh/m²/an,,,,,,,,,Oui,,,,20250117-0003502072-RES-1,,,90 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9700/audenarde/rbt72147,RBT72147,Maison à vendre,415000,Kortrijkstraat 157,9700 Audenarde,,Non,3,165 m²,,Non,Non,Non,Non,Non,Non,Non,Non specifié,,Non,,Oui,406 m²,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2024,,,,,,,,,,1,,2,Double vitrage,Non,,3,,,,,,,,,,,,Non,,,,,,,,,,Oui,Non,Non,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9700/audenarde/rbt72123,RBT72123,Maison à vendre,155000,Nederenamestraat 301,9700 Audenarde,À rénover,,3,150 m²,Non,,Oui,,,,,,Non specifié,,Non,,Oui,652 m²,"oui, attestation conforme",,,Pas de risque d’inondation,Information non communiquée,1958,A l’acte,21 m²,12 m²,11 m²,,Oui,1,,,1,,1,Double vitrage,,,3,,1,,,,,,,Oui,,,Non,756 kWh/m²/an,,13059,,,,,,,,,,,,,,,2,Indépendante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
