ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_façades,Largeur_de_la_façade,Surface_totale_du_terrain,Surface_constructible,Piscine_extérieure,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Disponibilité_du_bien,Nombre_de_salles_de_bain,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Balcon,Conso_spécifique_dénergie_primaire,Référence_PEB,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Etat_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Meublé,Équipement_de_la_cuisine,Type_de_cuisine,Surface_du_jardin,Largeur_du_terrain_à_rue,Emission_de_CO2,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Type_de_vitrage,Raccordé_aux_égouts,Raccordé_à_leau_courante,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Surface_chambre_à_coucher_5,Surface_du_séjour,Surface_salle_à_manger,Nombre_de_douches,Parlophone,Orientation_de_la_façade_du_bien,Orientation_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Étage_de_lappartement,Pompe_à_chaleur,Appartement_de_service,Surface_de_la_cuisine,Profondeur_du_terrain,Attestation__Installation_électrique__Validité,Surface_de_lades_salles_de_bain,Station_de_charge_électrique,Chauffage_au_sol,Porte_daccès_sécurisée,Surface_totale,Surface_du_bureau,Surface_des_caves,Surface_du_grenier,Surface_du_garage,Compteur_Bihoraire,Attestation__Asbuilt,Maison_basse_énergie,Niveau_E,Compteur_électrique_individuel,Possibilités_pour_profession_libérale,Panneaux_solaires_thermiques,Niveau_K,Niveau_S,Attestation__Citernes_à_mazout__Validité,Domotique,Attestation__Citernes_à_mazout
https://immovlan.be/fr/detail/maison/a-vendre/9820/merelbeke/rbt71547,RBT71547,Maison à vendre,456927,Hundelgemsesteenweg 689,9820 Merelbeke,Non,3,161 m²,Non,Non,Non,Non,Non,Non,Non,Oui,3,8 m,491 m²,81 m²,Non,"non, pas d'attestation","Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9820/merelbeke/rbt71545,RBT71545,Maison à vendre,479735,Hundelgemsesteenweg 689,9820 Merelbeke,Non,3,165 m²,Non,Non,Non,Non,Non,Non,Non,Oui,3,8 m,761 m²,81 m²,Non,"non, pas d'attestation","Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9820/merelbeke/rbt68812,RBT68812,Maison à vendre,548000,Pelgrim 18,9820 Merelbeke,Non,3,218 m²,Non,Oui,Non,Non,Non,Non,Non,,3,11 m,313 m²,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2025,A l’acte,1,2,Oui,Gaz,Non,Non,Non,Non,4,3,Oui,Oui,Non,69 kWh/m²/an,44052-G-OMV_2022014765/EP16934/A001/D01/SD001,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9820/merelbeke/vbc89009,VBC89009,Maison à vendre,350000,Koning Leopold III-laan 30,9820 Merelbeke,,4,181 m²,,Oui,,,,,,,2,6 m,180 m²,,Non,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,1935,A l’acte,1,1,,Gaz,,,Non,Non,2,,Oui,,,226 kWh/m²/an,,,,Normal,16 m²,16 m²,12 m²,8 m²,Non,Equipée,Américaine,54 m²,6 m,8814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9820/merelbeke/rbt68459,RBT68459,Maison à vendre,425000,Gaversesteenweg 771,9820 Merelbeke,,4,245 m²,,Oui,,,,,,Oui,3,,5500 m²,,,,,Information non communiquée,Information non communiquée,,,1,2,,Mazout,,,,Non,,3,Oui,Oui,,582 kWh/m²/an,,Non,,À rénover,,,,,,,,,,,1,1,Double vitrage,Oui,Oui,Non,Non,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9820/merelbeke/rbt68431,RBT68431,Villa à vendre,1285000,Hoorndriesstraat 6,9820 Merelbeke,Oui,6,413 m²,,Oui,,Oui,,,,Oui,4,43 m,1280 m²,,Oui,"oui, attestation conforme",,Information non communiquée,Information non communiquée,2009,A l’acte,3,3,,Gaz,,,Non,Non,2,6,Oui,Oui,Oui,150 kWh/m²/an,,Non,,Excellent,22 m²,17 m²,36 m²,11 m²,Non,Super équipée,,590 m²,,977,2,,Double vitrage,Oui,Oui,Oui,Non,,,,,,11 m²,32 m²,26 m²,3,Oui,Sud-ouest,Nord-est,60 m²,Nord-est,Oui,Oui,1 kWh/an,26/12/2033,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9820/merelbeke/rbt67724,RBT67724,Maison à vendre,689000,Kerkwegel 11,9820 Merelbeke,Non,5,212 m²,Non,Non,Non,Non,Oui,Non,Non,,,,357 m²,,Non,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2023,,1,,Oui,Gaz,,,,,2,2,Oui,Oui,,,,,,Excellent,,,,,,Equipée,,281 m²,,,,,Triple vitrage,,Oui,,,,,,,,,,,,,,Sud-est,20 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9820/bottelare/rbt11332,RBT11332,Appartement à vendre,269000,Merelbekestationplein 3D,9820 Bottelare,Non,2,85 m²,Non,Non,Non,Non,Non,Non,Non,Oui,2,,,,Non,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1993,,1,,,,,,Oui,,3,,,,,224 kWh/m²/an,,,,À rénover,,,,,,,,,,,1,,,,Oui,,,,,,,,,,,,,,,,,,,,06/03/2035,2,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9820/merelbeke/rbs74568,RBS74568,Appartement à vendre,432000,Lembergsesteenweg 59,9820 Merelbeke,,2,99 m²,,,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,,,1,1,,,,,,,,,Non,Oui,,,,,,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 m²,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9820/merelbeke/rbs74566,RBS74566,Appartement à vendre,366500,Lembergsesteenweg 59,9820 Merelbeke,,1,83 m²,,,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,,,1,1,,,,,,,,,Non,Oui,,,,,,Nouveau,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 m²,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
