ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_habitable,Surface_du_séjour,Caves,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Étage_de_lappartement,Nombre_de_façades,Nombre_détages_de_limmeuble,Terrasse_aménagée,Surface_de_la_terrasse,Conso_spécifique_dénergie_primaire,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Bien_actuellement_loué,Meublé,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Surface_constructible,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Référence_PEB,Date_de_validité_PEB,Disponibilité_du_bien,Type_de_cuisine,Surface_de_la_cuisine,Parlophone,Orientation_de_la_terrasse,Raccordé_aux_égouts,Piscine_extérieure,Emission_de_CO2,Nombre_de_place_de_parking_intérieur,Porte_daccès_sécurisée,Jardin,Nombre_de_places_de_parking_extérieur,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Panneaux_solaires,Surface_salle_à_manger,Surface_totale_du_terrain,Conso_annuelle_totale_dénergie_primaire,Surface_du_jardin,Le_bien_fait_lobjet_dun_droit_de_préemption,Largeur_du_terrain_à_rue,Surface_du_bureau,Attestation__Asbuilt,Affectation_urbanistique_la_plus_récente,Pompe_à_chaleur,Surface_chambre_à_coucher_4,Citerne_à_eau_de_pluie,Surface_chambre_à_coucher_5,Station_de_charge_électrique,Surface_des_caves,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Orientation_du_jardin,Balcon,Air_conditionné,Possibilités_pour_profession_libérale,Adoucisseur_deau,Chauffage_au_sol,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,HammamSaunaJacuzzi,Feu_ouvert,Attestation__Citernes_à_mazout,Maison_basse_énergie,Panneaux_solaires_thermiques,Domotique,Surface_totale,Attestation__Installation_électrique__Validité,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Porte_de_garage_motorisée,Clef_électronique,Appartement_de_service,Surface_du_garage,Surface_du_grenier,Compteur_Bihoraire,Niveau_E,Espace_ouvert_sensible_à_leau__WORG,Niveau_K,Attestation__Citernes_à_mazout__Validité,Adaptations_pour_les_seniors,Niveau_S,Surface_de_la_véranda,Surface_du_dressing,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel
https://immovlan.be/fr/detail/appartement/a-vendre/1190/forest/vbc92126,VBC92126,Appartement à vendre,259500,Rue Marguerite Bervoets 50,1190 Forest,Nouveau,2024,1,14 m²,73 m²,29 m²,Oui,Oui,1,Super équipée,1,1,1,4 m²,Gaz,Double vitrage,Oui,Oui,Oui,2,2,6,Oui,3 m²,75 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1190/forest/vbc92125,VBC92125,Appartement à vendre,332500,Rue Marguerite Bervoets 50,1190 Forest,Nouveau,2024,2,11 m²,93 m²,32 m²,Oui,Oui,1,Super équipée,1,1,2,4 m²,Gaz,Double vitrage,Oui,Oui,Oui,2,2,6,Oui,7 m²,75 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1190/forest/vbc92124,VBC92124,Appartement à vendre,354000,Rue Marguerite Bervoets 50,1190 Forest,Nouveau,2024,3,17 m²,130 m²,33 m²,Oui,Oui,1,Super équipée,2,2,2,5 m²,Gaz,Double vitrage,Oui,Oui,Oui,1,2,6,Oui,4 m²,75 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,13 m²,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1190/forest/vbc92123,VBC92123,Appartement à vendre,440000,Rue Marguerite Bervoets 50,1190 Forest,Nouveau,2024,2,17 m²,111 m²,29 m²,Oui,Oui,1,Super équipée,1,1,2,5 m²,Gaz,Double vitrage,Oui,Oui,Oui,4,2,6,Oui,49 m²,75 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1190/forest/vbc92122,VBC92122,Appartement à vendre,374000,Rue Marguerite Bervoets 50,1190 Forest,Nouveau,2024,2,15 m²,94 m²,30 m²,Oui,Oui,1,Super équipée,2,2,2,4 m²,Gaz,Double vitrage,Oui,Oui,Oui,4,2,6,Oui,41 m²,75 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1190/forest/vbc91913,VBC91913,Appartement à vendre,125000,,1190 Forest,À rénover,1972,1,,40 m²,21 m²,Non,Oui,,,1,,1,,Gaz,,,Non,,12,4,12,Oui,8 m²,205 kWh/m²/an,pas d'application,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,Non,Non,Non,Nord-ouest,69 m,40 m²,165 m,Oui,Oui,20230804-0000652242-01-2,04/08/2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1190/forest/vbc91872,VBC91872,Appartement à vendre,225000,Avenue du Domaine 25,1190 Forest,Remis à neuf,,1,16 m²,65 m²,30 m²,Oui,,,Equipée,1,1,1,5 m²,Mazout,Double vitrage,,Oui,Oui,,3,5,Oui,9 m²,170 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,,Non,Non,,,,,,,Sud,,,,Oui,Oui,,,A l’acte,Américaine,8 m²,Oui,Sud,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1190/forest/vbc91807,VBC91807,Appartement à vendre,390000,Avenue Everard 20,1190 Forest,Nouveau,,2,,87 m²,,Oui,,,Super équipée,2,1,,,Gaz,,,Non,Non,1,2,3,Oui,6 m²,142 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,,,Non,,,,,,,,,,,,,,,Immédiatement,,,,Sud-ouest,,Non,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1190/forest/vbc91804,VBC91804,Appartement à vendre,269000,Avenue du Domaine 25,1190 Forest,À rénover,,2,16 m²,100 m²,30 m²,Oui,,,Equipée,1,1,1,5 m²,Mazout,Double vitrage,,Oui,Oui,5,3,5,Oui,9 m²,368 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,13 m²,,Oui,Non,,,,,,,Sud,,,,Oui,Oui,,,,Américaine,8 m²,Oui,Sud,Oui,Non,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1190/forest/vbc91354,VBC91354,Appartement à vendre,314000,Rue Marguerite Bervoets A811,1190 Forest,Nouveau,2023,1,16 m²,87 m²,29 m²,Oui,Oui,1,Super équipée,1,1,1,,,Double vitrage,,Oui,Oui,1,2,6,Oui,23 m²,95 kWh/m²/an,"oui, attestation conforme",Risque moyen,Information non communiquée,,,,Non,,,,,,,,,,,Oui,,,,,,,Oui,Ouest,,Non,20,155,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
