ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Etat_du_bien,Année_de_construction,Surface_du_bureau,Nombre_de_toilettes,Raccordé_au_gaz_de_ville,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_douches,Panneaux_solaires,Type_de_vitrage,Alarme_antieffraction,Accessible_aux_moins_valides,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Surface_du_jardin,Orientation_du_jardin,Surface_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Surface_salle_à_manger,Parlophone,Orientation_de_la_terrasse,Surface_des_caves,Nombre_de_place_de_parking_intérieur,Attestation__Asbuilt,Surface_chambre_à_coucher_5,Surface_du_dressing,Surface_du_garage,Surface_du_grenier,Surface_de_lades_salles_de_bain,Étage_de_lappartement,Surface_totale,Chauffage_au_sol,Possibilités_pour_profession_libérale,Niveau_E,Station_de_charge_électrique,Maison_basse_énergie,Pompe_à_chaleur,Air_conditionné,Porte_de_garage_motorisée,Compteur_Bihoraire,Porte_daccès_sécurisée,Feu_ouvert,Attestation__Citernes_à_mazout,Surface_constructible,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Panneaux_solaires_thermiques,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Adoucisseur_deau,Domotique,HammamSaunaJacuzzi,Balcon
https://immovlan.be/fr/detail/maison/a-vendre/1357/neerheylissem/vbc29196,VBC29196,Maison à vendre,499000,Rue des Houilles 28,1357 Neerheylissem,Non,A l’acte,5,240 m²,Non,45 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,Super équipée,2,Mazout,Non,Nord,4,3,Oui,Non,760 m²,Oui,Oui,362 kWh/m²/an,110615 kWh/an,202111110023407,10/11/2031,90,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1357/opheylissem/vbc90062,VBC90062,Maison à vendre,175000,Rue Eugène Branckotte 1,1357 Opheylissem,Non,A l’acte,2,100 m²,Non,35 m²,Non,Oui,Non,Non,Non,Non,Non,,,,1,Gaz,Non,Sud,4,,Oui,Oui,360 m²,Oui,,611 kWh/m²/an,,20241202005553,02/12/2034,111,"oui, attestation non conforme",Information non communiquée,Information non communiquée,À rénover,1920,8 m²,1,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1357/helecine/vbc54762,VBC54762,Maison à vendre,299000,Rue d'Ardevoor 78,1357 Hélécine,Non,A l’acte,4,193 m²,Non,38 m²,,Oui,,,,,,Oui,1,Semi-équipée,1,Gaz,Non,,3,2,Oui,Oui,850 m²,Oui,Non,334 kWh/m²/an,58406 kWh/an,,16/02/2026,80,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Normal,1966,16 m²,2,,16 m²,19 m²,16 m²,16 m²,Kitchenette,24 m²,1,Oui,Double vitrage,Oui,Non,15 m,2,603 m²,Nord-ouest,33 m²,70 m,15 m,Oui,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1357/helecine/vbc79846,VBC79846,Maison à vendre,299000,Rue de l'Abbaye 4,1357 Hélécine,Non,,4,135 m²,Non,14 m²,,Oui,,Oui,,,,,,Equipée,1,Gaz,Non,Nord-ouest,3,,Oui,Oui,150 m²,Oui,Non,193 kWh/m²/an,26113 kWh/an,,25/04/2033,4874,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Normal,1918,,2,Oui,15 m²,10 m²,10 m²,10 m²,Américaine,13 m²,1,,Double vitrage,,Non,8 m,2,78 m²,,24 m²,,8 m,Oui,,Oui,,Non,13 m²,Oui,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1357/helecine/vbc25828,VBC25828,Maison à vendre,395000,Rue armand dewolf 37,1357 Hélécine,Non,Immédiatement,2,267 m²,Non,30 m²,Oui,Oui,Oui,,,,,Oui,1,Equipée,1,Mazout,Non,,4,3,Oui,Oui,381 m²,,Non,170 kWh/m²/an,43598 kWh/an,,,42,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Excellent,2008,11 m²,1,,11 m²,14 m²,,,Américaine,11 m²,1,,Double vitrage,Oui,Non,6 m,2,217 m²,Sud-est,30 m²,33 m,6 m,Oui,Oui,Oui,Non,Non,,,,42 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1357/linsmeau/vbc66027,VBC66027,Maison à vendre,265000,Rue du Centre 48,1357 Linsmeau,Non,A l’acte,3,130 m²,Non,,Non,Oui,Non,Non,Non,Non,Non,,,Super équipée,2,Mazout,Non,Sud-ouest,3,1,Non,Non,690 m²,Oui,,492 kWh/m²/an,97276 kWh/an,20250414003752,14/04/2035,123,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1357/helecine/vbb90069,VBB90069,Appartement à vendre,245000,Rue Eugène Branckotte,1357 Hélécine,Non,A partir du : 30/06/2026,1,73 m²,Non,,Non,Non,Non,Non,Non,Non,Non,,,Semi-équipée,,Gaz,Non,Sud,,,,Oui,,,,,,,,,pas d'application,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,1,,,,,,,,,15 m²,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1357/helecine/vbc49730,VBC49730,Maison à vendre,599000,Rue Olivier Benne 44,1357 Hélécine,Non,,5,268 m²,Non,62 m²,Oui,Oui,,Oui,Oui,,,Oui,2,Super équipée,1,Mazout,Non,Nord,4,2,Oui,Oui,1862 m²,Oui,Oui,203 kWh/m²/an,70887 kWh/an,,04/11/2033,49,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Normal,1850,,3,,14 m²,16 m²,14 m²,13 m²,,20 m²,1,,Double vitrage,,Non,30 m,2,1546 m²,,,,,Oui,,Oui,Non,Non,22 m²,,,,,,19 m²,7 m²,37 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1357/helecine/vbc48325,VBC48325,Maison à vendre,225000,Rue de léau 62,1357 Hélécine,Non,A l’acte,2,107 m²,Non,,Oui,Oui,Oui,Oui,,,,Oui,1,Semi-équipée,1,Gaz,Non,,2,1,Oui,Oui,775 m²,Oui,Non,522 kWh/m²/an,64559 kWh/an,,24/08/2032,95,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,À rénover,1960,6 m²,1,Oui,10 m²,15 m²,,,Kitchenette,13 m²,1,,Double vitrage,,Non,12 m,1,687 m²,Ouest,46 m²,66 m,12 m,Oui,,Non,Non,Non,12 m²,,,24 m²,,,,,,38 m²,4 m²,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1357/helecine/vbc33471,VBC33471,Maison à vendre,225000,Rue sainte anne 61,1357 Hélécine,Non,A l’acte,2,104 m²,Non,,,,,Oui,,,,Oui,1,Equipée,1,Mazout,Non,,4,3,Oui,Oui,955 m²,Oui,Non,657 kWh/m²/an,73882 kWh/an,,14/04/2034,163,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,À rénover,1965,12 m²,1,,17 m²,12 m²,,,Américaine,7 m²,1,,Double vitrage,,Non,6 m,2,813 m²,Nord-est,11 m²,82 m,6 m,Oui,Oui,Non,Non,Non,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
