ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Nombre_de_façades,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Surface_constructible,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Équipement_de_la_cuisine,Type_de_vitrage,Alarme_antieffraction,Feu_ouvert,Accessible_aux_moins_valides,Surface_du_jardin,Orientation_du_jardin,Orientation_de_la_terrasse,Raccordé_aux_égouts,Piscine_extérieure,Date_de_validité_PEB,Le_bien_fait_lobjet_dun_droit_de_préemption,Surface_chambre_à_coucher_5,Surface_du_bureau,Surface_salle_à_manger,Surface_de_la_cuisine,Parlophone,Largeur_de_la_façade,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Citerne_à_eau_de_pluie,Conso_annuelle_totale_dénergie_primaire,Emission_de_CO2,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Grenier,Chauffage_au_sol,Surface_du_grenier,Surface_du_garage,Surface_de_lades_salles_de_bain,Orientation_de_la_façade_du_bien,Raccordé_au_gaz_de_ville,Nombre_de_place_de_parking_intérieur,Station_de_charge_électrique,Panneaux_solaires,Air_conditionné,Surface_des_caves,Surface_du_dressing,Type_de_cuisine,Maison_basse_énergie,Panneaux_solaires_thermiques,Compteur_deau_individuel,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Étage_de_lappartement,Balcon,Surface_totale,Attestation__Citernes_à_mazout__Validité,Possibilités_pour_profession_libérale,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Pompe_à_chaleur,Adoucisseur_deau
https://immovlan.be/fr/detail/villa/a-vendre/1380/lasne/vbc92240,VBC92240,Villa à vendre,2500000,,1380 Lasne,Excellent,Non,2016,A l’acte,3,425 m²,Non,148 m²,Non,Non,Non,Non,Non,Non,Oui,8,3,3,4,Non specifié,Non,4,2,6,Oui,Oui,120 m²,4250 m²,1015 m²,Oui,158 kWh/m²/an,20230130015817,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1380/lasne/vbc91737,VBC91737,Maison à vendre,1350000,,1380 Lasne,Normal,Non,1960,,4,250 m²,Non,,Oui,,,,,,Oui,1,4,2,2,Mazout,Non,4,,,Oui,Oui,100 m²,7800 m²,,Oui,407 kWh/m²/an,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,18 m²,17 m²,12 m²,11 m²,Super équipée,Double vitrage,Oui,Oui,Non,7800 m²,Sud-ouest,Sud,Non,Oui,08/01/2035,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1380/lasne/vbc91155,VBC91155,Villa à vendre,850000,Route de l'etat 26,1380 Lasne,Excellent,Non,1984,,5,299 m²,Non,33 m²,,Oui,Oui,,,,Oui,2,2,2,3,Mazout,Non,4,2,6,Oui,Oui,23 m²,2224 m²,,Oui,265 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,12 m²,21 m²,15 m²,14 m²,Super équipée,Double vitrage,Oui,Oui,Non,1940 m²,Ouest,Ouest,,Non,16/05/2029,Non,27 m²,18 m²,12 m²,12 m²,Oui,9 m,56 m,9 m,Oui,79321 kWh/an,67,05/08/2020,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1380/lasne/vbc89200,VBC89200,Villa à vendre,1750000,,1380 Lasne,Excellent,,1985,A l’acte,5,335 m²,Non,,Oui,,,,,,Oui,4,3,1,3,,Non,4,2,,Oui,Oui,,8700 m²,,Oui,375 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,24 m²,12 m²,12 m²,14 m²,,Double vitrage,Oui,Oui,Non,,Sud-ouest,Sud-ouest,Oui,Oui,,,16 m²,,,,Oui,,,,,127283 kWh/an,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1380/lasne/vbc89164,VBC89164,Maison à vendre,399000,Route de Genval 175,1380 Lasne,À rénover,Non,1931,A l’acte,4,173 m²,Non,,,,Oui,,,,Oui,1,1,1,2,Gaz,Non,2,4,,Oui,Oui,13 m²,315 m²,,Oui,329 kWh/m²/an,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,10 m²,13 m²,14 m²,10 m²,,,,,Non,,,Sud-est,Oui,Non,04/06/2035,Non,,,14 m²,20 m²,,6 m,,6 m,,123525 kWh/an,62,06/03/2025,Non,Non,Oui,,47 m²,25 m²,6 m²,Nord-ouest,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1380/lasne/vbc87518,VBC87518,Maison à vendre,2350000,,1380 Lasne,Excellent,Non,2015,A l’acte,5,500 m²,Non,76 m²,Oui,,Oui,,,,Oui,1,4,1,5,,Non,4,1,3,Oui,Oui,30 m²,2440 m²,,Oui,15 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,24 m²,23 m²,32 m²,21 m²,Super équipée,Triple vitrage,Oui,,Non,1500 m²,,Sud,Oui,Oui,12/11/2024,,12 m²,17 m²,,25 m²,,,,,Oui,7483 kWh/an,2,,,,,,,,,,Oui,3,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1380/lasne/vbc87517,VBC87517,Maison à vendre,2350000,,1380 Lasne,Excellent,Non,2015,A l’acte,5,500 m²,Non,76 m²,Oui,,Oui,,,,Oui,1,4,1,5,,Non,4,1,3,Oui,Oui,30 m²,2440 m²,,Oui,15 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,24 m²,23 m²,32 m²,21 m²,Super équipée,Triple vitrage,Oui,,Non,1500 m²,,Sud,Oui,Oui,12/11/2024,,12 m²,17 m²,,25 m²,,,,,Oui,7483 kWh/an,2,,,,,,,,,,Oui,3,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1380/lasne/vbc61715,VBC61715,Maison à vendre,595000,Rue du printemps 26,1380 Lasne,À rénover,Non,1918,,4,278 m²,Non,37 m²,Oui,,Oui,Oui,Oui,,Oui,1,1,1,2,Mazout,Non,4,1,,Oui,Oui,,1549 m²,,,146633 kWh/m²/an,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,11 m²,30 m²,30 m²,,,,,,Non,1291 m²,,,Oui,Non,22/07/2033,Non,,,20 m²,13 m²,,9 m,,9 m,,446 kWh/an,,,Oui,Non,Oui,,,26 m²,6 m²,Ouest,,,,,,51 m²,9 m²,Indépendante,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1380/lasne/vbc86436,VBC86436,Maison à vendre,575000,Avenue de Manhattan 23,1380 Lasne,Excellent,,1991,A l’acte,3,165 m²,Non,35 m²,,,,,,,Oui,,1,1,2,Gaz,Non,4,1,2,Oui,Oui,20 m²,556 m²,,,230 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,16 m²,15 m²,14 m²,,Super équipée,,,,Non,556 m²,Nord-est,,Oui,Non,28/04/2035,,,,,17 m²,,,,,,,,,,,,,,,,Sud-ouest,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1380/lasne/vbc85094,VBC85094,Villa à vendre,1495000,,1380 Lasne,Normal,Non,2007,Immédiatement,4,388 m²,,,Oui,,Oui,Oui,,,Oui,1,3,,3,Mazout,,4,2,,Oui,,,2628 m²,,Oui,181 kWh/m²/an,20250411007674,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,,Non équipée,Double vitrage,Non,Oui,,,,,Oui,,,Oui,,,,,Oui,7 m,,,,70205 kWh/an,45,,Oui,Oui,Oui,Oui,,,,Sud,,,,Non,Non,,,,Non,Non,Oui,Non,Non,Non,"oui, attestation conforme",Oui,,,,,,,,,,,,
