ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Grenier,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_du_séjour,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Attestation__Asbuilt,Bien_actuellement_loué,Caves,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_douches,Surface_chambre_à_coucher_1,Type_de_cuisine,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Type_de_vitrage,Accessible_aux_moins_valides,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Surface_des_caves,Parlophone,Surface_totale,Surface_chambre_à_coucher_2,Nombre_de_place_de_parking_intérieur,Panneaux_solaires,Orientation_de_la_terrasse,Surface_du_bureau,Panneaux_solaires_thermiques,Attestation__Citernes_à_mazout,Largeur_de_la_façade,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_jardin,Surface_salle_à_manger,Alarme_antieffraction,Largeur_du_terrain_à_rue,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Chauffage_au_sol,Feu_ouvert,Orientation_du_jardin,Citerne_à_eau_de_pluie,Possibilités_pour_profession_libérale,Surface_constructible,Pompe_à_chaleur,Attestation__Installation_électrique__Validité,Adaptations_pour_les_seniors,Surface_du_grenier,Espace_ouvert_sensible_à_leau__WORG,Balcon,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Maison_basse_énergie,Station_de_charge_électrique,Surface_du_garage,Adoucisseur_deau,Porte_daccès_sécurisée,Air_conditionné,Niveau_E,Appartement_de_service,Compteur_Bihoraire,Compteur_deau_individuel,Domotique,HammamSaunaJacuzzi
https://immovlan.be/fr/detail/fermette/a-vendre/1435/corbais/vbc03027,VBC03027,Fermette à vendre,350000,,1435 Corbais,À rénover,1900,Immédiatement,3,152 m²,Non,Oui,Oui,1,Semi-équipée,1,2,Mazout,Non,Nord-ouest,4,3,Oui,Non,1403 m²,370 kWh/m²/an,69817 kWh/an,20240323008090,23/03/2034,92,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1435/corbais/vbb35979,VBB35979,Appartement à vendre,260000,,1435 Corbais,Normal,2010,,2,76 m²,Non,Oui,,,Super équipée,1,,Gaz,Oui,Nord,3,1,Non,Oui,,234 kWh/m²/an,21156 kWh/an,20170614020275,14/06/2027,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,29 m²,2,2,4 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1435/corbais/vbb95975,VBB95975,Appartement à vendre,190000,Rue de la Rose 25 5,1435 Corbais,,,,1,36 m²,Non,Non,,,Non équipée,,1,,Non,,,,Oui,Oui,,458 kWh/m²/an,19403 kWh/an,20200814016809,14/08/2030,84,pas d'application,Information non communiquée,Information non communiquée,20 m²,,,,,Non,Non,Non,Non,Non,Non,Non,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1435/corbais/vba87503,VBA87503,Appartement à vendre,270000,Rue du Petit Baty 11B,1435 Corbais,,,,2,125 m²,Non,Oui,,,Non équipée,1,1,,Non,,,2,Non,Non,,226 kWh/m²/an,34011 kWh/an,20240226026733,26/02/2034,43,pas d'application,Information non communiquée,Information non communiquée,50 m²,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1435/mont-saint-guibert/vbc67690,VBC67690,Appartement à vendre,230000,Rue Saint Jean 25,1435 Mont-Saint-Guibert,Excellent,2007,A l’acte,1,52 m²,Non,,,,Equipée,1,1,Gaz,Non,,4,,Oui,,,151 kWh/m²/an,9421 kWh/an,,15/04/2025,28,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,20 m²,2,2,,,,,,,,,,1,12 m²,Américaine,12 m²,5 m²,Double vitrage,Non,Non,Oui,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/1435/mont-saint-guibert/vbc85582,VBC85582,Rez-de-chaussée à vendre,225000,Rue Auguste Lannoye 2,1435 Mont-Saint-Guibert,Excellent,2017,,1,45 m²,Non,,,,Equipée,1,1,Gaz,Oui,,2,1,,,,114 kWh/m²/an,6245 kWh/an,,25/01/2028,2195,"oui, attestation conforme",Information non communiquée,Information non communiquée,22 m²,0,3,,,Oui,Oui,,,,,,1,12 m²,Américaine,,,Double vitrage,Oui,Oui,Oui,Oui,,3 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1435/mont-saint-guibert/vwd13690,VWD13690,Maison à vendre,930000,,1435 Mont-Saint-Guibert,Normal,,A l’acte,7,396 m²,,,,,Equipée,3,,Gaz,,,4,3,Oui,Oui,,197 kWh/m²/an,,20221114004835,,36,,Information non communiquée,Information non communiquée,,,,,,,,,,,Oui,,,,,,,,,,,,,,,480 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1435/mont-saint-guibert/vbc80662,VBC80662,Appartement à vendre,230000,Rue de la Dodaine 3,1435 Mont-Saint-Guibert,Normal,2002,A l’acte,1,65 m²,Non,,Oui,,Super équipée,1,1,,Non,,,1,,Oui,,246 kWh/m²/an,13393 kWh/an,,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,25 m²,0,,15 m²,,,,,,,,,,14 m²,,,,Double vitrage,Non,,Oui,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1435/mont-saint-guibert/vbc76129,VBC76129,Appartement à vendre,299000,Rue Musette 14,1435 Mont-Saint-Guibert,Nouveau,2025,A l’acte,1,100 m²,Non,,Oui,1,,2,2,Gaz,Non,Ouest,2,1,,Oui,,62 kWh/m²/an,5555 kWh/an,,07/03/2035,6,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,35 m²,1,2,27 m²,,,,,,,,,,20 m²,Indépendante,,,Double vitrage,Non,Oui,Oui,Oui,Non,,Oui,,12 m²,1,Oui,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/1435/mont-saint-guibert/vbc68335,VBC68335,Fermette à vendre,350000,,1435 Mont-Saint-Guibert,Normal,1816,Immédiatement,3,177 m²,Non,Oui,Oui,,Super équipée,1,2,Gaz,Non,Ouest,3,2,Non,Oui,324 m²,335 kWh/m²/an,74018 kWh/an,20250414008819,14/04/2035,,pas d'application,Information non communiquée,Information non communiquée,40 m²,,,,,Non,Non,Non,Non,Non,Non,Non,1,,,,,,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
