ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Surface_des_caves,Grenier,Surface_du_grenier,Garage,Nombre_de_Garages,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Salle_à_manger,Surface_salle_à_manger,Station_de_charge_électrique,Surface_de_lades_salles_de_bain,Panneaux_solaires,Alarme_antieffraction,Surface_du_jardin,Orientation_de_la_façade_du_bien,Référence_PEB,Bien_actuellement_loué,Équipement_de_la_cuisine,Nombre_de_douches,Piscine_extérieure,Adoucisseur_deau,Parlophone,Surface_chambre_à_coucher_5,Véranda,Possibilités_pour_profession_libérale,Buanderie,Nombre_de_place_de_parking_intérieur,Chauffage_au_sol,Raccordé_au_gaz_de_ville,Niveau_E,Pompe_à_chaleur,Feu_ouvert,Surface_du_bureau,Dressing,Local_vélo,Maison_basse_énergie,Panneaux_solaires_thermiques,Compteur_deau_individuel,Air_conditionné,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Surface_du_garage,Affectation_urbanistique_la_plus_récente,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Attestation__Citernes_à_mazout__Validité,Étage_de_lappartement,Surface_totale,Compteur_Bihoraire,Adaptations_pour_les_seniors,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_du_dressing,Porte_de_garage_motorisée,Appartement_de_service,Balcon,Surface_constructible,Citation_pour_infraction_urbanistique,Surface_de_la_véranda,Compteur_électrique_individuel,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Compteur_de_gaz_individuel,Clef_électronique
https://immovlan.be/fr/detail/villa/a-vendre/1495/villers-la-ville/vbc28086,VBC28086,Villa à vendre,305000,Boulevard Neuf 90,1495 Villers-la-Ville,À rénover,1966,A l’acte,4,25 m²,15 m²,18 m²,14 m²,166 m²,Non,33 m²,Oui,24 m²,Oui,10 m²,Oui,1,Indépendante,13 m²,2,3,Mazout,Double vitrage,Non,Non,4,12 m,1,4,Oui,Sud-est,Oui,52 m²,Sud-ouest,580 m²,30 m,12 m,Oui,Oui,Oui,489 kWh/m²/an,94040 kWh/an,06/12/2024,12122,"oui, attestation non conforme",12/06/2024,Non,Non,Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1495/villers-la-ville/vbb81676,VBB81676,Villa à vendre,650000,Rue du Bosquet 27B,1495 Villers-la-Ville,Excellent,,A l’acte,4,20 m²,15 m²,11 m²,17 m²,206 m²,Non,,,,,,Oui,2,,17 m²,1,2,Mazout,Double vitrage,,,4,18 m,1,5,Oui,Sud-ouest,Oui,136 m²,,2527 m²,77 m,18 m,,Oui,Oui,102 kWh/m²/an,25313 kWh/an,14/02/2033,2422,"oui, attestation conforme",,,,,Information non communiquée,Information non communiquée,Oui,29 m²,Oui,10 m²,Oui,Oui,2081 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1495/villers-la-ville/vbc76526,VBC76526,Maison à vendre,145000,Rue Haute annexes 53 lot 2,1495 Villers-la-Ville,À rénover,,A l’acte,1,,,,,215 m²,Non,,,,,,,,,,1,1,Non specifié,,Non,,3,,,2,Oui,,Non,,,400 m²,,,,,,,,,,pas d'application,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1495/villers-la-ville/vbc75236,VBC75236,Maison à vendre,245000,Rue Haute MAISON 53,1495 Villers-la-Ville,À rénover,,A l’acte,4,,,,,250 m²,Non,,,,Oui,,,,,,,,Non specifié,,Non,,3,,,2,Oui,,Non,,,540 m²,,,,,,706 kWh/m²/an,171168 kWh/an,02/08/2034,,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,Sud-ouest,20240802021562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1495/villers-la-ville/vbc69771,VBC69771,Maison à vendre,229000,Rue de Sart 84,1495 Villers-la-Ville,À rénover,,A l’acte,4,20 m²,14 m²,18 m²,25 m²,198 m²,Non,15 m²,Oui,,,,,,Kitchenette,18 m²,2,,,Double vitrage,Non,Non,3,,,,Oui,,Oui,13 m²,,181 m²,,,Oui,Oui,,565 kWh/m²/an,81032 kWh/an,16/01/2033,,"oui, attestation non conforme",,,,,Information non communiquée,Information non communiquée,,,,,,,,,,Non,Semi-équipée,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1495/villers-la-ville/vbc62162,VBC62162,Villa à vendre,875000,,1495 Villers-la-Ville,Normal,1987,A l’acte,4,28 m²,20 m²,17 m²,10 m²,486 m²,,61 m²,Oui,,,,Oui,3,,27 m²,2,4,Mazout,Double vitrage,Non,Non,4,11 m,1,10,Oui,Sud-ouest,Oui,63 m²,,3162 m²,98 m,11 m,Oui,Oui,Oui,170 kWh/m²/an,61162 kWh/an,15/09/2034,42,,,Oui,,Non,Pas de risque d’inondation,Information non communiquée,Oui,22 m²,,13 m²,Oui,Oui,2779 m²,Nord-est,,,Super équipée,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1495/villers-la-ville/vbc60853,VBC60853,Maison à vendre,350000,Rue Minique 24,1495 Villers-la-Ville,Normal,1996,A l’acte,2,18 m²,8 m²,,,105 m²,Non,37 m²,,,Oui,114 m²,Oui,1,Américaine,11 m²,1,1,Mazout,Double vitrage,Non,Oui,4,6 m,1,2,Oui,,Oui,20 m²,,1502 m²,48 m,6 m,Oui,Oui,Oui,199 kWh/m²/an,44118 kWh/an,26/02/2035,49,"oui, attestation non conforme",,Oui,Oui,,Pas de risque d’inondation,Information non communiquée,,,,6 m²,,,1349 m²,,,,Equipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1495/villers-la-ville/vbc49348,VBC49348,Villa à vendre,690000,Drève du Tumulus 2,1495 Villers-la-Ville,Excellent,1970,,3,18 m²,16 m²,17 m²,,267 m²,Non,50 m²,Oui,,,,Oui,2,,23 m²,3,2,Mazout,Double vitrage,Non,Oui,4,65 m,1,,Oui,,Oui,,Sud-ouest,2368 m²,,,Oui,Oui,,223 kWh/m²/an,74720 kWh/an,,55,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,2368 m²,Sud,,,Super équipée,1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1495/villers-la-ville/vbc47143,VBC47143,Maison à vendre,269000,Rue de Mellery 42,1495 Villers-la-Ville,Normal,1978,,2,13 m²,14 m²,,,92 m²,,23 m²,,,Oui,,Oui,2,Américaine,10 m²,1,2,,Double vitrage,,,3,,,1,,,Oui,,,166 m²,,,,,,526 kWh/m²/an,48437 kWh/an,,,"oui, attestation non conforme",,,,,Information non communiquée,Information non communiquée,,,,,,,,,,Oui,Equipée,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1495/villers-la-ville/vbc19404,VBC19404,Maison à vendre,340000,,1495 Villers-la-Ville,Normal,,,5,31 m²,22 m²,11 m²,16 m²,280 m²,,36 m²,Oui,15 m²,Oui,25 m²,Oui,1,,11 m²,1,2,Mazout,,Non,Non,4,19 m,3,,Oui,Est,Oui,,,2927 m²,83 m,19 m,Oui,Oui,,454 kWh/m²/an,103790 kWh/an,24/01/2033,113,,,,,,Information non communiquée,Information non communiquée,,,,4 m²,,,2815 m²,Est,,,,,Oui,,,10 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
