ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Nombre_de_façades,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Panneaux_solaires,Orientation_de_la_façade_du_bien,Nombre_de_places_de_parking_extérieur,Piscine_extérieure,Étage_de_lappartement,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Surface_constructible,Date_de_validité_PEB,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Type_de_cuisine,Surface_de_la_cuisine,Type_de_vitrage,Orientation_de_la_terrasse,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Largeur_de_la_façade,Largeur_du_terrain_à_rue,Citerne_à_eau_de_pluie,Nombre_de_place_de_parking_intérieur,Espace_ouvert_sensible_à_leau__WORG,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Surface_du_jardin,Profondeur_du_terrain,Surface_du_bureau,Emission_de_CO2,Air_conditionné,Alarme_antieffraction,Accessible_aux_moins_valides,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Conso_annuelle_totale_dénergie_primaire,Panneaux_solaires_thermiques,Surface_du_garage,Orientation_du_jardin,Pompe_à_chaleur,Surface_de_lades_salles_de_bain,Parlophone,Nombre_de_douches,Station_de_charge_électrique,Maison_basse_énergie,Attestation__Citernes_à_mazout,Chauffage_au_sol,Niveau_E,Niveau_K,Raccordé_aux_égouts,Appartement_de_service,Compteur_Bihoraire,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Surface_du_grenier,Surface_des_caves,Surface_de_la_véranda,Attestation__Installation_électrique__Validité,Adoucisseur_deau,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Surface_chambre_à_coucher_5
https://immovlan.be/fr/detail/maison/a-vendre/2370/arendonk/rbt66746,RBT66746,Maison à vendre,549000,Heilaar 12,2370 Arendonk,Normal,Non,1998,A l’acte,4,308 m²,Non,48 m²,Non,Non,Non,Non,Non,Non,Non,Oui,2,Semi-équipée,3,3,Mazout,Non,4,Oui,Oui,1074 m²,Oui,Oui,220 kWh/m²/an,20241121-0003454258-RES-1,"oui, attestation non conforme",Non,Non,Zone d'extension d'habitat,Risque moyen,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2370/arendonk/rbt66827,RBT66827,Maison à vendre,375000,Rode Del 12,2370 Arendonk,Normal,Non,2019,A l’acte,2,81 m²,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,,,1,2,Non specifié,Non,4,Oui,Oui,2905 m²,,Oui,111 kWh/m²/an,20250326-0003562033-RES-2,"oui, attestation conforme",Non,Non,Zone de loisirs,Pas de risque d’inondation,Information non communiquée,Oui,Sud,5,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2370/arendonk/rbt38532,RBT38532,Appartement à vendre,127000,Hovestraat 2 2,2370 Arendonk,Normal,,2012,Immédiatement,1,57 m²,Non,28 m²,,,,,,,,,,Super équipée,1,1,Mazout,Non,,Oui,Non,,Oui,Oui,113 kWh/m²/an,20230612-0002912118-RES-1,"oui, attestation non conforme",Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Risque élevé,Information non communiquée,,Nord-ouest,,,0,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2370/arendonk/rbt38443,RBT38443,Appartement à vendre,139000,Hovestraat 2 5,2370 Arendonk,Excellent,,2013,A l’acte,1,60 m²,Non,28 m²,,,,,,,,,,Super équipée,1,1,Gaz,Non,3,Non,Non,,,,143 kWh/m²/an,20201218-0002352206-RES-1,pas d'application,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,0,Oui,Non,571 m²,18/12/2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2370/arendonk/rbt35933,RBT35933,Maison à vendre,675000,Horststraat 99,2370 Arendonk,Normal,,1964,A l’acte,4,235 m²,,33 m²,Oui,Oui,Oui,,,,,Oui,1,Equipée,1,1,Mazout,,4,Oui,Oui,1943 m²,,,596 kWh/m²/an,,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,18 m²,18 m²,16 m²,15 m²,Américaine,17 m²,Double vitrage,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2370/arendonk/rbt25250,RBT25250,Maison à vendre,349000,Koeistraat 72,2370 Arendonk,Excellent,Non,2021,A convenir,3,108 m²,Non,31 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,Super équipée,1,2,Non specifié,Non,2,Oui,Oui,120 m²,Oui,Oui,76 kWh/m²/an,13001-G-DBA-2017028778/EP10894/A002/D03/SD001,"oui, attestation conforme",Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Risque élevé,Information non communiquée,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2370/arendonk/vbc49504,VBC49504,Maison à vendre,468834,,2370 Arendonk,Nouveau,,,,3,165 m²,,,,,,,,,,Oui,1,,1,2,,,4,,,611 m²,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,11 m,11 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2370/arendonk/rbs73740,RBS73740,Maison à vendre,419000,De Lusthoven 2,2370 Arendonk,Normal,,,A l’acte,4,248 m²,,,,Oui,,,,Oui,,Oui,1,Super équipée,1,2,Gaz,Non,4,Oui,Oui,375 m²,,,250 kWh/m²/an,,"oui, attestation conforme",Non,,,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,Non,,,,,,,,,Double vitrage,,,,,,,,,1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2370/arendonk/rbs73038,RBS73038,Maison à vendre,349000,'t Zand 34,2370 Arendonk,,Non,1983,A l’acte,3,158 m²,Non,,Non,Oui,Non,Non,Non,Non,Non,Oui,1,Semi-équipée,1,2,Gaz,Non,3,Oui,Oui,650 m²,Oui,Oui,204 kWh/m²/an,20250221-0003536266-RES-1,"oui, attestation non conforme",Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Oui,,2,,,,,,21/02/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2370/arendonk/rbs51629,RBS51629,Maison à vendre,295000,De Valken 7,2370 Arendonk,À rénover,Non,,A l’acte,5,269 m²,Non,42 m²,Non,Oui,Non,Non,Non,Non,Non,Oui,1,Semi-équipée,1,1,Gaz,Non,3,Oui,Oui,410 m²,Oui,Oui,444 kWh/m²/an,20211212-0002508561-RES-1,"oui, attestation non conforme",Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
