ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_du_séjour,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_douches,Surface_de_lades_salles_de_bain,Type_de_vitrage,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Piscine_extérieure,Conso_spécifique_dénergie_primaire,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Surface_totale_du_terrain,Air_conditionné,Alarme_antieffraction,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_constructible,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Étage_de_lappartement,Surface_du_jardin,Surface_des_caves,Surface_du_grenier,Surface_de_la_véranda,Permis_durbanisation_accordé,Parlophone,Surface_du_bureau,Emission_de_CO2,Attestation__Asbuilt,Panneaux_solaires,Panneaux_solaires_thermiques,Chauffage_au_sol,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Domotique,Porte_daccès_sécurisée,Raccordé_aux_égouts,Attestation__Citernes_à_mazout,Orientation_du_jardin,Surface_chambre_à_coucher_3,Nombre_de_place_de_parking_intérieur,Attestation__Installation_électrique__Validité,Station_de_charge_électrique,Maison_basse_énergie,Pompe_à_chaleur,Compteur_Bihoraire,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Surface_chambre_à_coucher_4,Surface_salle_à_manger,Appartement_de_service,Surface_chambre_à_coucher_5,Conso_annuelle_totale_dénergie_primaire,Surface_du_garage,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Citerne_à_eau_de_pluie,Niveau_S,Possibilités_pour_profession_libérale,Surface_totale,Niveau_E
https://immovlan.be/fr/detail/maison/a-vendre/2620/hemiksem/rbt71467,RBT71467,Maison à vendre,380000,Kruishoevewijk 28,2620 Hemiksem,Normal,Non,1958,A l’acte,3,166 m²,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,1,1,2,Gaz,Non,3,6,Oui,Oui,Oui,Oui,20240208-0003136827-RES-1,08/02/2034,"oui, attestation conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2620/hemiksem/rbt71390,RBT71390,Appartement à vendre,185000,Depotstraat 31,2620 Hemiksem,Normal,Oui,1964,A l’acte,1,54 m²,Non,,,,,,,,,,1,1,Gaz,Non,,,,Oui,Oui,Oui,,25/06/2034,"oui, attestation conforme",,,Information non communiquée,Information non communiquée,12 m²,4 m²,17 m²,Equipée,Américaine,5 m²,1,3 m²,Double vitrage,Non,Nord,12 m,1,10 m²,Sud,12 m,Non,386 kWh/m²/an,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2620/hemiksem/rbt69652,RBT69652,Maison à vendre,199000,sint-bernardsesteenweg 13,2620 Hemiksem,À rénover,Non,,,3,231 m²,,Non,Non,Non,Non,Non,Non,Non,,,1,1,,,2,,Oui,Oui,Oui,Oui,20240304-0003164147-RES-1,04/03/2034,"oui, attestation non conforme",Oui,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,Non,603 kWh/m²/an,,,,,,130 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2620/hemiksem/rbt69200,RBT69200,Maison à vendre,379000,de Bosschaertlei 9,2620 Hemiksem,,Non,,A l’acte,3,167 m²,,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,2,Non specifié,Non,2,,,Oui,,,202503100003548840-RES-1,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,Equipée,,,,,Double vitrage,Non,,,,,,,Non,161 kWh/m²/an,,,,,,130 m²,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2620/hemiksem/rbt69148,RBT69148,Maison à vendre,289000,Bredestraat 17,2620 Hemiksem,À rénover,Non,1953,A convenir,3,145 m²,Non,Non,Non,Non,Non,Non,Non,Non,,,1,1,Gaz,Non,2,1,Oui,,Oui,Oui,20250212-0003528603-RES-1,12/02/2035,"oui, attestation non conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,15 m²,,,,,,,,Sud-est,6 m,,,,,,520 kWh/m²/an,,,,,,178 m²,,,,,103 m²,30 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2620/hemiksem/rbt67365,RBT67365,Maison à vendre,374000,Kruishoevewijk 4,2620 Hemiksem,Normal,,1965,,3,175 m²,Non,,Oui,,,,,,Oui,1,,,Non specifié,Non,,1,Oui,Oui,Oui,Oui,,,"oui, attestation conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,Super équipée,,,,,,,Sud-ouest,,,,,,,458 kWh/m²/an,,,,,,409 m²,,,,,96 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2620/hemiksem/rbt66223,RBT66223,Appartement à vendre,299000,Scheldestraat 153 B5,2620 Hemiksem,Normal,Non,1980,A l’acte,2,110 m²,Non,Non,Non,Non,Non,Non,Non,Non,,,1,2,Gaz,Oui,4,1,,Oui,,,20240625-0003283431-RES-1,,pas d'application,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,Super équipée,,,,,,,Sud,,2,6 m²,,,,98 kWh/m²/an,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2620/hemiksem/rbt66243,RBT66243,Maison à vendre,359000,De Bosschaertlei 114,2620 Hemiksem,À rénover,Non,,,4,179 m²,Non,Non,Oui,Non,Non,Non,Non,Non,,,2,1,Gaz,Non,2,,Oui,,,,20220627-0002630458-RES-1,,pas d'application,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,Est,6 m,,,,,,264 kWh/m²/an,,,,,,,,,,,330 m²,55 m,,,229 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2620/hemiksem/rbt46935,RBT46935,Appartement à vendre,299000,Kerkstraat 26,2620 Hemiksem,Normal,Non,2002,Immédiatement,3,129 m²,Non,Non,Non,Non,Non,Non,Non,Non,Oui,1,2,2,Gaz,Oui,2,,,Oui,,,3577889-RES-1,14/04/2035,"oui, attestation non conforme",Oui,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,Super équipée,,,,,,,Ouest,14 m,2,10 m²,,,,156 kWh/m²/an,,,,,,,,,,,,50 m,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2620/hemiksem/rbt44222,RBT44222,Appartement à vendre,249000,Lindelei 125,2620 Hemiksem,,Non,1971,,2,75 m²,Non,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,1,Electrique,Non,,,,Oui,,Oui,20220214-0002544764-RES-1,14/02/2032,pas d'application,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,,,,Super équipée,,,,,,,,,,,,,,345 kWh/m²/an,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
