ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_du_séjour,Garage,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Maison_basse_énergie,Panneaux_solaires,Chauffage_au_sol,Pompe_à_chaleur,Type_de_vitrage,Compteur_Bihoraire,Parlophone,Nombre_de_places_de_parking_extérieur,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Niveau_E,Nombre_de_Garages,Orientation_du_jardin,Surface_constructible,Piscine_extérieure,Surface_du_jardin,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Attestation__Asbuilt,Largeur_de_la_façade,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_de_la_cuisine,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Air_conditionné,Alarme_antieffraction,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Nombre_de_douches,Surface_salle_à_manger,Accessible_aux_moins_valides,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Espace_ouvert_sensible_à_leau__WORG,Balcon,Surface_du_bureau,Surface_du_dressing,Surface_du_garage,Surface_de_lades_salles_de_bain,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_5,Surface_des_caves,Surface_du_grenier,Niveau_K,Porte_daccès_sécurisée,Surface_totale,Porte_de_garage_motorisée,Feu_ouvert,Panneaux_solaires_thermiques,Clef_électronique,Domotique,HammamSaunaJacuzzi,Conso_annuelle_totale_dénergie_primaire
https://immovlan.be/fr/detail/maison/a-vendre/2910/essen/rbt47300,RBT47300,Maison à vendre,229000,Kammenstraat 9,2910 Essen,Normal,Non,1918,Immédiatement,3,93 m²,Non,Non,Non,Non,Non,Non,Non,Non,Semi-équipée,1,1,Gaz,Non,Sud,3,Oui,Oui,65 m²,Oui,Oui,297 kWh/m²/an,Certificaat-20250415-0003578288-RES-1,15/04/2035,"oui, attestation conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2910/essen/rbt43443,RBT43443,Maison à vendre,349000,Eekhoornlaan 24,2910 Essen,À rénover,Non,1969,A l’acte,4,206 m²,Non,Non,Non,Non,Non,Non,Non,Non,Semi-équipée,1,2,Bois,Non,Sud-ouest,4,Oui,Oui,10166 m²,,Oui,937 kWh/m²/an,Certificaat-20250526-0003610317-RES-1,26/05/2035,"oui, attestation non conforme",Non,,Pas de risque d’inondation,Information non communiquée,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/2910/essen/rwc39598,RWC39598,Villa à vendre,393050,,2910 Essen,Excellent,Non,2025,A convenir,3,594 m²,,,Oui,,,,,,Super équipée,1,,Gaz,,,4,Oui,,,Oui,Oui,,,,"oui, attestation conforme",,,Pas de risque d’inondation,Information non communiquée,,Oui,1,Américaine,Oui,Oui,Oui,Oui,Double vitrage,Oui,Oui,2,Oui,Oui,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2930/brasschaat/rbt73127,RBT73127,Maison à vendre,499000,Van de Wiellei 154,2930 Brasschaat,Remis à neuf,Non,1956,,4,205 m²,,Non,Non,Non,Non,Non,Oui,Non,,1,2,Gaz,,,2,Oui,,457 m²,Oui,Oui,103 kWh/m²/an,11008-G-DBA_2017031713/EP16697/A001/D01/SD001,23/12/2032,"oui, attestation conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Oui,,,,Oui,,,Double vitrage,,,,,,,1,Ouest,102 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2930/brasschaat/rbt72982,RBT72982,Maison à vendre,329000,Lage Kaart 214,2930 Brasschaat,Normal,Non,,,2,96 m²,Non,Non,Oui,Non,Non,Non,Non,Non,,1,1,Gaz,Non,Sud-ouest,,Oui,Oui,132 m²,,,380 kWh/m²/an,0003622580,11/06/2035,"oui, attestation conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,30 m²,Oui,,,,,,,,,,,,,,1,,,,25 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/2930/brasschaat/rbt72082,RBT72082,Duplex à vendre,659000,Bredabaan 515 E 3.2,2930 Brasschaat,Excellent,Non,2015,A l’acte,3,208 m²,Non,Non,Non,Non,Non,Non,Non,Non,,2,2,,Oui,,2,,Oui,,,,99 kWh/m²/an,Certificaat-20250616-0003619259-RES-1,16/06/2035,"oui, attestation conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Oui,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2930/brasschaat/rbt71682,RBT71682,Appartement à vendre,275000,Veldstraat 42,2930 Brasschaat,,Non,2025,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,2,Oui,Oui,,,Oui,,,,"oui, attestation conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,Oui,Double vitrage,,,,,,,,,,Non,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2930/brasschaat/rbt68612,RBT68612,Appartement à vendre,329500,Bredabaan 423,2930 Brasschaat,,Non,1958,,2,80 m²,,Non,Non,Non,Non,Non,Non,Non,Equipée,1,,,Oui,,2,,Oui,,Oui,Oui,148 kWh/m²/an,20200904-0002311340-RES-1,,"non, pas d'attestation",,"Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,,,,,,,,,Double vitrage,,,,,,,,,,Non,,2,4,4 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2930/brasschaat/rbt67751,RBT67751,Maison à vendre,369000,Hofstraat 41,2930 Brasschaat,À rénover,Non,,A partir du : 01/01/2026,2,190 m²,Non,Non,Oui,Non,Non,Non,Non,Non,,2,,,Non,Nord-est,2,Oui,Oui,,Oui,Oui,534 kWh/m²/an,3592905,05/05/2035,"oui, attestation conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Oui,,,,,,,,,,,,,,,,99 m²,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2930/brasschaat/rbt67750,RBT67750,Maison à vendre,529000,Hoge Akker 2,2930 Brasschaat,À rénover,Non,1978,A l’acte,3,219 m²,Non,Non,Oui,Non,Non,Non,Non,Non,Super équipée,1,,Gaz,Non,Nord,3,Oui,Oui,732 m²,Oui,Oui,250 kWh/m²/an,3564986,28/03/2035,"oui, attestation non conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Oui,,,,,,,,,,,,,,,,119 m²,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
