ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Surface_des_caves,Grenier,Surface_du_grenier,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Alarme_antieffraction,Ascenseur,Feu_ouvert,Accessible_aux_moins_valides,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Surface_du_jardin,Surface_de_la_terrasse,Véranda,Surface_du_garage,Orientation_de_la_façade_du_bien,Référence_PEB,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Nombre_de_place_de_parking_intérieur,Chauffage_au_sol,Parlophone,Porte_daccès_sécurisée,Étage_de_lappartement,Possibilités_pour_profession_libérale,Surface_chambre_à_coucher_5,Surface_totale,Surface_du_bureau,Orientation_de_la_terrasse,Attestation__Citernes_à_mazout,Panneaux_solaires,Air_conditionné,Balcon,Adoucisseur_deau,Le_bien_fait_lobjet_dun_droit_de_préemption,Espace_ouvert_sensible_à_leau__WORG,Pompe_à_chaleur,Surface_de_la_véranda,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Dressing,Buanderie,Local_vélo,Surface_constructible,Affectation_urbanistique_la_plus_récente,Surface_du_dressing,Porte_de_garage_motorisée,Station_de_charge_électrique,Maison_basse_énergie,Compteur_Bihoraire,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Attestation__Citernes_à_mazout__Validité,Attestation__Asbuilt,Panneaux_solaires_thermiques,Compteur_électrique_individuel,Domotique,Niveau_E,Clef_électronique
https://immovlan.be/fr/detail/villa/a-vendre/3080/tervuren/vbc87332,VBC87332,Villa à vendre,995000,,3080 Tervuren,Normal,Non,A l’acte,4,13 m²,14 m²,15 m²,43 m²,257 m²,Non,34 m²,Oui,38 m²,Oui,16 m²,Oui,14 m²,Oui,1,Equipée,Américaine,7 m²,2,1,2,5 m²,Mazout,Double vitrage,Oui,Non,Oui,Non,4,15 m,4,1,Oui,Sud-ouest,Oui,1420 m²,63 m,15 m,Oui,Oui,Oui,Oui,Non,358 kWh/m²/an,91993 kWh/an,04/06/2035,22295,"oui, attestation non conforme",06/02/2025,Oui,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3080/tervuren/vbc91887,VBC91887,Maison à vendre,499000,Hulststraat 39,3080 Tervuren,À rénover,,A l’acte,4,14 m²,16 m²,22 m²,11 m²,210 m²,Non,26 m²,,,,,Oui,26 m²,,,,,9 m²,3,2,2,,Gaz,,,Non,,Non,4,,2,,Oui,,Oui,627 m²,,,,,,,Non,507 kWh/m²/an,507 kWh/an,,25889,"oui, attestation non conforme",,,,,,,,Information non communiquée,Information non communiquée,1930,627 m²,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/3080/tervuren/rbt70155,RBT70155,Villa à vendre,1400000,Jachtlaan 48,3080 Tervuren,Normal,,A convenir,5,,,,,362 m²,Non,,Oui,47 m²,Oui,,,,Oui,2,,,,2,,,8 m²,Gaz,,Oui,Non,,Non,,,,1,Oui,,Oui,1199 m²,,,,,,,,192 kWh/m²/an,,07/11/2032,,"non, pas d'attestation",,,Oui,,,,,Pas de risque d’inondation,Information non communiquée,1990,1050 m²,,Oui,20 m²,Sud,20221107-0002716094-RES-1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/penthouse/a-vendre/3080/tervuren/vbc88557,VBC88557,Penthouse à vendre,1790000,Grensstraat 166 64,3080 Tervuren,Excellent,Non,A l’acte,3,37 m²,14 m²,14 m²,,370 m²,Non,65 m²,Oui,,,,Oui,50 m²,Oui,,Super équipée,,15 m²,3,2,4,,,Double vitrage,Oui,Oui,,Non,3,,5,,,,Oui,,,,,,,,Non,93 kWh/m²/an,,,18,"oui, attestation conforme",,,,,,,,Pas de risque d’inondation,Information non communiquée,2017,,129 m²,,,,,,3,Oui,Oui,Oui,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/3080/tervuren/vwd13817,VWD13817,Villa à vendre,1695000,,3080 Tervuren,Excellent,,A l’acte,6,12 m²,16 m²,20 m²,10 m²,375 m²,,50 m²,Oui,15 m²,Oui,75 m²,,,Oui,,Equipée,Indépendante,13 m²,2,,,,Gaz,Double vitrage,Oui,,Oui,,4,,,3,Oui,Sud,Oui,1651 m²,,,Oui,Oui,Oui,,,194 kWh/m²/an,194 kWh/an,,,,,,,,,,,Pas de risque d’inondation,Information non communiquée,1976,1651 m²,20 m²,,,,,,2,,,Oui,,Oui,13 m²,485 m²,23 m²,Sud,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3080/tervuren/vbc64531,VBC64531,Maison à vendre,890000,,3080 Tervuren,Normal,Non,A l’acte,5,16 m²,13 m²,11 m²,16 m²,322 m²,Non,,,,,,Oui,23 m²,Oui,1,Super équipée,,19 m²,4,,3,,,Double vitrage,Oui,Non,Oui,Oui,4,12 m,1,5,Oui,Est,Oui,1100 m²,47 m,12 m,Oui,Oui,Oui,,Non,312 kWh/m²/an,,24/05/2031,,,,,,,,,,Risque élevé,Information non communiquée,,719 m²,22 m²,Oui,,,,,,,Oui,,,,23 m²,,,Sud,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/3080/tervuren/rbt64386,RBT64386,Villa à vendre,2185000,Molenberglaan 26B,3080 Tervuren,,,A l’acte,8,42 m²,20 m²,19 m²,18 m²,656 m²,,46 m²,Oui,,,,Oui,26 m²,Oui,3,Super équipée,,26 m²,4,3,4,15 m²,Gaz,Double vitrage,Oui,,Oui,,4,,,8,Oui,,Oui,,,,,,,,Oui,187 kWh/m²/an,,,,,,Oui,Oui,,,,,Pas de risque d’inondation,Information non communiquée,,,,,57 m²,,,,,,,,,,17 m²,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3080/tervuren/vbc86603,VBC86603,Maison à vendre,985000,Sijsjeslaan 13,3080 Tervuren,Excellent,Oui,,5,16 m²,14 m²,14 m²,12 m²,441 m²,Non,55 m²,Oui,,Oui,,,,Oui,,Super équipée,,17 m²,5,3,4,,Gaz,Double vitrage,Oui,Non,,Non,4,,4,1,Oui,,Oui,525 m²,,,Oui,Oui,Oui,Oui,Non,142 kWh/m²/an,66043 kWh/an,12/05/2035,9091,,,Oui,Oui,,,,,Pas de risque d’inondation,Information non communiquée,2009,,,,,Nord,,,2,,Oui,,,,15 m²,,,Sud,,Oui,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3080/tervuren/rbt63357,RBT63357,Maison à vendre,619000,Moorselstraat 153 C,3080 Tervuren,Normal,,,4,,,,,149 m²,Non,,Non,,Non,,,,Oui,,,,,1,,,9 m²,Solaire,Double vitrage,,Non,,Non,,,,1,Oui,,Oui,185 m²,,,,,,,Oui,30 kWh/m²/an,,24/04/2031,,"non, pas d'attestation",,,Oui,,,,,Pas de risque d’inondation,Information non communiquée,2021,,,Non,,Sud-ouest,24104-G-OMV_2018100554/EP19665/A002/D02/SD001,Non,,Oui,,,,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3080/tervuren/vbc86244,VBC86244,Maison à vendre,1995000,,3080 Tervuren,Normal,,,4,22 m²,22 m²,18 m²,12 m²,310 m²,Non,40 m²,Oui,,,,Oui,20 m²,Oui,,Super équipée,,30 m²,4,4,4,,Gaz,Double vitrage,,Non,,Oui,4,,2,4,Oui,,Oui,2700 m²,,,Oui,,Oui,,Non,210 kWh/m²/an,68983 kWh/an,25/02/2020,20,"non, pas d'attestation",,,,,,,,Pas de risque d’inondation,Information non communiquée,1930,2500 m²,40 m²,,,Nord,,,,,Oui,,,,,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
